genre,title,author,pages,unique_key,average_rating,book_description
adventure,Cinders and Sparrows,by Stefan Bachmann (Goodreads Author),368 pages,https://www.goodreads.com/book/show/52165391-cinders-and-sparrows,4.23,"A suspenseful tale of witches, family, and magic from internationally bestselling author Stefan Bachmann. Readers of Kate Milford's Greenglass House, Victoria Schwab's City of Ghosts, and Diana Wynne Jones will be riveted.

When a scarecrow climbs over the garden wall, delivering twelve-year-old orphan Zita Brydgeborn a letter saying she has inherited a distant castle, she jumps at the chance of adventure. But little does she know that she is about to be thrust into a centuries-old battle between good and evil. Blackbird Castle was once home to a powerful dynasty of witches, all of them now dead under mysterious circumstances. Zita is the last of her line. And Zita, unfortunately, doesn’t know the first thing about being a witch.

As she begins her lessons in charms and spells with her guardian, Mrs. Cantanker, Zita makes new allies—a crow, a talking marble head, two castle servants just her age named Bram and Minnifer, and the silent ghost of a green-eyed girl. But who is friend and who is foe? Zita must race to untangle her past and find the magic to save the home she’s always hoped for. Because whatever claimed the souls of her family is now after her."
adventure,The Cowboy Who Saved Christmas,"by Jodi Thomas (Goodreads Author), Sharla Lovelace (Goodreads Author), Scarlett Dunn (Goodreads Author)",336 pages,https://www.goodreads.com/book/show/51088185-the-cowboy-who-saved-christmas,4.25,"In these Texas-set stories of romance and adventure, the Civil War is over, Christmas is coming—and it’s time for three rugged fighters to become lovers...

FATHER GOOSE by New York Times and USA Today Bestselling Author Jodi Thomas

Dispirited by war, when Trapper Morgan accepts a job hauling five little rich girls to Dallas, all he cares about is the money. He doesn’t expect they’ll awaken his spirit—or that their intriguing nursemaid, Carolina, will awaken his heart. And when danger strikes as Christmas Eve nears, he definitely doesn’t expect Carolina and the girls to risk their lives—for him . . .

THE MISTLETOE PROMISE by Sharla Lovelace

A catastrophic storm, an ailing herd, and a failing cattle ranch have left Texas rancher Josie Bancroft in danger of losing everything her father worked for. Still, she’d rather die than merge with her neighbor rancher Benjamin Mason, the man who broke her heart years ago, on Christmas Eve. As old sparks fly and secrets are revealed, however, Ben is determined to help Josie—and prove that this time around can be different. That the misunderstandings of Christmas past need not define their future...

CHRISTMAS ROAD by Scarlett Dunn

Yellow Fever has hit Clint Mitchum’s Texas hometown and taken his father and siblings, leaving Clint ever more cynical. Racing homeward to be by his mother’s side, Clint finds only a note from her, asking that he help her caregiver, a young woman named Amelia. Assuming his mother has passed, in his grief Clint ventures out to search for Amelia—and finds the best of gifts—just in time for Christmas..."
adventure,"Winter, White and Wicked",by Shannon Dittemore (Goodreads Author),384 pages,https://www.goodreads.com/book/show/51075440-winter-white-and-wicked,3.87,"Winter doesn't like the smuggler who's come to Whistlestop. She doesn't trust him, doesn't want me to take this job.

Twice-orphaned Sylvi has chipped out a niche for herself on Layce, an island cursed by eternal winter. Alone in her truck, she takes comfort in two things: the solitude of the roads and the favor of Winter, an icy spirit who has protected her since she was a child.

Sylvi likes the road, where no one asks who her parents were or what she thinks of the rebels in the north. But when her best friend, Lenore, runs off with the rebels, Sylvi must make a haul too late in the season for a smuggler she wouldn’t normally work with, the infamous Mars Dresden. Alongside his team—Hyla, a giant warrior woman, and Kyn, a boy with skin like stone—Sylvi will do whatever it takes to save her friend.

But when the time comes, she’ll have to choose: safety, anonymity, and the favor of Winter—or the future of the island that she calls home."
adventure,The Price of Valor,by Susan May Warren (Goodreads Author),368 pages,https://www.goodreads.com/book/show/51273023-the-price-of-valor,4.66,"Former Navy SEAL Hamilton Jones thought that the love of his life was dead. But when a girl claiming to be his daughter shows up with a dire message from his wife, Ham knows he will stop at nothing to find her and bring her home.

Kidnapped by rebels while serving as an interpreter in Ukraine, Signe Kincaid has spent the past decade secreting out valuable information about Russian assets in the US to her CIA handler. Fearing for her daughter after being discovered as an operative, Signe sends her to Ham for safekeeping. She's ready to give her life for her country, and she can hardly expect Ham to rescue her after breaking his heart over and over.

When Ham discovers the reason Signe has kept her distance, he must choose between love for his wife and love for the nation he has vowed to protect. Will he save the many? Or the few?

USA Today bestselling author Susan May Warren takes you on a global search and rescue mission where the stakes are higher than ever in this final installment of her popular series."
adventure,Cleo Porter and the Body Electric,by Jake Burt (Goodreads Author),288 pages,https://www.goodreads.com/book/show/53156938-cleo-porter-and-the-body-electric,4.25,"Jake Burt's Cleo Porter and the Body Electric is a futuristic middle-grade novel about a girl who lives in a hermetically sealed housing development.

A woman is dying. Cleo Porter has her medicine. And no way to deliver it.

Like everyone else, twelve-year-old Cleo and her parents are sealed in an apartment without windows or doors. They never leave. They never get visitors. Their food is dropped off by drones. So they're safe. Safe from the disease that nearly wiped humans from the earth. Safe from everything. The trade-off?

They're alone. Thus, when they receive a package clearly meant for someone else--a package containing a substance critical for a stranger's survival--Cleo is stuck. As a surgeon-in-training, she knows the clock is ticking. But people don't leave their units.

Not ever. Until now."
adventure,Nothing Short of Wondrous,by Regina Scott (Goodreads Author),336 pages,https://www.goodreads.com/book/show/51272814-nothing-short-of-wondrous,4.36,"It is 1886, and the government has given the US Cavalry control of Yellowstone. For widowed hotelier Kate Tremaine, the change is a welcome one. She knows every inch of her wilderness home like the back of her hand and wants to see it protected from poachers and vandals.

Refused a guide by Congress, Lieutenant William Prescott must enlist Kate's aid to help him navigate the sprawling park and track down the troublemakers. But a secret from his past makes him wary of the tender feelings the capable and comely widow raises in him. When her 6-year-old son is kidnapped by a poacher who wants the boy to guide him to the place where the last of the Yellowstone bison congregate, Will and Kate must work together to rescue him, save the bison, and protect the park. In doing so, they may just find that two wounded hearts can share one powerful love when God is in control."
adventure,How the Multiverse Got Its Revenge,by K. Eason (Goodreads Author),416 pages,https://www.goodreads.com/book/show/52624927-how-the-multiverse-got-its-revenge,3.79,"Rory Thorne must use the fairy blessings gifted to her to change the multiverse in the second book in this space opera duology.

After avoiding an arranged marriage, thwarting a coup, and inadvertently kick-starting a revolution, Rory Thorne is no longer a princess, but a space pirate.

Her new life is interrupted when Rory and her crew--former royal bodyguards, Thorsdottir and Zhang, and co-conspirator Jaed--encounter an abandoned ship registered under a false name, seemingly fallen victim to attack. As they investigate, they find evidence of vicious technology and arithmancy, alien and far beyond known capabilities.

The only answer to all the destruction is the mysterious, and unexpected, cargo: a rose plant. One that reveals themself to be sentient--and designed as a massive biological weapon. Rose seeks to escape their intended fate, and Rory and her friends must act fast when the attackers return with their superior weaponry.

As the situation gains the attention of an increasing number of alien races, Rory finds herself acting as negotiator and diplomat, in order to save Rose and her friends--and avert an unprecedented war."
adventure,Above All Else,by Dana Alison Levy (Goodreads Author),320 pages,https://www.goodreads.com/book/show/44232443-above-all-else,3.85,"Rose Keller and Tate Russo have been climbing for years, training in harsh weather and traveling all over the world. The goal that kept them going: summiting Mount Everest, the highest point on earth. Accompanied by Tate’s dad, the two will finally make the ultimate climb at the end of their senior year. But neither Rose nor Tate are fully in the game—not only is there a simmering romance between them, but Rose can’t get her mind off her mother’s illness, while Tate constantly fails to live up to his ambitious father’s standards.

Everyone on their expedition has something to prove, it seems. And not everyone is making the best decisions while short on oxygen and physically and mentally exhausted. The farther up the mountain they go, the more their climbing plans unravel and the more isolated each team member becomes. Rose and Tate will have to dig deep within themselves to determine what—or who—they value above all else.

In a fictional tale as riveting, irresistible, and heartbreaking as Into Thin Air, teen climbing prodigies Rose and Tate attempt to summit—and survive—Mount Everest."
adventure,The Princess in Black and the Giant Problem,"by Shannon Hale (Goodreads Author), Dean Hale, LeUyen Pham (illustrator)",96 pages,https://www.goodreads.com/book/show/51056646-the-princess-in-black-and-the-giant-problem,4.23,"With a noisy giant crashing around the kingdom, the Princess in Black uses the Sparkle Signal to call ALL her heroic friends together--for the biggest adventure yet.

The Princess in Black is ready for her snowy playdate with the Goat Avenger and the Princess in Blankets. It's a perfect day to build snow monsters and battle them for practice. But just when they're about to wage battle, a huge foot smashes their snow monster. ""SQUASHY!""

It's a giant, and it's smashing everything in its path! The giant is too strong for the three friends, so the Princess in Blankets has an idea: it's time to light the Sparkle Signal and summon help. With a rising crescendo of a plot and a delightfully surprising ending, the latest adventure in the New York Times best-selling series features all the Princess in Black's friends as heroes for the first time."
adventure,Maya and the Rising Dark,by Rena Barron (Goodreads Author),304 pages,https://www.goodreads.com/book/show/45868801-maya-and-the-rising-dark,4.02,"Twelve-year-old Maya’s search for her missing father puts her at the center of a battle between our world, the Orishas, and the mysterious and sinister Dark world.

Twelve-year-old Maya is the only one in her South Side Chicago neighborhood who witnesses weird occurrences like werehyenas stalking the streets at night and a scary man made of shadows plaguing her dreams. Her friends try to find an explanation—perhaps a ghost uprising or a lunchroom experiment gone awry. But to Maya, it sounds like something from one of Papa’s stories or her favorite comics.

When Papa goes missing, Maya is thrust into a world both strange and familiar as she uncovers the truth. Her father is the guardian of the veil between our world and the Dark—where an army led by the Lord of Shadows, the man from Maya’s nightmares, awaits. Maya herself is a godling, half orisha and half human, and her neighborhood is a safe haven. But now that the veil is failing, the Lord of Shadows is determined to destroy the human world and it’s up to Maya to stop him. She just hopes she can do it in time to attend Comic-Con before summer’s over."
