genre,title,author,pages,unique_key,average_rating,book_description
anthologies,The Neil Gaiman Reader: Selected Fiction,by Neil Gaiman (Goodreads Author),752 pages,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,4.55,"An outstanding array—52 pieces in all—of selected fiction from the multiple-award-winning, #1 New York Times bestselling author Neil Gaiman, curated by his readers around the world, and introduced with a foreword by Booker Prize-winning author Marlon James

Spanning Gaiman’s career to date, The Neil Gaiman Reader: Selected Fiction is a captivating collection from one of the world’s most beloved writers, chosen by those who know his work best: his devoted readers. 

A brilliant representation of Gaiman's groundbreaking, entrancing, endlessly imaginative fiction, this captivating volume includes excerpts from each of his five novels for adults —Neverwhere, Stardust, American Gods, Anansi Boys, and The Ocean at the End of the Lane—and nearly fifty of his short stories. 

Impressive in its depth and range, The Neil Gaiman Reader: Selected Fiction is both an entryway to Gaiman’s oeuvre and a literary trove Gaiman fans old and new will return to many times over."
anthologies,The Lives of Saints,"by Leigh Bardugo (Goodreads Author), Daniel J. Zollinger (Illustrator)",121 pages,https://www.goodreads.com/book/show/54205369-the-lives-of-saints,4.13,"Enter the world of the Grishaverse and Shadow and Bone, soon to be a Netflix original series!

Dive into the epic world of international bestselling author Leigh Bardugo with this beautifully illustrated replica of The Lives of Saints, the Istorii Sankt’ya, featuring tales of saints drawn from the beloved novels and beyond. Out of the pages of the Shadow and Bone trilogy, from the hands of Alina Starkov to yours, the Istorii Sankt’ya is a magical keepsake from the Grishaverse.

These tales include miracles and martyrdoms from familiar saints like Sankta Lizabeta of the Roses and Sankt Ilya in Chains, to the strange and obscure stories of Sankta Ursula, Sankta Maradi, and the Starless Saint.

This beautiful collection includes stunning full-color illustrations of each story."
anthologies,Stories from Suffragette City,"by M.J. Rose (Goodreads Author) (Editor), Fiona Davis (Goodreads Author) (Editor), Kristin Hannah (Goodreads Author) (Contributor)",272 pages,https://www.goodreads.com/book/show/49672320-stories-from-suffragette-city,4.28,"A collection of short stories from a chorus of bestselling writers all set on the same day, October 23, 1915, in which over a million women marched for the right to vote in New York City with an introduction by Kristin Hannah.

Stories From Suffragette City is a collection of short stories from the leading voices in historical fiction that all take place on a single day. The day one million women marched for the right to vote in New York City in 1915. A day filled with a million different stories, and a million different voices longing to be heard. Taken together, these stories from writers at the top of their bestselling game become a chorus, stitching together a portrait of a country looking for a fight, and echo into a resounding force strong enough to break even the most stubborn of glass ceilings.
With stories from:
Lisa Wingate
M. J. Rose
Steve Berry
Paula McLain
Katherine J. Chen
Christina Baker Kline
Jamie Ford
Dolen Perkins-Valdez
Megan Chance
Alyson Richman
Chris Bohjalian
and Fiona Davis"
anthologies,"Together, Apart","by Erin A. Craig (Goodreads Author), Auriane Desombre (Goodreads Author), Erin Hahn (Goodreads Author), Bill Konigsberg (Goodreads Author), Rachael Lippincott (Goodreads Author), Brittney Morris (Goodreads Author), Sajni Patel (Goodreads Author), Natasha Preston (Goodreads Author), more…",288 pages,https://www.goodreads.com/book/show/54326427-together-apart,3.93,"A collection of original contemporary love stories set during life in lockdown by some of today's most popular YA authors.

Erin Craig ""delivers"" on a story about a new girl in town and the cute pizza delivery boy, Auriane Desombre captures our hearts with teens communicating through window signs, and Bill Konigsberg takes us along on daily walks with every step bringing us closer to love. There's flirting and romance from Rachael Lippincott, a tale of a determined girl with a mask-making business from Erin Hahn, and a music-inspired love connection from Sajni Patel. Brittney Morris turns enemies to lovers with the help of a balcony herb garden, Jennifer Yen writes an unconventional romance that starts outside a hospital, and Natasha Preston's teens discover each other--and their love story--in a storybook oak tree.

Romantic, realistic, sweet and uplifting, TOGETHER, APART is a collection of finding love in unexpected places during an unprecedented time . . . each with the one thing we all want: a guaranteed happy ending."
anthologies,"Cardiff, by the Sea: Four Novellas of Suspense",by Joyce Carol Oates,404 pages,https://www.goodreads.com/book/show/52580386-cardiff-by-the-sea,3.94,"Joyce Carol Oates, the ""grand mistress of ghoulishness"" (Publishers Weekly), showcases her mastery in four deeply disturbing novellas that will leave the reader both quaking and pining for more In the titular novella, an academic in Pennsylvania discovers a terrifying trauma from her past after inheriting a house in Cardiff, Maine from someone she has never heard of. Mia, the protagonist of ""Miao Dao,"" is a pubescent girl overcome with loneliness, who befriends a feral cat that becomes her protector from the increasingly aggressive males that surround her.

A brilliant but shy college sophomore realizes that she is pregnant in ""Phan-tomwise: 1972."" Distraught, she allows a distinguished visiting professor to take her under his wing, though it quickly becomes evident that he is interested in more than an academic mentorship. Lastly, ""The Surviving Child"" is Stefan, who was spared when his mother, a famous poet, killed his sister and herself. Stefan's father remarries, but his young wife is haunted by dead poet's voice dancing in the wind, an inexplicably befouled well, and a compulsive draw to the same gar-age that took two lives.

In these psychologically daring, chillingly suspenseful pieces, Joyce Carol Oates writes about women facing threats past and present."
anthologies,Tiny Nightmares: Very Short Stories of Horror,"by Lincoln Michel (Goodreads Author) (Editor), Nadxieli Nieto (Editor)",304 pages,https://www.goodreads.com/book/show/53189105-tiny-nightmares,3.64,"A collection of horror-inspired flash fiction, featuring over 40 new stories from literary, horror, and emerging writers—edited by Lincoln Michel and Nadxieli Nieto, the twisted minds behind Tiny Crimes: Very Short Tales of Mystery and Murder (Black Balloon, 2018).

In this playful, spine-tingling collection, leading literary and horror writers spin unforgettably chilling tales in only a few pages. Tiny Nightmares brings to life broken-hearted vampires, Uber-taking serial killers, mind-reading witches, and monsters of all imaging, as well as stories that tackle the horrors of our modern world from global warming and racism to social media addiction and online radicalization. Writers such as Samantha Hunt, Brian Evenson, Jac Jemc, Stephen Graham Jones, Kevin Brockmeier, and Rion Amilcar Scott expand our understanding of horror fiction with inventive and blood-curdling new tales. We suggest reading with the hall light on and the bedroom door open just a crack."
anthologies,To Hold Up the Sky,by Liu Cixin (Goodreads Author),336 pages,https://www.goodreads.com/book/show/49247266-to-hold-up-the-sky,3.75,"From Cixin Liu, the New York Times bestselling author of The Three-Body Problem, To Hold Up the Sky is a breathtaking collection of imaginative science fiction.

Stories included are:

The Village Teacher
The Time Migration
2018-04-01
Fire In The Earth
Contraction
Mirror
Ode To Joy
Full Spectrum Barrage Jamming
Sea of Dreams
Cloud of Poems
The Thinker"
anthologies,Rural Voices: 15 Authors Challenge Assumptions About Small-Town America,"by Nora Shalaway Carpenter (Goodreads Author) (Editor), David Bowles (Contributor), Joseph Bruchac (Contributor), Veeda Bybee (Contributor), Shae Carys (Goodreads Author) (Contributor), S.A. Cosby (Contributor), Rob Costello (Contributor), Randy DuBurke (Contributor), more…",336 pages,https://www.goodreads.com/book/show/46196016-rural-voices,4.04,"Think you know what rural America is like? Discover a plurality of perspectives in this enlightening anthology of stories that turns preconceptions on their head.

Gracie sees a chance of fitting in at her South Carolina private school, until a ""white trash""-themed Halloween party has her steering clear of the rich kids. Samuel's Tejano family has both stood up to oppression and been a source of it, but now he's ready to own his true sexual identity. A Puerto Rican teen in Utah discovers that being a rodeo queen means embracing her heritage, not shedding it. . . .

For most of America's history, rural people and culture have been casually mocked, stereotyped, and, in general, deeply misunderstood. Now an array of short stories, poetry, graphic short stories, and personal essays, along with anecdotes from the authors' real lives, dives deep into the complexity and diversity of rural America and the people who call it home. Fifteen extraordinary authors - diverse in ethnic background, sexual orientation, geographic location, and socioeconomic status - explore the challenges, beauty, and nuances of growing up in rural America. From a mountain town in New Mexico to the gorges of New York to the arctic tundra of Alaska, you'll find yourself visiting parts of this country you might not know existed - and meet characters whose lives might be surprisingly similar to your own."
anthologies,How We Go Home: Voices from Indigenous North America (Voice of Witness),by Sara Sinclair (Editor),320 pages,https://www.goodreads.com/book/show/55274869-how-we-go-home,4.53,"In myriad ways, each narrator’s life has been shaped by loss, injustice, and resilience—and by the struggle of how to share space with settler nations whose essential aim is to take all that is Indigenous.
 Hear from Jasilyn Charger, one of the first five people to set up camp at Standing Rock, which kickstarted a movement of Water Protectors that roused the world; Gladys Radek, a survivor of sexual violence whose niece disappeared along Canada’s Highway of Tears, who became a family advocate for the National Inquiry into Missing and Murdered Indigenous Women and Girls; and Marian Naranjo, herself the subject of a secret radiation test while in high school, who went on to drive Santa Clara Pueblo toward compiling an environmental impact statement on the consequences of living next to Los Alamos National Laboratory. Theirs are stories among many of the ongoing contemporary struggles to preserve Native lands and lives—and of how we go home."
anthologies,Once Upon Another World,"by Cassidy K. O'Connor (Goodreads Author), Jaclyn Roche (Goodreads Author), Monique Singleton (Goodreads Author), Joel Crofoot (Goodreads Author), D.E. Chapman (Goodreads Author), Erin McFadden (Goodreads Author), K.L. Bone (Goodreads Author), L.R.W. Lee (Goodreads Author), more…",2749 pages,https://www.goodreads.com/book/show/50359100-once-upon-another-world,4.41,"Not all fairy tales are as they appear.

Was it actually Red who hunted the wolf? What if the prince was the one in distress? Did the straw really get spun into gold? How well did those glass slippers truly fit?

Where princesses do their own rescuing, princes aren’t who they first appear to be, and beasts are friends, not foe—and maybe something more…

With stories spanning from true love’s kiss to reverse harem, skyscrapers to ancient castles, sweet romance to steamy nights, these alluring tales will satisfy readers of fantasy and romance alike.

Grab your copy of ONCE UPON ANOTHER WORLD and discover 22 twisted fairy tales with a happily ever after unlike anything you’ve ever read before."
