user_name,user_unique_key,number_of_stars,book_unique_key,review_text
Kayla Brown,https://www.goodreads.com/user/show/33397902-kayla-brown,5,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,
Dan Trefethen,https://www.goodreads.com/user/show/90604449-dan-trefethen,5,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,"There are two types of readers in this world:

Those who love to read Neil Gaiman, and those who haven't discovered him...yet.

OK, I exaggerate. But Neil is so crafty, so clever, so careful with language, that there's probably something for everyone. I'm not wild about everything he has written, but I can always admire how he does it.

This compendium has 47 short stories and short excerpts (10 pages or so) from his novels. A couple of the stories tie into his novel “American Gods” and one ties to “N"
Jamie (TheRebelliousReader),https://www.goodreads.com/user/show/7515832-jamie-therebelliousreader,0,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,I need this more than I think I've ever needed anything in my entire life.
Adam Di Filippe,https://www.goodreads.com/user/show/5907077-adam-di-filippe,5,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,"I received a free, advanced copy from NetGalley in exchange for an honest review."
Morgan,https://www.goodreads.com/user/show/3433933-morgan,0,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,"This is a hefty read, but it’s one that can be taken in bits and pieces, a short story here and a shorter one there. Every bit is wonderful, from Gaiman’s earliest works to those from the past few years. A few of them, such as “The Sleeper and the Spindle” and “How to Talk to Girls at Parties” have grown into other forms beyond a short story, but they are absolutely fantastic in their original form.
This collection is well suited for anyone from a Neil Gaiman novice to a reader who’s been follow"
Farah Mendlesohn,https://www.goodreads.com/user/show/5816793-farah-mendlesohn,4,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,"As with all collections a bit uneven, and tastes will vary, but overall a fascinating collection of the weird, the ghostly and the unnerving."
Sergey Selyutin,https://www.goodreads.com/user/show/56851099-sergey-selyutin,4,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,"Here is the recipe for this compilation:

1) Add together the contents of Smoke and Mirrors, Fragile Things and Trigger Warning collections
2) Subtract from the sum all those nice introductions to individual short stories
3) Subtract some weaker stories
4) Subtract all the pieces of poetry
5) Add (completely unnecessary) extracts from the novels by Neil Gaiman
6) Add a short story I, Cthulhu that you can read for free on Neil Gaiman's web-site
7) Add a short story Mythical Creatures (2008)
8) Add a short"
Andrea,https://www.goodreads.com/user/show/4730372-andrea,4,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,"Thank you to NetGalley and the publisher for an ARC.

This is an enormous assortment of Neil Gaiman's writings dating from 1984 to 2018, including excerpts of five novels. Gaiman himself has said this is primarily intended as a sampler for readers who aren't familiar with his work. It seems like quite a hefty time investment for someone who just wants to try this Gaiman bloke people seem to like so much, but I hope it works. I think another audience is readers who want ready access to a number of"
Robert,https://www.goodreads.com/user/show/36623889-robert,5,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,"Full disclosure: I've known about Neil Gaiman for many years, but never read anything until American Gods. Very excited about this book and after finishing it i think it's the best thing I've read in years. Weird, bizarre, thought provoking, magical, sad and laugh out loud funny. Nothing here that others don't know about. The depth of his storytelling is amazing and I'm very happy i chose to wander out of the deep cave i reside in to pick up this enjoyable book."
Sinclair  Duncan-Mercer,https://www.goodreads.com/user/show/18890540-sinclair-duncan-mercer,5,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,So nice having a collection of my favorite stories in one place! Just wish something from Sandman had been included!
