genre,title,author,pages,unique_key,average_rating,book_description
biography-memoir,Greenlights,by Matthew McConaughey (Goodreads Author),308 pages,https://www.goodreads.com/book/show/52838315-greenlights,4.36,"From the Academy Award®–winning actor, an unconventional memoir filled with raucous stories, outlaw wisdom, and lessons learned the hard way about living with greater satisfaction

I’ve been in this life for fifty years, been trying to work out its riddle for forty-two, and been keeping diaries of clues to that riddle for the last thirty-five. Notes about successes and failures, joys and sorrows, things that made me marvel, and things that made me laugh out loud. How to be fair. How to have less stress. How to have fun. How to hurt people less. How to get hurt less. How to be a good man. How to have meaning in life. How to be more me.

Recently, I worked up the courage to sit down with those diaries. I found stories I experienced, lessons I learned and forgot, poems, prayers, prescriptions, beliefs about what matters, some great photographs, and a whole bunch of bumper stickers. I found a reliable theme, an approach to living that gave me more satisfaction, at the time, and still: If you know how, and when, to deal with life’s challenges—how to get relative with the inevitable—you can enjoy a state of success I call “catching greenlights.”

So I took a one-way ticket to the desert and wrote this book: an album, a record, a story of my life so far. This is fifty years of my sights and seens, felts and figured-outs, cools and shamefuls. Graces, truths, and beauties of brutality. Getting away withs, getting caughts, and getting wets while trying to dance between the raindrops.

Hopefully, it’s medicine that tastes good, a couple of aspirin instead of the infirmary, a spaceship to Mars without needing your pilot’s license, going to church without having to be born again, and laughing through the tears.

It’s a love letter. To life.

It’s also a guide to catching more greenlights—and to realizing that the yellows and reds eventually turn green too.

Good luck."
biography-memoir,Group: How One Therapist and a Circle of Strangers Saved My Life,by Christie Tate,288 pages,https://www.goodreads.com/book/show/50891570-group,3.87,"The refreshingly original debut memoir of a guarded, over-achieving, self-lacerating young lawyer who reluctantly agrees to get psychologically and emotionally naked in a room of six complete strangers—her psychotherapy group—and in turn finds human connection, and herself.

Christie Tate had just been named the top student in her law school class and finally had her eating disorder under control. Why then was she driving through Chicago fantasizing about her own death? Why was she envisioning putting an end to the isolation and sadness that still plagued her in spite of her achievements?

Enter Dr. Rosen, a therapist who calmly assures her that if she joins one of his psychotherapy groups, he can transform her life. All she has to do is show up and be honest. About everything—her eating habits, childhood, sexual history, etc. Christie is skeptical, insisting that that she is defective, beyond cure. But Dr. Rosen issues a nine-word prescription that will change everything: “You don’t need a cure, you need a witness.

So begins her entry into the strange, terrifying, and ultimately life-changing world of group therapy. Christie is initially put off by Dr. Rosen’s outlandish directives, but as her defenses break down and she comes to trust Dr. Rosen and to depend on the sessions and the prescribed nightly phone calls with various group members, she begins to understand what it means to connect.

Group is a deliciously addictive read, and with Christie as our guide—skeptical of her own capacity for connection and intimacy, but hopeful in spite of herself—we are given a front row seat to the daring, exhilarating, painful, and hilarious journey that is group therapy—an under-explored process that breaks you down, and then reassembles you so that all the pieces finally fit."
biography-memoir,Help Is On the Way,by Mindy Kaling (Goodreads Author),17 pages,https://www.goodreads.com/book/show/55056141-help-is-on-the-way,4.51,"After a friend real-talks Mindy into hiring a baby nurse, she finds the help she needs—and so much more—in this soulful essay by the acclaimed writer, actress, producer, and director.

Becoming a new mother after losing her own, Mindy Kaling needs help—like someone to answer the questions What is a baby, and why don’t they have kneecaps? Enter Rose. The in-demand, dedicated baby nurse alleviates Mindy’s fears, from the minor to the profound.

From the acclaimed writer, actor, director, producer, and New York Times bestselling author comes Nothing Like I Imagined. In these essays, Mindy Kaling shares the latest chapters of a multitasking life in Hollywood. Read or listen to them in a single setting. Either way, they’re pitch-perfect."
biography-memoir,Big Shot,by Mindy Kaling (Goodreads Author),35 pages,https://www.goodreads.com/book/show/55056104-big-shot,4.41,"Is almost $2,000 a lot to drop on someone else’s dinner, just to be a big shot? Hell yeah! But what if nobody notices that you—one of Time magazine’s “100 Most Influential People” in the world—picked up the tab?

In this meditation on celebrity, power, and a simple thank-you, Mindy Kaling takes the next charmed step in her path from Conan intern to mogul: picking up the entire tab for a famous A-lister. It’s an investment, right? He’ll be blown away by her class. They’ll be best friends forever. Forty thankless seconds later, who wouldn’t spiral into self-doubt, second-guessing, over-rationalizing, and anxious obsession?

Plus, bonus content! An up-close-and-personal look at what Mindy does all day, including “executive producing” and gift wrapping.

From the acclaimed writer, actor, director, producer, and New York Times bestselling author comes Nothing Like I Imagined. In these essays, Mindy Kaling shares the latest chapters of a multitasking life in Hollywood. Read or listen to them in a single setting. Either way, they’re pitch-perfect."
biography-memoir,Searching for Coach Taylor,by Mindy Kaling (Goodreads Author),15 pages,https://www.goodreads.com/book/show/55054890-searching-for-coach-taylor,4.30,"A totally relatable essay on showing up to adult life alone, by the singular (and single) writer, producer, and star of Late Night.

In lieu of a perfect, hypothetical future husband, Mindy Kaling is thinking a lot about being single. Pros? She can marathon any Christine Baranski show she wants. Cons? Dealing with married couples and their condescension at cocktail parties. But until a gorgeous, morally flawless, preferably tall TV dad materializes in three dimensions, Mindy can cope with waiting it out (from the driver’s seat).

From the acclaimed writer, actor, director, producer, and New York Times bestselling author comes Nothing Like I Imagined. In these essays, Mindy Kaling shares the latest chapters of a multitasking life in Hollywood. Read or listen to them in a single setting. Either way, they’re pitch-perfect."
biography-memoir,Once Upon a Time in Silver Lake,by Mindy Kaling (Goodreads Author),11 pages,https://www.goodreads.com/book/show/55056127-once-upon-a-time-in-silver-lake,4.12,"All Mindy Kaling wants is a night out…but what does the scary stranger in the driver’s seat of her ride want? Find out in a nerve-racking minidrama by the New York Times bestselling author of Why Not Me?

When Mindy and her best friend, B.J. Novak, are approached on a dark street by a Charles Manson–esque character, naturally they’re unnerved. Turns out he’s a huge fan of The Office! Now Mindy’s feeling a little judgy. But the night is young, unseasonably hot, and getting weirder. Mindy and B.J.’s brief encounter with the drifter is about to take an unexpected turn in Sunset Junction.

From the acclaimed writer, actor, director, producer, and New York Times bestselling author comes Nothing Like I Imagined. In these essays, Mindy Kaling shares the latest chapters of a multitasking life in Hollywood. Read or listen to them in a single setting. Either way, they’re pitch-perfect."
biography-memoir,Let Love Rule,"by Lenny Kravitz, David Ritz",272 pages,https://www.goodreads.com/book/show/51096899-let-love-rule,3.95,"“I see my story as a suite of songs that have a magical connection. I never understood that connection until I sat down to write. It was then that the magic started to flow.”

Let Love Rule is a work of deep reflection. Lenny Kravitz looks back at his life with candor, self-scrutiny, and humor.

“My life is all about opposites,” he writes. “Black and white. Jewish and Christian. The Jackson 5 and Led Zeppelin. I accepted my Gemini soul. I owned it. I adored it. Yins and yangs mingled in various parts of my heart and mind, giving me balance and fueling my curiosity and comfort.”

Let Love Rule covers a vast canvas stretching from Manhattan’s Upper East Side, Brooklyn’s Bedford-Stuyvesant, Los Angeles’s Baldwin Hills, Beverly Hills, and finally to France, England and Germany.

It’s the story of a wildly creative kid who, despite tough struggles at school and extreme tension at home, finds salvation in music.

We see him grow as a musician and ultimately a master songwriter, producer, and performer. We also see Lenny’s spiritual growth―and the powerful way in which spirit informs his music.

The cast of characters surrounding Lenny is extraordinary: his father, Sy, a high-powered news executive; his mother, Roxie Roker, a television star; and Lisa Bonet, the young actress who becomes his muse.

The central character, of course, is Lenny, who, despite his great aspirational energy, turns down record deal after record deal until he finds his true voice.

The creation of that voice, the same voice that is able to declare “Let Love Rule” to an international audience, is the very heart of this story.

“Whether recording, performing, or writing a book,” says Lenny, “my art is about listening to the inspiration inside and then sharing it with people. Art must bring the world closer together.”"
biography-memoir,Adventures in Opting Out: A Field Guide to Leading an Intentional Life,by Cait Flanders (Goodreads Author),272 pages,https://www.goodreads.com/book/show/50710787-adventures-in-opting-out,3.62,"Opt out of expectations and live a more intentional life with this refreshing guide from the national bestselling author of The Year of Less.

We all follow our own path in life. At least, that's what we're told. In reality, many of us either do what is expected of us, or follow the invisible but well-worn paths that lead to what is culturally acceptable. For some, those paths are fine -- even great. But they leave some of us feeling disconnected from ourselves and what we really want to do. When that discomfort finally outweighs the fear of trying something new, we're ready to opt out.

After going through this process many times, Cait Flanders found there is an incredible parallel between taking a different path in life and the psychological work it takes to summit a mountain -- especially when you decide to go solo. In Adventures in Opting Out, she offers a trail map to help you with both. As you'll see, reaching the first viewpoint can be easy -- and it offers a glimpse of what you're walking toward. Climbing to the summit for the full view is worth it. But in the space between those two peaks you will enter a world completely unknown to you, and that is the most difficult part of the path to navigate.

With Flanders's guidance and advice, drawn from her own journey and stories of others, you'll have all the encouragement and insight you'll need to take the path less traveled and create the life you want. Just step up to the trailhead and expect it to be an adventure."
biography-memoir,The Dead Are Arising: The Life of Malcolm X,"by Les Payne, Tamara Payne",640 pages,https://www.goodreads.com/book/show/50489321-the-dead-are-arising,4.41,"Les Payne, the renowned Pulitzer Prize–winning investigative journalist, embarked in 1990 on a nearly thirty-year-long quest to interview anyone he could find who had actually known Malcolm X—all living siblings of the Malcolm Little family, classmates, street friends, cellmates, Nation of Islam figures, FBI moles and cops, and political leaders around the world. His goal was ambitious: to transform what would become over a hundred hours of interviews into an unprecedented portrait of Malcolm X, one that would separate fact from fiction.

The result is this historic biography that conjures a never-before-seen world of its protagonist, a work whose title is inspired by a phrase Malcolm X used when he saw his Hartford followers stir with purpose, as if the dead were truly arising, to overcome the obstacles of racism. Setting Malcolm’s life not only within the Nation of Islam but against the larger backdrop of American history, the book traces the life of one of the twentieth century’s most politically relevant figures “from street criminal to devoted moralist and revolutionary.”

In tracing Malcolm X’s life from his Nebraska birth in 1925 to his Harlem assassination in 1965, Payne provides searing vignettes culled from Malcolm’s Depression-era youth, describing the influence of his Garveyite parents: his father, Earl, a circuit-riding preacher who was run over by a street car in Lansing, Michigan, in 1929, and his mother, Louise, who continued to instill black pride in her children after Earl’s death. Filling each chapter with resonant drama, Payne follows Malcolm’s exploits as a petty criminal in Boston and Harlem in the 1930s and early 1940s to his religious awakening and conversion to the Nation of Islam in a Massachusetts penitentiary.

With a biographer’s unwavering determination, Payne corrects the historical record and delivers extraordinary revelations—from the unmasking of the mysterious NOI founder “Fard Muhammad,” who preceded Elijah Muhammad; to a hair-rising scene, conveyed in cinematic detail, of Malcolm and Minister Jeremiah X Shabazz’s 1961 clandestine meeting with the KKK; to a minute-by-minute account of Malcolm X’s murder at the Audubon Ballroom.

Introduced by Payne’s daughter and primary researcher, Tamara Payne, who, following her father’s death, heroically completed the biography, The Dead Are Arising is a penetrating and riveting work that affirms the centrality of Malcolm X to the African American freedom struggle."
biography-memoir,Cary Grant: A Brilliant Disguise,by Scott Eyman,576 pages,https://www.goodreads.com/book/show/50892415-cary-grant,4.28,"Film historian and acclaimed New York Times bestselling biographer Scott Eyman has written the definitive biography of Hollywood legend Cary Grant, one of the most accomplished—and beloved—actors of his generation, who remains as popular as ever today.

Born Archibald Leach in 1904, he came to America as a teenaged acrobat to find fame and fortune, but he was always haunted by his past. His father was a feckless alcoholic, and his mother was committed to an asylum when Archie was eleven years old. He believed her to be dead until, when he was thirty-one years old, he was informed she was alive. Because of this experience Grant would have difficulty forming close attachments throughout his life. He married five times and had numerous affairs.

Despite a remarkable degree of success, Grant remained deeply conflicted about his past, his present, his basic identity, and even the public that worshiped him in movies such as Gunga Din, Notorious, and North by Northwest.

Drawing on Grant’s own papers, extensive archival research, and interviews with family and friends, this is the definitive portrait of a movie immortal."
