user_name,user_unique_key,number_of_stars,book_unique_key,review_text
Elyse  Walters,https://www.goodreads.com/user/show/597461-elyse-walters,5,https://www.goodreads.com/book/show/52838315-greenlights,
Marlana Williams,https://www.goodreads.com/user/show/18464720-marlana-williams,0,https://www.goodreads.com/book/show/52838315-greenlights,"This is a comment just to say how much I'm looking forward to this book! My plan is to listen to the audiobook with hopes that Matthew McConaughey narrates it himself so I can get wrapped up in that warm, friendly, country-boy voice of his as if he is talking directly to me.

I will update this review after October 20, 2020.
Edit Oct 20: Reading now... review coming."
Toni Parvin,https://www.goodreads.com/user/show/52759651-toni-parvin,5,https://www.goodreads.com/book/show/52838315-greenlights,"⭐️⭐️⭐️⭐️⭐️
Alright alright alright...5 easy breezy stars. It felt like I sat around with him over a glass of scotch and he told me stories of his life. He’s witty, funny, smooth, and worked his literary skills through my heart. I laughed out loud, I paused to write down deep truths that resonated with me, and I face palmed at some of his antics. Do yourself a favor and listen to the Audible, he narrates! Oh yes!!!

His life has been interesting, to say the least. I love his passion to constantly be"
Claudia,https://www.goodreads.com/user/show/20498957-claudia,4,https://www.goodreads.com/book/show/52838315-greenlights,"It’s a love letter. To life.

Indeed it is. McConaughey is a guy who really pursued his dreams. (view spoiler)

What I most liked about his writing is that it's not polished: his thoughts, adventures, stories, all are raw, spiced more often than not with humor and self-irony. He is charming, funny, thoughtfu"
Cori,https://www.goodreads.com/user/show/20751398-cori,5,https://www.goodreads.com/book/show/52838315-greenlights,"5 Stars to this book. I loved hearing Matthew read his own book. He added his signature voice, animation, and laughs and made this book absolutely perfect. Its a memoir and personal reflection and humor and even a bit philosophical. I looked forward to listening. He owned his mistakes (and laughed at himself at times) and was not negative, he was always looking for ways to grow and improve himself. I have nothing but respect for him and this will be one of my Top 5 books of 2020. I Highly Recomm"
Seth Turner,https://www.goodreads.com/user/show/14215064-seth-turner,5,https://www.goodreads.com/book/show/52838315-greenlights,"Absolutely amazing. Not your typical biography. Filled with nuggets of insight. Profound letters, prose, and poetry. McConaughey shows not only his life and the “greenlight” moments, he dives deep into himself with his most vulnerable essence. A joy to read."
Evie,https://www.goodreads.com/user/show/4335276-evie,5,https://www.goodreads.com/book/show/52838315-greenlights,"Alright, alright, alright.

I'm not gonna lie, I really enjoyed this one. I didn't expect to, I was skeptical to say the least, but I ended up loving the heck out of the audiobook narrated by Matthew himself.

This one is quite a treat. Full of insightful little thoughts and proclamations, quirky stories (that are almost unbelievable, tho completely and amazingly believable because they did happen), anecdotes, humor.. It was just so pleasant a book to listen to. A great insight into Matthew's past,"
Kevin,https://www.goodreads.com/user/show/47608704-kevin,5,https://www.goodreads.com/book/show/52838315-greenlights,"I'm only half way through the audiobook but had to pause and write a review. I will finish it by this evening but have already heard enough to say this is the best autobiography I have ever listened to. McConaughey narrates his book and the performance is outstanding to say the least.

I was on the fence at first about even giving it a listen, thinking it probably won't be my cup of tea. The first 10 minutes or so, I was beginning to think just that. Then it all changed and I was hooked. It's ver"
Kerry Pickens,https://www.goodreads.com/user/show/34507388-kerry-pickens,4,https://www.goodreads.com/book/show/52838315-greenlights,"This is more a summary of a journal than a book, but its as interesting as our cultural icons get, and being native son of my part of the world there is plenty I can relate to."
Mediaman,https://www.goodreads.com/user/show/12490048-mediaman,3,https://www.goodreads.com/book/show/52838315-greenlights,"A rambling book with great stories but flawed execution. McConaughey was a C student in college, claiming he was normally an A student but wanted to devote time to real world instead of books, and at the end of this books says he'd rather ""take an experienced C over an ignorant A any day."" Well, this book is a C at best and could have been an A if he would have been less self-satisfied and allowed others to guide him to objective conclusions. Instead it's all about subjective Matthew living his"
Mandy White,https://www.goodreads.com/user/show/33018840-mandy-white,5,https://www.goodreads.com/book/show/52838315-greenlights,"Alright, Alright, Alright! Greenlights by Matthew McConaughey....what can I say?

This book was fun, it was entertaining, it was interesting. It made me laugh so much and it broke my heart. Matthew has been one of my favourite actors since A Time To Kill. I loved hearing his behind the scenes stories about making his movies.

But it is so much more than that. Matthew really is a born storyteller. Greenlights covers his life from being a kid right up to the COVID-19 pandemic. It is stories from his"
Kim ~ It’s All About the Thrill,https://www.goodreads.com/user/show/72904050-kim-it-s-all-about-the-thrill,0,https://www.goodreads.com/book/show/52838315-greenlights,Ahhhhhh...I am totally listening to Matthew McConaughey! ❤️ Holy crap!
britt_brooke,https://www.goodreads.com/user/show/1136632-britt-brooke,2,https://www.goodreads.com/book/show/52838315-greenlights,"Oh lord, was this annoying. I love a good celebrity memoir, but not when riddled with self-help tidbits. If McConaughey had stuck to personal essays without all the cheesy, self-satisfactory interjections (“prescription!” and “note to self!” and “bumper sticker!”), I’d have liked it more, even though the stories themselves felt very anecdotal and lacked depth. Unless you’re a massive fan, I can’t recommend."
Cindy,https://www.goodreads.com/user/show/29827030-cindy,2,https://www.goodreads.com/book/show/52838315-greenlights,Another narcissistic actor who loves to hear himself talk! This book was very preachy and about as deep as a paper cut! What have I learned about Matthew? I've learned that I never want to be stuck in a room with him!
Keven Wang,https://www.goodreads.com/user/show/17082313-keven-wang,5,https://www.goodreads.com/book/show/52838315-greenlights,This book needs to be consumed in audiobook form. With the stories and the accents
