genre,title,author,pages,unique_key,average_rating,book_description
contemporary,Spoiler Alert,by Olivia Dade (Goodreads Author),416 pages,https://www.goodreads.com/book/show/50496918-spoiler-alert,3.98,"Olivia Dade bursts onto the scene in this delightfully fun romantic comedy set in the world of fanfiction, in which a devoted fan goes on an unexpected date with her celebrity crush, who’s secretly posting fanfiction of his own. 

Marcus Caster-Rupp has a secret. While the world knows him as Aeneas, the star of the biggest show on TV, Gods of the Gates, he's known to fanfiction readers as Book!AeneasWouldNever, an anonymous and popular poster.  Marcus is able to get out his own frustrations with his character through his stories, especially the ones that feature the internet’s favorite couple to ship, Aeneas and Lavinia. But if anyone ever found out about his online persona, he’d be fired. Immediately.

April Whittier has secrets of her own. A hardcore Lavinia fan, she’s hidden her fanfiction and cosplay hobby from her “real life” for years—but not anymore. When she decides to post her latest Lavinia creation on Twitter, her photo goes viral. Trolls and supporters alike are commenting on her plus-size take, but when Marcus, one half of her OTP, sees her pic and asks her out on a date to spite her critics, she realizes life is really stranger than fanfiction.

Even though their first date is a disaster, Marcus quickly realizes that he wants much more from April than a one-time publicity stunt. And when he discovers she’s actually Unapologetic Lavinia Stan, his closest fandom friend, he has one more huge secret to hide from her.

With love and Marcus’s career on the line, can the two of them stop hiding once and for all, or will a match made in fandom end up prematurely cancelled?"
contemporary,Crazy Stupid Bromance,by Lyssa Kay Adams (Goodreads Author),352 pages,https://www.goodreads.com/book/show/50972370-crazy-stupid-bromance,4.05,"Alexis Carlisle and her cat café, ToeBeans, have shot to fame after she came forward as a victim of a celebrity chef’s sexual harassment. When a new customer approaches to confide in her, the last thing Alexis expects is for the woman to claim they’re sisters. Unsure what to do, Alexis turns to the only man she trusts—her best friend, Noah Logan.

Computer genius Noah left his rebellious teenage hacker past behind to become a computer security expert. Now he only uses his old skills for the right cause. But Noah’s got a secret: He’s madly in love with Alexis. When she asks for his help, he wonders if the timing will ever be right to confess his crush.

Noah’s pals in The Bromance Book Club are more than willing to share their beloved “manuals” to help him go from bud to boyfriend. But he must decide if telling the truth is worth risking the best friendship he’s ever had.

A hacktivist and a cat café owner decode the friend zone in this romantic comedy from the author of Undercover Bromance."
contemporary,The Neil Gaiman Reader: Selected Fiction,by Neil Gaiman (Goodreads Author),752 pages,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,4.54,"An outstanding array—52 pieces in all—of selected fiction from the multiple-award-winning, #1 New York Times bestselling author Neil Gaiman, curated by his readers around the world, and introduced with a foreword by Booker Prize-winning author Marlon James

Spanning Gaiman’s career to date, The Neil Gaiman Reader: Selected Fiction is a captivating collection from one of the world’s most beloved writers, chosen by those who know his work best: his devoted readers. 

A brilliant representation of Gaiman's groundbreaking, entrancing, endlessly imaginative fiction, this captivating volume includes excerpts from each of his five novels for adults —Neverwhere, Stardust, American Gods, Anansi Boys, and The Ocean at the End of the Lane—and nearly fifty of his short stories. 

Impressive in its depth and range, The Neil Gaiman Reader: Selected Fiction is both an entryway to Gaiman’s oeuvre and a literary trove Gaiman fans old and new will return to many times over."
contemporary,Charming as a Verb,by Ben Philippe (Goodreads Author),336 pages,https://www.goodreads.com/book/show/49867239-charming-as-a-verb,4.01,"Henri “Halti” Haltiwanger can charm just about anyone. He is a star debater and popular student at the prestigious FATE academy, the dutiful first-generation Haitian son, and the trusted dog walker for his wealthy New York City neighbors. But his easy smiles mask a burning ambition to attend his dream college, Columbia University.

There is only one person who seems immune to Henri’s charms: his “intense” classmate and neighbor Corinne Troy. When she uncovers Henri’s less-than-honest dog-walking scheme, she blackmails him into helping her change her image at school. Henri agrees, seeing a potential upside for himself.

Soon what started as a mutual hustle turns into something more surprising than either of them ever bargained for. . . .

This is a sharply funny and insightful novel about the countless hustles we have to keep from doing the hardest thing: being ourselves."
contemporary,The Code for Love and Heartbreak,by Jillian Cantor (Goodreads Author),304 pages,https://www.goodreads.com/book/show/48713839-the-code-for-love-and-heartbreak,3.56,"From bestselling author Jillian Cantor comes a smart, edgy update of Jane Austen's beloved classic Emma.

Emma Woodhouse is a genius at math, but clueless about people. After all, people are unreliable. They let you down—just like Emma's sister, Izzy, did this year, when she moved to California for college. But numbers...those you can count on. (No pun intended.)

Emma's senior year is going to be all about numbers, and seeing how far they can take her. When she and George, her Coding Club co-president, are tasked with brainstorming a new project, The Code for Love is born—a matchmaking app that goes far beyond swiping, using algorithms to calculate compatibility. George disapproves of Emma's idea, accusing her of meddling in people's lives. But all the happy new couples at school are proof that the app works. At least at first.

Emma's code is flawless. So why is it that perfectly matched couples start breaking up, the wrong people keep falling for each other and her own feelings defy any algorithm? Emma thought math could solve everything. But there's nothing more complex—or unpredictable—than love."
contemporary,This Is All Your Fault,by Aminah Mae Safi (Goodreads Author),320 pages,https://www.goodreads.com/book/show/46223214-this-is-all-your-fault,3.62,"Set over the course of one day, Aminah Mae Safi's This Is All Your Fault is a smart and voice-driven YA novel that follows three young women determined to save their indie bookstore.

Rinn Olivera is finally going to tell her longtime crush AJ that she’s in love with him.

Daniella Korres writes poetry for her own account, but nobody knows it’s her.

Imogen Azar is just trying to make it through the day.

When Rinn, Daniella, and Imogen clock into work at Wild Nights Bookstore on the first day of summer, they’re expecting the hours to drift by the way they always do. Instead, they have to deal with the news that the bookstore is closing. Before the day is out, there’ll be shaved heads, a diva author, and a very large shipment of Air Jordans to contend with.

And it will take all three of them working together if they have any chance to save Wild Nights Bookstore."""
contemporary,Simmer Down,by Sarah Smith (Goodreads Author),336 pages,https://www.goodreads.com/book/show/44327422-simmer-down,3.57,"In this finger-licking good rom-com, two is the perfect number of cooks in the kitchen.

Nikki DiMarco knew life wouldn’t be all sunshine and coconuts when she quit her dream job to help her mom serve up mouthwatering Filipino dishes to hungry beach goers, but she didn’t expect the Maui food truck scene to be so eat-or-be-eaten—or the competition to be so smoking hot.

But Tiva’s Filipina Kusina has faced bigger road bumps than the arrival of Callum James. Nikki doesn’t care how delectable the British food truck owner is—he rudely set up shop next to her coveted beach parking spot. He’s stealing her customers and fanning the flames of a public feud that makes her see sparks.

The solution? Let the upcoming Maui Food Festival decide their fate. Winner keeps the spot. Loser pounds sand. But the longer their rivalry simmers, the more Nikki starts to see a different side of Callum…a sweet, protective side. Is she brave enough to call a truce? Or will trusting Callum with her heart mean jumping from the frying pan into the fire?"
contemporary,Mistletoe and Mr. Right,by Sarah Morgenthaler (Goodreads Author),400 pages,https://www.goodreads.com/book/show/49169370-mistletoe-and-mr-right,3.78,"How the moose (almost) stole Christmas.

Lana Montgomery is everything the quirky small town of Moose Springs, Alaska can't stand: a rich socialite with dreams of changing things for the better. But Lana's determined to prove that she belongs...even if it means trading her stilettos for snow boots and tracking one of the town's hairiest Christmas mysteries: the Santa Moose, an antlered Grinch hell-bent on destroying every bit of holiday cheer (and tinsel) it can sink its teeth into.

And really...how hard could it be?

The last few years have been tough on Rick Harding, and it's not getting any easier now that his dream girl's back in town. When Lana accidentally tranquilizes him instead of the Santa Moose, it's clear she needs help, fast...and this could be his chance to finally catch her eye. It's an all-out Christmas war, but if they can nab that darn moose before it destroys the town, Rick and Lana might finally find a place where they both belong...together."
contemporary,I Hope You're Listening,by Tom Ryan (Goodreads Author),368 pages,https://www.goodreads.com/book/show/51344270-i-hope-you-re-listening,3.91,"In her small town, seventeen year-old Delia “Dee” Skinner is known as the girl who wasn’t taken. Ten years ago, she witnessed the abduction of her best friend, Sibby. And though she told the police everything she remembered, it wasn’t enough. Sibby was never seen again.At night, Dee deals with her guilt by becoming someone else: the Seeker, the voice behind the popular true crime podcast Radio Silent, which features missing persons cases and works with online sleuths to solve them. Nobody knows Dee’s the Seeker, and she plans to keep it that way.When another little girl goes missing, and the case is linked to Sibby’s disappearance, Dee has a chance to get answers, with the help of her virtual detectives and the intriguing new girl at school. But how much is she willing to reveal about herself in order to uncover the truth? Dee’s about to find out what’s really at stake in unraveling the mystery of the little girls who vanished."
contemporary,"Together, Apart","by Erin A. Craig (Goodreads Author), Auriane Desombre (Goodreads Author), Erin Hahn (Goodreads Author), Bill Konigsberg (Goodreads Author), Rachael Lippincott (Goodreads Author), Brittney Morris (Goodreads Author), Sajni Patel (Goodreads Author), Natasha Preston (Goodreads Author), more…",288 pages,https://www.goodreads.com/book/show/54326427-together-apart,3.93,"A collection of original contemporary love stories set during life in lockdown by some of today's most popular YA authors.

Erin Craig ""delivers"" on a story about a new girl in town and the cute pizza delivery boy, Auriane Desombre captures our hearts with teens communicating through window signs, and Bill Konigsberg takes us along on daily walks with every step bringing us closer to love. There's flirting and romance from Rachael Lippincott, a tale of a determined girl with a mask-making business from Erin Hahn, and a music-inspired love connection from Sajni Patel. Brittney Morris turns enemies to lovers with the help of a balcony herb garden, Jennifer Yen writes an unconventional romance that starts outside a hospital, and Natasha Preston's teens discover each other--and their love story--in a storybook oak tree.

Romantic, realistic, sweet and uplifting, TOGETHER, APART is a collection of finding love in unexpected places during an unprecedented time . . . each with the one thing we all want: a guaranteed happy ending."
