genre,title,author,pages,unique_key,average_rating,book_description
drama,The Harpy,by Megan Hunter (Goodreads Author),194 pages,https://www.goodreads.com/book/show/48637753-the-harpy,3.59,"Part revenge tale, part fairytale, The Harpy is an electrifying story of marriage, infidelity and power by the author of the #1 Indie Next Pick, The End We Start From, Megan Hunter

Lucy and Jake live in a house by a field where the sun burns like a ball of fire. Lucy has set her career aside in order to devote her life to the children, to their finely tuned routine, and to the house itself, which comforts her like an old, sly friend. But then a man calls one afternoon with a shattering message: his wife has been having an affair with Lucy's husband, Jake.

The revelation marks a turning point: Lucy and Jake decide to stay together, but make a special arrangement designed to even the score and save their marriage--she will hurt him three times.

As the couple submit to a delicate game of crime and punishment, Lucy herself begins to change, surrendering to a transformation of both mind and body from which there is no return.

Told in dazzling, musical prose, The Harpy is a dark, staggering fairy tale, at once mythical and otherworldly and fiercely contemporary. It is a novel of love, marriage and its failures, of power, control and revenge, of metamorphosis and renewal."
drama,The Lakehouse,by Joe Clifford (Goodreads Author),320 pages,https://www.goodreads.com/book/show/53062181-the-lakehouse,3.59,
drama,Happily Letter After,"by Vi Keeland (Goodreads Author), Penelope Ward (Goodreads Author)",299 pages,https://www.goodreads.com/book/show/51494123-happily-letter-after,4.26,"From New York Times bestselling authors Vi Keeland and Penelope Ward comes a love story about taking chances, and the surprises that come with them.

My love story all started with a letter.

Only it wasn’t from the man I’d eventually fall in love with. It was from his daughter.  A sweet little girl named Birdie Maxwell who’d written to the magazine that I worked for.

You see, once a year, my employer fulfilled a few wishes for readers. Only that column didn’t start up again for months.

So I fulfilled some of her wishes myself. It was harmless…so I thought. Until one day I took things too far.

While anonymously granting yet another of Birdie’s wishes, I got a look at her father. Her devastatingly handsome, single dad father. 

I should have stopped playing fairy godmother then. I should have left well enough alone. But I just couldn’t help myself.  I had a connection to this girl. One that had me acting irrationally.

Like showing up on their doorstep."
drama,"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",by Gregg Olsen (Goodreads Author),410 pages,https://www.goodreads.com/book/show/45299992-if-you-tell,3.98,"After more than a decade, when sisters Nikki, Sami, and Tori Knotek hear the word mom, it claws like an eagle’s talons, triggering memories that have been their secret since childhood. Until now.
For years, behind the closed doors of their farmhouse in Raymond, Washington, their sadistic mother, Shelly, subjected her girls to unimaginable abuse, degradation, torture, and psychic terrors. Through it all, Nikki, Sami, and Tori developed a defiant bond that made them far less vulnerable than Shelly imagined. Even as others were drawn into their mother’s dark and perverse web, the sisters found the strength and courage to escape an escalating nightmare that culminated in multiple murders."
drama,Pretty When She Cries,by A. Zavarelli (Goodreads Author),329 pages,https://www.goodreads.com/book/show/54334176-pretty-when-she-cries,4.15,
drama,Little Fires Everywhere,by Celeste Ng (Goodreads Author),368 pages,https://www.goodreads.com/book/show/51704136-little-fires-everywhere,4.10,
drama,This Magnificent Dappled Sea,by David Biro (Goodreads Author),255 pages,https://www.goodreads.com/book/show/55522057-this-magnificent-dappled-sea,4.07,"Two strangers—generations and oceans apart—have a chance to save each other in this moving and suspenseful novel about family secrets and the ineffable connections that attach us.

In a small Northern Italian village, nine-year-old Luca Taviano catches a stubborn cold and is subsequently diagnosed with leukemia. His only hope for survival is a bone marrow transplant. After an exhaustive search, a match turns up three thousand miles away in the form of a most unlikely donor: Joseph Neiman, a rabbi in Brooklyn, New York, who is suffering from a debilitating crisis of faith. As Luca’s young nurse, Nina Vocelli, risks her career and races against time to help save the spirited redheaded boy, she uncovers terrible secrets from World War II—secrets that reveal how a Catholic child could have Jewish genes.

Can inheritance be transcended by accidents of love? That is the question at the heart of This Magnificent Dappled Sea, a novel that challenges the idea of identity and celebrates the ties that bind us together."
drama,Eleanor Oliphant Is Completely Fine,by Gail Honeyman,327 pages,https://www.goodreads.com/book/show/53769761-eleanor-oliphant-is-completely-fine,4.28,"Librarian's note: An alternate cover edition can be found here

No one’s ever told Eleanor that life should be better than fine

Meet Eleanor Oliphant: she struggles with appropriate social skills and tends to say exactly what she’s thinking. Nothing is missing in her carefully timetabled life of avoiding unnecessary human contact, where weekends are punctuated by frozen pizza"
drama,Where the Forest Meets the Stars,by Glendy Vanderah (Goodreads Author),332 pages,https://www.goodreads.com/book/show/40545956-where-the-forest-meets-the-stars,4.11,"In this gorgeously stunning debut, a mysterious child teaches two strangers how to love and trust again.
After the loss of her mother and her own battle with breast cancer, Joanna Teale returns to her graduate research on nesting birds in rural Illinois, determined to prove that her recent hardships have not broken her. She throws herself into her work from dusk to dawn, until her solitary routine is disrupted by the appearance of a mysterious child who shows up at her cabin barefoot and covered in bruises.
The girl calls herself Ursa, and she claims to have been sent from the stars to witness five miracles. With concerns about the child’s home situation, Jo reluctantly agrees to let her stay—just until she learns more about Ursa’s past.
Jo enlists the help of her reclusive neighbor, Gabriel Nash, to solve the mystery of the charming child. But the more time they spend together, the more questions they have. How does a young girl not only read but understand Shakespeare? Why do good things keep happening in her presence? And why aren’t Jo and Gabe checking the missing children’s website anymore?
Though the three have formed an incredible bond, they know difficult choices must be made. As the summer nears an end and Ursa gets closer to her fifth miracle, her dangerous past closes in. When it finally catches up to them, all of their painful secrets will be forced into the open, and their fates will be left to the stars."
drama,When We Believed in Mermaids,by Barbara O'Neal (Goodreads Author),348 pages,https://www.goodreads.com/book/show/43717362-when-we-believed-in-mermaids,4.20,"From the author of The Art of Inheriting Secrets comes an emotional new tale of two sisters, an ocean of lies, and a search for the truth.
Her sister has been dead for fifteen years when she sees her on the TV news…
Josie Bianci was killed years ago on a train during a terrorist attack. Gone forever. It’s what her sister, Kit, an ER doctor in Santa Cruz, has always believed. Yet all it takes is a few heart-wrenching seconds to upend Kit’s world. Live coverage of a club fire in Auckland has captured the image of a woman stumbling through the smoke and debris. Her resemblance to Josie is unbelievable. And unmistakable. With it comes a flood of emotions—grief, loss, and anger—that Kit finally has a chance to put to rest: by finding the sister who’s been living a lie.
After arriving in New Zealand, Kit begins her journey with the memories of the past: of days spent on the beach with Josie. Of a lost teenage boy who’d become part of their family. And of a trauma that has haunted Kit and Josie their entire lives.
Now, if two sisters are to reunite, it can only be by unearthing long-buried secrets and facing a devastating truth that has kept them apart far too long. To regain their relationship, they may have to lose everything."
