genre,title,author,pages,unique_key,average_rating,book_description
fiction,Leave the World Behind,by Rumaan Alam (Goodreads Author),241 pages,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,3.39,"A magnetic novel about two families, strangers to each other, who are forced together on a long weekend gone terribly wrong

Amanda and Clay head out to a remote corner of Long Island expecting a vacation: a quiet reprieve from life in New York City, quality time with their teenage son and daughter, and a taste of the good life in the luxurious home they’ve rented for the week. But a late-night knock on the door breaks the spell. Ruth and G. H. are an older black couple—it’s their house, and they’ve arrived in a panic. They bring the news that a sudden blackout has swept the city. But in this rural area—with the TV and internet now down, and no cell phone service—it’s hard to know what to believe.

Should Amanda and Clay trust this couple—and vice versa? What happened back in New York? Is the vacation home, isolated from civilization, a truly safe place for their families? And are they safe from one another? 

Suspenseful and provocative, Rumaan Alam’s third novel is keenly attuned to the complexities of parenthood, race, and class. Leave the World Behind explores how our closest bonds are reshaped—and unexpected new ones are forged—in moments of crisis. "
fiction,The Once and Future Witches,by Alix E. Harrow (Goodreads Author),528 pages,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,4.19,"In 1893, there's no such thing as witches. There used to be, in the wild, dark days before the burnings began, but now witching is nothing but tidy charms and nursery rhymes. If the modern woman wants any measure of power, she must find it at the ballot box.

But when the Eastwood sisters--James Juniper, Agnes Amaranth, and Beatrice Belladonna--join the suffragists of New Salem, they begin to pursue the forgotten words and ways that might turn the women's movement into the witch's movement. Stalked by shadows and sickness, hunted by forces who will not suffer a witch to vote-and perhaps not even to live-the sisters will need to delve into the oldest magics, draw new alliances, and heal the bond between them if they want to survive.

There's no such thing as witches. But there will be."
fiction,The Devil and the Dark Water,by Stuart Turton (Goodreads Author),463 pages,https://www.goodreads.com/book/show/51854625-the-devil-and-the-dark-water,3.99,"A murder on the high seas. A detective duo. A demon who may or may not exist.

It's 1634 and Samuel Pipps, the world's greatest detective, is being transported to Amsterdam to be executed for a crime he may, or may not, have committed. Travelling with him is his loyal bodyguard, Arent Hayes, who is determined to prove his friend innocent.

But no sooner are they out to sea than devilry begins to blight the voyage. A twice-dead leper stalks the decks. Strange symbols appear on the sails. Livestock is slaughtered.

And then three passengers are marked for death, including Samuel.

Could a demon be responsible for their misfortunes?

With Pipps imprisoned, only Arent can solve a mystery that connects every passenger onboard. A mystery that stretches back into their past and now threatens to sink the ship, killing everybody on board.

The breathtaking new novel from Stuart Turton, author of the The 7 1/2 Deaths of Evelyn Hardcastle, winner of the Costa Best First Novel Award."
fiction,Magic Lessons,by Alice Hoffman (Goodreads Author),416 pages,https://www.goodreads.com/book/show/50892349-magic-lessons,4.33,"In an unforgettable novel that traces a centuries-old curse to its source, beloved author Alice Hoffman unveils the story of Maria Owens, accused of witchcraft in Salem, and matriarch of a line of the amazing Owens women and men featured in Practical Magic and The Rules of Magic.

Where does the story of the Owens bloodline begin? With Maria Owens, in the 1600s, when she’s abandoned in a snowy field in rural England as a baby. Under the care of Hannah Owens, Maria learns about the “Unnamed Arts.” Hannah recognizes that Maria has a gift and she teaches the girl all she knows. It is here that she learns her first important lesson: Always love someone who will love you back.

When Maria is abandoned by the man who has declared his love for her, she follows him to Salem, Massachusetts. Here she invokes the curse that will haunt her family. And it’s here that she learns the rules of magic and the lesson that she will carry with her for the rest of her life. Love is the only thing that matters.

Magic Lessons is a celebration of life and love and a showcase of Alice Hoffman’s masterful storytelling."
fiction,Plain Bad Heroines,"by Emily M. Danforth (Goodreads Author), Sara Lautman (Illustrations)",608 pages,https://www.goodreads.com/book/show/50496875-plain-bad-heroines,3.84,"A highly imaginative and original horror-comedy centered around a cursed New England boarding school for girls—a wickedly whimsical celebration of the art of storytelling, sapphic love, and the rebellious female spirit.

Our story begins in 1902, at The Brookhants School for Girls. Flo and Clara, two impressionable students, are obsessed with each other and with a daring young writer named Mary MacLane, the author of a scandalous bestselling memoir. To show their devotion to Mary, the girls establish their own private club and call it The Plain Bad Heroine Society. They meet in secret in a nearby apple orchard, the setting of their wildest happiness and, ultimately, of their macabre deaths. This is where their bodies are later discovered with a copy of Mary’s book splayed beside them, the victims of a swarm of stinging, angry yellow jackets. Less than five years later, The Brookhants School for Girls closes its doors forever—but not before three more people mysteriously die on the property, each in a most troubling way.

Over a century later, the now abandoned and crumbling Brookhants is back in the news when wunderkind writer, Merritt Emmons, publishes a breakout book celebrating the queer, feminist history surrounding the “haunted and cursed” Gilded-Age institution. Her bestselling book inspires a controversial horror film adaptation starring celebrity actor and lesbian it girl Harper Harper playing the ill-fated heroine Flo, opposite B-list actress and former child star Audrey Wells as Clara. But as Brookhants opens its gates once again, and our three modern heroines arrive on set to begin filming, past and present become grimly entangled—or perhaps just grimly exploited—and soon it’s impossible to tell where the curse leaves off and Hollywood begins.

A story within a story within a story and featuring black-and-white period illustrations, Plain Bad Heroines is a devilishly haunting, modern masterwork of metafiction that manages to combine the ghostly sensibility of Sarah Waters with the dark imagination of Marisha Pessl and the sharp humor and incisive social commentary of Curtis Sittenfeld into one laugh-out-loud funny, spellbinding, and wonderfully luxuriant read."
fiction,Black Sun,by Rebecca Roanhorse (Goodreads Author),454 pages,https://www.goodreads.com/book/show/50892360-black-sun,4.35,"From the New York Times bestselling author of Star Wars: Resistance Reborn comes the first book in the Between Earth and Sky trilogy, inspired by the civilizations of the Pre-Columbian Americas and woven into a tale of celestial prophecies, political intrigue, and forbidden magic.

A god will return
When the earth and sky converge
Under the black sun

In the holy city of Tova, the winter solstice is usually a time for celebration and renewal, but this year it coincides with a solar eclipse, a rare celestial event proscribed by the Sun Priest as an unbalancing of the world.

Meanwhile, a ship launches from a distant city bound for Tova and set to arrive on the solstice. The captain of the ship, Xiala, is a disgraced Teek whose song can calm the waters around her as easily as it can warp a man’s mind. Her ship carries one passenger. Described as harmless, the passenger, Serapio, is a young man, blind, scarred, and cloaked in destiny. As Xiala well knows, when a man is described as harmless, he usually ends up being a villain.

Crafted with unforgettable characters, Rebecca Roanhorse has created an epic adventure exploring the decadence of power amidst the weight of history and the struggle of individuals swimming against the confines of society and their broken pasts in the most original series debut of the decade."
fiction,Among the Beasts & Briars,by Ashley Poston (Goodreads Author),352 pages,https://www.goodreads.com/book/show/50622362-among-the-beasts-briars,3.92,
fiction,The Hollow Places,by T. Kingfisher,352 pages,https://www.goodreads.com/book/show/50892288-the-hollow-places,3.99,"A young woman discovers a strange portal in her uncle’s house, leading to madness and terror in this gripping new novel.

Pray they are hungry.

Kara finds these words in the mysterious bunker that she’s discovered behind a hole in the wall of her uncle’s house. Freshly divorced and living back at home, Kara now becomes obsessed with these cryptic words and starts exploring the peculiar bunker—only to discover that it holds portals to countless alternate realities. But these places are haunted by creatures that seem to hear thoughts…and the more you fear them, the stronger they become."
fiction,Crazy Stupid Bromance,by Lyssa Kay Adams (Goodreads Author),352 pages,https://www.goodreads.com/book/show/50972370-crazy-stupid-bromance,4.05,"Alexis Carlisle and her cat café, ToeBeans, have shot to fame after she came forward as a victim of a celebrity chef’s sexual harassment. When a new customer approaches to confide in her, the last thing Alexis expects is for the woman to claim they’re sisters. Unsure what to do, Alexis turns to the only man she trusts—her best friend, Noah Logan.

Computer genius Noah left his rebellious teenage hacker past behind to become a computer security expert. Now he only uses his old skills for the right cause. But Noah’s got a secret: He’s madly in love with Alexis. When she asks for his help, he wonders if the timing will ever be right to confess his crush.

Noah’s pals in The Bromance Book Club are more than willing to share their beloved “manuals” to help him go from bud to boyfriend. But he must decide if telling the truth is worth risking the best friendship he’s ever had.

A hacktivist and a cat café owner decode the friend zone in this romantic comedy from the author of Undercover Bromance."
fiction,Love Your Life,by Sophie Kinsella (Goodreads Author),432 pages,https://www.goodreads.com/book/show/53479913-love-your-life,3.51,"From the #1 New York Times bestselling author of I Owe You One, an utterly delightful novel about a woman who ditches her dating app for a writer's retreat in Italy--only to find that real love comes with its own filters

""As close to perfect as romantic comedies get.""--Jenny Colgan, New York Times bestselling author of The Bookshop on the Corner

Call Ava romantic, but she thinks love should be found in the real world, not on apps that filter men by height, job, or astrological sign. She believes in feelings, not algorithms. So after a recent breakup and dating app debacle, she decides to put love on hold and escapes to a remote writers' retreat in coastal Italy. She's determined to finish writing the novel she's been fantasizing about, even though it means leaving her close-knit group of friends and her precious dog, Harold, behind.

At the retreat, she's not allowed to use her real name or reveal any personal information. When the neighboring martial arts retreat is canceled and a few of its attendees join their small writing community, Ava, now going by ""Aria,"" meets ""Dutch,"" a man who seems too good to be true. The two embark on a baggage-free, whirlwind love affair, cliff-jumping into gem-colored Mediterranean waters and exploring the splendor of the Italian coast. Things seem to be perfect for Aria and Dutch.

But then their real identities--Ava and Matt--must return to London. As their fantasy starts to fade, they discover just how different their personal worlds are. From food choices to annoying habits to sauna etiquette . . . are they compatible in anything? And then there's the prickly situation with Matt's ex-girlfriend, who isn't too eager to let him go. As one mishap follows another, it seems while they love each other, they just can't love each other's lives. Can they reconcile their differences to find one life together?"
fiction,Ring Shout,by P. Djèlí Clark,192 pages,https://www.goodreads.com/book/show/49247242-ring-shout,4.25,"Nebula, Locus, and Alex Award-winner P. Djèlí Clark returns with Ring Shout, a dark fantasy historical novella that gives a supernatural twist to the Ku Klux Klan's reign of terror.

D. W. Griffith is a sorcerer, and The Birth of a Nation is a spell that drew upon the darkest thoughts and wishes from the heart of America. Now, rising in power and prominence, the Klan has a plot to unleash Hell on Earth.

Luckily, Maryse Boudreaux has a magic sword and a head full of tales. When she's not running bootleg whiskey through Prohibition Georgia, she's fighting monsters she calls ""Ku Kluxes."" She's damn good at it, too. But to confront this ongoing evil, she must journey between worlds to face nightmares made flesh--and her own demons. Together with a foul-mouthed sharpshooter and a Harlem Hellfighter, Maryse sets out to save a world from the hate that would consume it."
fiction,The Sentinel,"by Lee Child (Goodreads Author), Andrew Child",353 pages,https://www.goodreads.com/book/show/50537351-the-sentinel,4.05,"As always, Reacher has no particular place to go, and all the time in the world to get there. One morning he ends up in a town near Pleasantville, Tennessee.

But there’s nothing pleasant about the place.

In broad daylight Reacher spots a hapless soul walking into an ambush. “It was four against one” . . . so Reacher intervenes, with his own trademark brand of conflict resolution.

The man he saves is Rusty Rutherford, an unassuming IT manager, recently fired after a cyberattack locked up the town’s data, records, information . . . and secrets. Rutherford wants to stay put, look innocent, and clear his name.

Reacher is intrigued. There’s more to the story. The bad guys who jumped Rutherford are part of something serious and deadly, involving a conspiracy, a cover-up, and murder—all centered on a mousy little guy in a coffee-stained shirt who has no idea what he’s up against.

Rule one: if you don’t know the trouble you’re in, keep Reacher by your side."
fiction,The Neil Gaiman Reader: Selected Fiction,by Neil Gaiman (Goodreads Author),752 pages,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,4.55,"An outstanding array—52 pieces in all—of selected fiction from the multiple-award-winning, #1 New York Times bestselling author Neil Gaiman, curated by his readers around the world, and introduced with a foreword by Booker Prize-winning author Marlon James

Spanning Gaiman’s career to date, The Neil Gaiman Reader: Selected Fiction is a captivating collection from one of the world’s most beloved writers, chosen by those who know his work best: his devoted readers. 

A brilliant representation of Gaiman's groundbreaking, entrancing, endlessly imaginative fiction, this captivating volume includes excerpts from each of his five novels for adults —Neverwhere, Stardust, American Gods, Anansi Boys, and The Ocean at the End of the Lane—and nearly fifty of his short stories. 

Impressive in its depth and range, The Neil Gaiman Reader: Selected Fiction is both an entryway to Gaiman’s oeuvre and a literary trove Gaiman fans old and new will return to many times over."
fiction,The Cold Millions,by Jess Walter,352 pages,https://www.goodreads.com/book/show/50358038-the-cold-millions,4.14,"The author of the #1 New York Times bestseller Beautiful Ruins delivers another “literary miracle” (NPR)—a propulsive, richly entertaining novel about two adventure-seeking brothers, the enemies who threaten them, and the women who reveal to them an unjust world on the brink of upheaval.

The Dolan brothers live by their wits, jumping freight trains and lining up for day work at crooked job agencies. While sixteen-year-old Rye yearns for a steady job and a home, his dashing older brother Gig dreams of a better world, fighting alongside other union men for fair pay and decent treatment. Enter Ursula the Great, a vaudeville singer who performs with a live cougar, and who introduces the brothers to a far more dangerous creature: a powerful mining magnate who will stop at nothing to keep his wealth and his hold on Ursula.

Dubious of his brother’s idealism, Rye finds himself drawn to a fearless nineteen-year-old activist and feminist named Elizabeth Gurley Flynn, her passion sweeping him into the workers’ cause. But a storm is coming, threatening to overwhelm them all, and Rye will be forced to decide where he stands. Is it enough to win the occasional battle, even if you cannot win the war?

An intimate story of brotherhood, love, sacrifice and betrayal set against the panoramic backdrop of an early twentieth-century century America that eerily echoes our own time, The Cold Millions offers a stunning, kaleidoscopic portrait of a nation grappling with the chasm between rich and poor, between harsh realities and simple dreams. Featuring an unforgettable cast of cops and tramps, suffragists and socialists, madams and murderers, it is a powerful and moving tour de force from a “writer who has planted himself firmly in the first rank of American authors” (Boston Globe)."
fiction,They Never Learn,by Layne Fargo (Goodreads Author),352 pages,https://www.goodreads.com/book/show/50892240-they-never-learn,4.18,"From the author of the “raw, ingenious, and utterly fearless” (Wendy Walker, USA TODAY bestselling author) Temper comes a dynamic psychological thriller about two women who give bad men exactly what they deserve.

Scarlett Clark is an exceptional English professor. But she’s even better at getting away with murder.

Every year, she searches for the worst man at Gorman University and plots his well-deserved demise. Thanks to her meticulous planning, she’s avoided drawing attention to herself—but as she’s preparing for her biggest kill yet, the school starts probing into the growing body count on campus. Determined to keep her enemies close, Scarlett insinuates herself into the investigation and charms the woman in charge, Dr. Mina Pierce. Everything’s going according to her master plan…until she loses control with her latest victim, putting her secret life at risk of exposure.

Meanwhile, Gorman student Carly Schiller is just trying to survive her freshman year. Finally free of her emotionally abusive father, all Carly wants is to focus on her studies and fade into the background. Her new roommate has other ideas. Allison Hadley is cool and confident—everything Carly wishes she could be—and the two girls quickly form an intense friendship. So when Allison is sexually assaulted at a party, Carly becomes obsessed with making the attacker pay...and turning her fantasies about revenge into a reality.

Featuring Layne Fargo’s trademark “propulsive writing style” (Kirkus Reviews) and “sinister, of the moment” (Chicago Review of Books) suspense, They Never Learn is a feminist serial killer story perfect for fans of Killing Eve and Chelsea Cain."
fiction,Dawnshard,by Brandon Sanderson (Goodreads Author),208 pages,https://www.goodreads.com/book/show/54511226-dawnshard,4.64,"From Brandon Sanderson—author of the #1 New York Times bestselling Stormlight Archive and its fourth massive installment, Rhythm of War—comes a new hefty novella, Dawnshard. Taking place between Oathbringer and Rhythm of War, this tale (like Edgedancer before it) gives often-overshadowed characters their own chance to shine.

When a ghost ship is discovered, its crew presumed dead after trying to reach the storm-shrouded island Akinah, Navani Kholin must send an expedition to make sure the island hasn't fallen into enemy hands. Knights Radiant who fly too near find their Stormlight suddenly drained, so the voyage must be by sea.

Shipowner Rysn Ftori lost the use of her legs but gained the companionship of Chiri-Chiri, a Stormlight-ingesting winged larkin, a species once thought extinct. Now Rysn's pet is ill, and any hope for Chiri-Chiri’s recovery can be found only at the ancestral home of the larkin: Akinah. With the help of Lopen, the formerly one-armed Windrunner, Rysn must accept Navani's quest and sail into the perilous storm from which no one has returned alive. If the crew cannot uncover the secrets of the hidden island city before the wrath of its ancient guardians falls upon them, the fate of Roshar and the entire Cosmere hangs in the balance."
fiction,The Sentinel,"by Lee Child (Goodreads Author), Andrew Child",353 pages,https://www.goodreads.com/book/show/50537351-the-sentinel,4.05,"As always, Reacher has no particular place to go, and all the time in the world to get there. One morning he ends up in a town near Pleasantville, Tennessee.

But there’s nothing pleasant about the place.

In broad daylight Reacher spots a hapless soul walking into an ambush. “It was four against one” . . . so Reacher intervenes, with his own trademark brand of conflict resolution.

The man he saves is Rusty Rutherford, an unassuming IT manager, recently fired after a cyberattack locked up the town’s data, records, information . . . and secrets. Rutherford wants to stay put, look innocent, and clear his name.

Reacher is intrigued. There’s more to the story. The bad guys who jumped Rutherford are part of something serious and deadly, involving a conspiracy, a cover-up, and murder—all centered on a mousy little guy in a coffee-stained shirt who has no idea what he’s up against.

Rule one: if you don’t know the trouble you’re in, keep Reacher by your side."
fiction,Where the Crawdads Sing,by Delia Owens (Goodreads Author),384 pages,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,4.47,"For years, rumors of the “Marsh Girl” haunted Barkley Cove, a quiet fishing village. Kya Clark is barefoot and wild; unfit for polite society. So in late 1969, when the popular Chase Andrews is found dead, locals immediately suspect her.

But Kya is not what they say. A born naturalist with just one day of school, she takes life's lessons from the land, learning the real ways of the world from the dishonest signals of fireflies. But while she has the skills to live in solitude forever, the time comes when she yearns to be touched and loved. Drawn to two young men from town, who are each intrigued by her wild beauty, Kya opens herself to a new and startling world–until the unthinkable happens.

In Where the Crawdads Sing, Owens juxtaposes an exquisite ode to the natural world against a profound coming of age story and haunting mystery. Thought-provoking, wise, and deeply moving, Owens’s debut novel reminds us that we are forever shaped by the child within us, while also subject to the beautiful and violent secrets that nature keeps.

The story asks how isolation influences the behavior of a young woman, who like all of us, has the genetic propensity to belong to a group. The clues to the mystery are brushed into the lush habitat and natural histories of its wild creatures."
fiction,Fortune and Glory,by Janet Evanovich (Goodreads Author),320 pages,https://www.goodreads.com/book/show/49779612-fortune-and-glory,4.19,"The twenty-seventh entry in the #1 New York Times bestselling series isn’t just the biggest case of Stephanie Plum’s career. It’s the adventure of a lifetime.

When Stephanie’s beloved Grandma Mazur's new husband died on their wedding night, the only thing he left her was a beat-up old easy chair…and the keys to a life-changing fortune.

But as Stephanie and Grandma Mazur search for Jimmy Rosolli’s treasure, they discover that they’re not the only ones on the hunt. Two dangerous enemies from the past stand in their way—along with a new adversary who’s even more formidable: Gabriela Rose, a dark-eyed beauty from Little Havana with a taste for designer clothes. She’s also a soldier of fortune, a gourmet cook, an expert in firearms and mixed martial arts—and someone who’s about to give Stephanie a real run for her money.

Stephanie may be in over her head, but she’s got two things that Gabriela doesn’t: an unbreakable bond with her family and a stubborn streak that will never let her quit.

She’ll need both to survive because this search for “fortune and glory” will turn into a desperate race against time with more on the line than ever before. Because even as she searches for the treasure and fights to protect her Grandma Mazur, her own deepest feelings will be tested—as Stephanie could finally be forced to choose between Joe Morelli and Ranger."
fiction,The Law of Innocence,by Michael Connelly (Goodreads Author),432 pages,https://www.goodreads.com/book/show/51633925-the-law-of-innocence,4.50,"Lincoln Lawyer Mickey Haller is back in the heartstopping new thriller from #1 New York Times bestselling author Michael Connelly.

Defense attorney Mickey Haller is pulled over by police, who find the body of a client in the trunk of his Lincoln. Haller is charged with murder and can't make the exorbitant $5 million bail slapped on him by a vindictive judge.

Mickey elects to defend himself and must strategize and build his defense from his jail cell in the Twin Towers Correctional Center in downtown Los Angeles, all the while looking over his shoulder – as an officer of the court he is an instant target.

Mickey knows he's been framed. Now, with the help of his trusted team, he has to figure out who has plotted to destroy his life and why. Then he has to go before a judge and jury and prove his innocence.

In his highest stakes case yet, Mickey Haller fights for his life and shows why he is ""a worthy colleague of Atticus Finch...in the front of the pack in the legal thriller game"" (Los Angeles Times)."
fiction,Open House,by Katie Sise (Goodreads Author),255 pages,https://www.goodreads.com/book/show/41256926-open-house,3.90,"A missing young woman, ten years gone. A town still held in the grip of an unsolved mystery. A breathtaking novel of psychological suspense by the bestselling author of We Were Mothers.

A decade ago in upstate New York, art student Emma McCullough walked into the woods and was never seen again. It’s a mystery that still haunts her bucolic university town and her broken family, especially her sister Haley, whose need for closure has become an obsession. But now, finally, the first piece of evidence in the vanishing has been found: Emma’s bracelet, lodged in a frozen piece of earth at the bottom of a gorge. For Emma’s three best college friends, for a beloved former teacher, and for Haley, the chilling trinket is more than a clue in a resurrected cold case. It’s a trigger.

Then a woman is attacked during an open house, and the connections between the two crimes, ten winters apart, begin to surface. So do the secrets that run as deep and dark as the currents in this quiet river town."
fiction,The Cipher,by Isabella Maldonado (Goodreads Author),332 pages,https://www.goodreads.com/book/show/53966623-the-cipher,4.27,"To a cunning serial killer, she was the one that got away. Until now…

FBI Special Agent Nina Guerrera escaped a serial killer’s trap at sixteen. Years later, when she’s jumped in a Virginia park, a video of the attack goes viral. Legions of new fans are not the only ones impressed with her fighting skills. The man who abducted her eleven years ago is watching. Determined to reclaim his lost prize, he commits a grisly murder designed to pull her into the investigation…but his games are just beginning. And he’s using the internet to invite the public to play along.

His coded riddles may have made him a depraved social media superstar—an enigmatic cyber-ghost dubbed “the Cipher”—but to Nina he’s a monster who preys on the vulnerable. Partnered with the FBI’s preeminent mind hunter, Dr. Jeffrey Wade, who is haunted by his own past, Nina tracks the predator across the country. Clue by clue, victim by victim, Nina races to stop a deadly killer while the world watches."
fiction,Every Last Secret,by A.R. Torre (Goodreads Author),389 pages,https://www.goodreads.com/book/show/52347808-every-last-secret,4.17,"Welcome to the neighborhood. Watch your husband, watch your friends, and watch your back.

Cat Winthorpe has worked hard to get what she has: a gorgeous home; social standing; and William, her successful, handsome husband. Then a friendly new couple moves into the estate next door. While cautious, a good neighbor like Cat greets them with open arms and warm hospitality.

Neena Ryder isn’t a fellow lady of leisure. A life coach with off-the-rack dresses, personal issues, and a husband who hasn’t delivered, she’s anxious to move up in the world. This beautiful new town is a step in the right direction. It’s also making Neena aware of what she doesn’t have. Namely, William. When Neena’s infatuation escalates into obsession, it’s just a matter of eliminating a few obstacles to get the life she wants. The life next door.

As Neena’s secret fixation grows, so does her friendship with Cat. But beneath their cordial interactions is a wealth of temptations, secrets, and toxic jealousy. For both women, the desire for a perfect life can turn perfectly dangerous."
fiction,A Broken Bone,by Melinda Leigh (Goodreads Author),90 pages,https://www.goodreads.com/book/show/51092159-a-broken-bone,4.38,"The mysterious death of a local teen leads to a hunt for a killer in the sixth Widow’s Island novella by #1 Wall Street Journal bestselling author Melinda Leigh.

On Widow’s Island, the secrets are dark…and everybody has one. So when Deputy Tessa Black responds to a call about an explosion in a quiet neighborhood, she gets more than she bargained for: the body of a teen who went missing weeks ago.

Until recently, Gavin was living in a reputable foster home. But now that he is found dead—Tessa can’t help but wonder if sinister forces are at play. Who would want to hurt him, and why?

With the help of her partner, Park Ranger Logan Wilde, Tessa tries desperately to decipher what happened to Gavin before another life is cut short. Someone on Widow’s Island knows the explosive truth. Will Tessa find the answers she needs before someone else turns up dead?"
fiction,Spellbreaker,by Charlie N. Holmberg (Goodreads Author),300 pages,https://www.goodreads.com/book/show/49338237-spellbreaker,4.11,"A world of enchanted injustice needs a disenchanting woman in the newest fantasy series by the Wall Street Journal bestselling author of The Paper Magician.

The orphaned Elsie Camden learned as a girl that there were two kinds of wizards in the world: those who pay for the power to cast spells and those, like her, born with the ability to break them. But as an unlicensed magic user, her gift is a crime. Commissioned by an underground group known as the Cowls, Elsie uses her spellbreaking to push back against the aristocrats and help the common man. She always did love the tale of Robin Hood.

Elite magic user Bacchus Kelsey is one elusive spell away from his mastership when he catches Elsie breaking an enchantment. To protect her secret, Elsie strikes a bargain. She’ll help Bacchus fix unruly spells around his estate if he doesn’t turn her in. Working together, Elsie’s trust in—and fondness for—the handsome stranger grows. So does her trepidation about the rise in the murders of wizards and the theft of the spellbooks their bodies leave behind.

For a rogue spellbreaker like Elsie, there’s so much to learn about her powers, her family, the intriguing Bacchus, and the untold dangers shadowing every step of a journey she’s destined to complete. But will she uncover the mystery before it’s too late to save everything she loves?"
