user_name,user_unique_key,number_of_stars,book_unique_key,review_text
Roxane,https://www.goodreads.com/user/show/1151637-roxane,5,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"A white family is vacationing in the Hamptons when the black owners of the home they are renting show up. Together the families must figure out what’s going on, because something terrible is clearly happening. This is an exceptional examination of race and class and family and what the world looks like when it’s ending—not at all different from the world we are in now. Finely o served details throughout."
Nilufer Ozmekik,https://www.goodreads.com/user/show/53701594-nilufer-ozmekik,4,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,
Cindy,https://www.goodreads.com/user/show/57797254-cindy,3,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"This book is the most low-key and vague thriller I’ve read and would therefore be best enjoyed by readers who like very scaled back horror that focuses less on action and more on subtle feelings of dread and uneasiness. The whole point of the book is that you don’t know what’s going on, and it’s the absence of knowledge that is meant to play into the tension and fear. The story personally didn’t strike me the same way, perhaps due to the meandering nature of the conversations between the charact"
JanB ,https://www.goodreads.com/user/show/260116-janb,5,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"4.5 stars

A middle-aged white couple and their two teenage children have their vacation at a luxurious, secluded Airbnb interrupted by a late night knock at the door. The black owners of the home are at the door with a story of a major unknown event that knocked out the power along the east coast.

Over the course of the next few days, tensions surface between the two families and fear is the overriding emotion. There is no cellphone, radio, or tv reception, leaving them totally cut off from the w"
Roman Clodia,https://www.goodreads.com/user/show/56111743-roman-clodia,1,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"A potentially interesting scenario here, though one rather overplayed and everywhere due to Covid, but the writing had me grating my teeth right from the start: 'they huddled and inspected like Caravaggio's Thomas and friends', 'his penis jerked itself towards the sun, a yoga salutation, bouncing, then stiff at the house's allure' - the prose is constantly over-written with a 'why use one word when you could use fifty?' attitude.

The narrative stance is like a third-person stream of consciousnes"
Michelle,https://www.goodreads.com/user/show/53328737-michelle,5,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"Prepare to be freaked the fuck out!!!

Amanda and Clay along with their two teenage children head out to a luxurious vacation home in the Hamptons. They spend the day lounging poolside, eating, drinking, and enjoying each others company which is easy to do when the wi-fi is so spotty where they are. After enjoying a nice dinner and after the kids have turned into bed Amanda and Clay just want to relax after a glorious summer day of sunshine but then there is a knock on the door. This late in the"
Elyse  Walters,https://www.goodreads.com/user/show/597461-elyse-walters,4,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"Audiobook.... read by Marin Ireland

“Love goes on after a bomb”....
And....
“All anyone really wanted was home and food”.....
....Sausage pasta, wine, Chardonnay, whiskey, carrots and hummus, eggs, cereal, chips, cokes, desserts, cakes, ice cream, donuts, cookies, salty goldfish crackers, hamburgers, hotdogs, orange slices, cheese & crackers, strawberries, zucchini, blueberries, yogurt, bread,, tuna, beans, cans of soup,
Sliced turkey, Ben & Jerry’s ice cream, cakes, more vodka, more whiskey, more b"
Elle,https://www.goodreads.com/user/show/70046142-elle,4,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"I don’t know how to talk about this book. It’s just so out of left field. I don’t even know if I liked it.

But I’ll try to vaguely review it here, as just about everything that I want to say could be considered a spoiler. The biggest feeling I had while reading was one of tension. There’s something constantly bubbling underneath the surface and you’re never quite sure what it is. And that tension keeps building towards a climax, but it doesn’t ever seem to reach it. I’m left with more questions"
Debra,https://www.goodreads.com/user/show/5032725-debra,4,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"Do you still have your bearings?

Two families forced to spend a weekend together....

The book begins as Amanda, Clay and their two children are staying at a luxurious Airbnb home on long island, expecting a quiet weekend away from the hustle and bustle of NYC. One night there is a knock on the door and there are the owners of the home, Ruth, and G.H., who have come to their rental home to escape the blackout in NYC. Soon the internet, electricity, and cable go out. Will no cell service, should Cla"
Frank Phillips,https://www.goodreads.com/user/show/60671411-frank-phillips,2,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"This was a book I was very much looking forward to, considering all the positive hype it has received, and it's relevant subject matter, I could not wait to pick this one up. Unfortunately, this will go down as one of the biggest disappointments of 2020 for me in the book world... It just did not hit the mark . There was so much potential, and despite the explicit vulgarity and often annoying style, I thought it was still redeemable and could not wait to see how this came together at the end..."
Chelsea Humphrey,https://www.goodreads.com/user/show/47207032-chelsea-humphrey,0,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"Going to have to mark this as a DNF for now, but I'm hoping that it will work well for me at a later date, as I've heard the conversations around race and privilege are thought provoking and timely. At the moment, I just can't slog through the over-written prose, but I'm hoping that the right reader will snatch this up at publication, as I believe in supporting this author and what Alam is trying to tell with this story. Basically, it's me and not the book. :(

*Many thanks to the publisher for pr"
Gabby,https://www.goodreads.com/user/show/26560207-gabby,3,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"I'm so torn over how I feel about this book. This definitely felt more literary fiction than thriller to me, which I wasn't expecting after reading the description of this book, I guess I was expecting something with a little more action in the story. But this book is definitely more of a slow burn, but there are some true moments of tension between these characters in this book that I really enjoyed. I listened to the audiobook for this one while reading along simultaneously, and I'm kind of gl"
Michael David,https://www.goodreads.com/user/show/43787758-michael-david,3,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"Well, this is definitely an original story. I’ll give it that.

Amanda and Clay, and their two children, head to a remote area of Long Island to vacation at a beautiful Airbnb. After a day of of fun and sun, a knock at the front door takes them out of their reverie. On the other side of the door is George and his wife, Ruth. They are the owners of the home. After a sudden blackout in New York, they decided to travel to the remotely located home to figure out what is going on.

There is, in fact, a"
Michelle,https://www.goodreads.com/user/show/6351259-michelle,5,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"4.5 rounded up to 5

There's a lot of mystery around what this book is exactly about. Everyone is being deliberately vague and after having read it myself, I can now say that is the right approach. I finished this over the weekend and ever since then, I’ve been trying to think of how many other books made me feel this way. Not many, that’s for sure. This is a book you have to deliberately read (and go blind into) and allow yourself to absorb carefully. I think one of the most genius things about i"
Larry H,https://www.goodreads.com/user/show/5872506-larry-h,3,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"There always seem to be books that get a tremendous amount of hype and critical buzz (and sometimes win major awards), yet when I read them I'm left scratching my head at what I might have missed. How could something appeal to so many and bypass me entirely?

Rumaan Alam's new novel, Leave the World Behind , is the latest to add to that list. It's a National Book Award nominee and it has been praised by numerous publications and critics. I have seen mixed reviews among friends of mine on Bookst"
Karen,https://www.goodreads.com/user/show/12851291-karen,4,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"This is a story about the end of the 🌎
A white middle class family from Brooklyn goes to vacation on Long Island at a remote Airbnb.
Their stay is interrupted at midnight by an older Black couple knocking on the door claiming to be the owners of the house and asking to stay the night because there is a blackout in all of New York City, and they don’t want to stay in their apartment in the city.
So... they are all sheltering in place, getting to know each other while an unknown terror is happening"
Jessica Woodbury,https://www.goodreads.com/user/show/4271946-jessica-woodbury,4,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"I thought I knew what a Rumaan Alam novel meant, but wow was I wrong. It is still so much of what I expected: the granular, sharp detail and the observations on a particular strain of comfortable, liberal white people. AND YET. I will not be the only one to have this experience, and in a way it's a sly bit of marketing to just talk about this like it's going to be a ""strained relationships under pressure"" novel of manners with some extra suspense kind of thing. For a reader like me, it is an abs"
Debbie,https://www.goodreads.com/user/show/8665845-debbie,5,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"4.5, rounded up

Not a plain old thriller!

This book tricked me! Here I was reading a book about an apocalypse! This is NOT my genre! I went into it blind, like I love to do, and I thought I was getting a plain old thriller. But I don’t want to scare off people—this is more like apocalypse light. There’s no gore, no dead bodies, no zombies. And there is distance (covering my mouth so I don’t say more). I think of it as a family drama with weird things happening.

First, a quick and vague plot synopsi"
Denise,https://www.goodreads.com/user/show/6970586-denise,3,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"I finished this one some time ago but hadn't found the words to really describe it. It's eery, bizarre, over-the-top crazy, and filled with numerous descriptions of awful body fluid functions; but I still kept turning every page waiting to see what how it would all be explained.

When Amanda and Clay and their teenage son and daughter head out to a remote corner of Long Island expecting a quiet reprieve from life in the city and a taste of the good life in the luxurious Airbnb they’ve rented for"
Sheena,https://www.goodreads.com/user/show/8022062-sheena,2,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"“Step into our beautiful house and leave the world behind”.

A family vacation in Long Island is interrupted when the homeowners return with news of something weird going on. Is the world ending? Is there a war? A natural disaster? WHO KNOWS.
The synopsis interested me and I thought there would be some Jordan Peele vibes but wow, I was so wrong. In the second chapter we get two pages of what Amanda buys from the grocery store. That’s when I knew this book was not what I thought it would be. The ov"
Bridgett,https://www.goodreads.com/user/show/2048557-bridgett,4,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"An interrupted vacation in a secluded area of Long Island, a possible national (or global) emergency, race, class, and family dynamics...obviously, Leave the World Behind is a very timely novel.

As Clay, Amanda, and their children, Archie and Rose, enjoy their time away from Brooklyn, they hear a random knock at their door late one night. Standing outside are the owners of the house, George and Ruth Washington, the elderly African-American couple who own the Airbnb home Clay and Amanda are r"
Julie Ehlers,https://www.goodreads.com/user/show/2120450-julie-ehlers,3,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"My friends are all over the map when it comes to Leave the World Behind; I've seen every rating from 1 to 5 stars. Nothing makes me more curious than wildly varying reviews, which is why I'm more disappointed than usual to find that I come down right in the middle on this one.

On the one hand, the introvert in me loves nothing more than a small setting: Gather everyone together in an isolated house, and I'm a happy reader. Make it a fancy vacation home, and I'm even happier. (I laughed when I sa"
jenny✨,https://www.goodreads.com/user/show/5160409-jenny,2,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"The brain abets the eye; eventually your expectations of a thing supersede the thing itself.

Unfortunately, my high expectations for this book didn’t end up superseding my subpar experience with it. :(

But if there’s anything you should know before I get into things, it’s this: Rumaan Alam writes white people better than white people write white people.

◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️◻️

Thematically and ambience-wise, there’s something about Leave the World Behind that reminded me of"
Book of the Month,https://www.goodreads.com/user/show/46126209-book-of-the-month,0,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"Why I love it
by Siobhan Jones

Now here's a brilliant new book that is completely original yet somehow totally reflective of our current ominous times. Those who have read Rumaan Alam’s books are already familiar with his signature style: his wry commentary on small interpersonal moments, his masterful use of irony, the subtle plots. In this latest outing, Alam cranks the sense of foreboding into overdrive for an occasionally alarming, occasionally surreal take on family, race, and class that will"
Anthony,https://www.goodreads.com/user/show/4009947-anthony,3,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"I feel a bit cheated by this book. I don’t mind mysteries being unexplained, and I don’t mind surreal moments. What I do mind is a chilly narrative voice that feels like it’s condescending to its characters, and is adept at manufacturing tension and menace and dread, but to no real end other than for their own sake. So this novel winds up, for me, feeling like a bit of a con job, in the end, and while I kept waiting for some authentic emotional life to bubble more convincingly to the surface, th"
lark benobi,https://www.goodreads.com/user/show/73768036-lark-benobi,3,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"""Clay opened all the windows, banishing the stink of his farting children.""

It’s generally a challenge for an author to win me over as a reader through the use of sardonic humor, but Rumaan Alam did a fair job of it here. Most reviews I've read so far for LEAVE THE WORLD BEHIND have focused on describing the story as suspenseful, but for me the novel dragged on that score, and was more interesting to me for the way the omniscient narrator makes ruthless fun of his characters on the way to telling"
Lady H,https://www.goodreads.com/user/show/3842278-lady-h,0,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"DNF @ 4%

This writing is insufferable. It's not even pretentious in a good way; I could appreciate purple prose! It's just! So bad! I couldn't even get through the first ten pages because I kept rolling my eyes."
Gabrielle Grosbety ,https://www.goodreads.com/user/show/27595754-gabrielle-grosbety,2,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"“The air was that sweet cocktail of ocean breeze and happenstance.”

I started off reading this book in a power outage by candlelight on my Kindle, which felt like the most appropriate way of consuming it as I lived between the pages of its unsettling ambience with an expansively picturesque backdrop. I was ready to leave my own world behind and disappear into another, but this other world had stark similarities to my own in the way the pandemic has changed the way we think, act, and behave.

Howe"
Hannah,https://www.goodreads.com/user/show/41788446-hannah,1,https://www.goodreads.com/book/show/50358031-leave-the-world-behind,"Sometimes I am so in the minority with a book that I am starting to question whether I read the same book as everybody else. This is one of those cases (partly at least, because an abundance of DNF-reviews agrees with me). I did not get on with this. Maybe I should have called it quits when at 15% in, Alam had managed to reference the genitals of three of the four family members. Snark aside, I was very much the wrong reader for this – where other people read scenes as tense, I found them satiri"
