genre,title,author,pages,unique_key,average_rating,book_description
historical-fiction,The Once and Future Witches,by Alix E. Harrow (Goodreads Author),528 pages,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,4.19,"In 1893, there's no such thing as witches. There used to be, in the wild, dark days before the burnings began, but now witching is nothing but tidy charms and nursery rhymes. If the modern woman wants any measure of power, she must find it at the ballot box.

But when the Eastwood sisters--James Juniper, Agnes Amaranth, and Beatrice Belladonna--join the suffragists of New Salem, they begin to pursue the forgotten words and ways that might turn the women's movement into the witch's movement. Stalked by shadows and sickness, hunted by forces who will not suffer a witch to vote-and perhaps not even to live-the sisters will need to delve into the oldest magics, draw new alliances, and heal the bond between them if they want to survive.

There's no such thing as witches. But there will be."
historical-fiction,The Devil and the Dark Water,by Stuart Turton (Goodreads Author),463 pages,https://www.goodreads.com/book/show/51854625-the-devil-and-the-dark-water,3.99,"A murder on the high seas. A detective duo. A demon who may or may not exist.

It's 1634 and Samuel Pipps, the world's greatest detective, is being transported to Amsterdam to be executed for a crime he may, or may not, have committed. Travelling with him is his loyal bodyguard, Arent Hayes, who is determined to prove his friend innocent.

But no sooner are they out to sea than devilry begins to blight the voyage. A twice-dead leper stalks the decks. Strange symbols appear on the sails. Livestock is slaughtered.

And then three passengers are marked for death, including Samuel.

Could a demon be responsible for their misfortunes?

With Pipps imprisoned, only Arent can solve a mystery that connects every passenger onboard. A mystery that stretches back into their past and now threatens to sink the ship, killing everybody on board.

The breathtaking new novel from Stuart Turton, author of the The 7 1/2 Deaths of Evelyn Hardcastle, winner of the Costa Best First Novel Award."
historical-fiction,Kingdom of the Wicked,by Kerri Maniscalco (Goodreads Author),448 pages,https://www.goodreads.com/book/show/52735921-kingdom-of-the-wicked,4.16,"Two sisters.

One brutal murder.

A quest for vengeance that will unleash Hell itself…

And an intoxicating romance.

Emilia and her twin sister Vittoria are streghe – witches who live secretly among humans, avoiding notice and persecution. One night, Vittoria misses dinner service at the family’s renowned Sicilian restaurant. Emilia soon finds the body of her beloved twin…desecrated beyond belief. Devastated, Emilia sets out to find her sister’s killer and to seek vengeance at any cost-even if it means using dark magic that’s been long forbidden.

Then Emilia meets Wrath, one of the Wicked-princes of Hell she has been warned against in tales since she was a child. Wrath claims to be on Emilia’s side, tasked by his master with solving the series of women’s murders on the island. But when it comes to the Wicked, nothing is as it seems…"
historical-fiction,Plain Bad Heroines,"by Emily M. Danforth (Goodreads Author), Sara Lautman (Illustrations)",608 pages,https://www.goodreads.com/book/show/50496875-plain-bad-heroines,3.85,"A highly imaginative and original horror-comedy centered around a cursed New England boarding school for girls—a wickedly whimsical celebration of the art of storytelling, sapphic love, and the rebellious female spirit.

Our story begins in 1902, at The Brookhants School for Girls. Flo and Clara, two impressionable students, are obsessed with each other and with a daring young writer named Mary MacLane, the author of a scandalous bestselling memoir. To show their devotion to Mary, the girls establish their own private club and call it The Plain Bad Heroine Society. They meet in secret in a nearby apple orchard, the setting of their wildest happiness and, ultimately, of their macabre deaths. This is where their bodies are later discovered with a copy of Mary’s book splayed beside them, the victims of a swarm of stinging, angry yellow jackets. Less than five years later, The Brookhants School for Girls closes its doors forever—but not before three more people mysteriously die on the property, each in a most troubling way.

Over a century later, the now abandoned and crumbling Brookhants is back in the news when wunderkind writer, Merritt Emmons, publishes a breakout book celebrating the queer, feminist history surrounding the “haunted and cursed” Gilded-Age institution. Her bestselling book inspires a controversial horror film adaptation starring celebrity actor and lesbian it girl Harper Harper playing the ill-fated heroine Flo, opposite B-list actress and former child star Audrey Wells as Clara. But as Brookhants opens its gates once again, and our three modern heroines arrive on set to begin filming, past and present become grimly entangled—or perhaps just grimly exploited—and soon it’s impossible to tell where the curse leaves off and Hollywood begins.

A story within a story within a story and featuring black-and-white period illustrations, Plain Bad Heroines is a devilishly haunting, modern masterwork of metafiction that manages to combine the ghostly sensibility of Sarah Waters with the dark imagination of Marisha Pessl and the sharp humor and incisive social commentary of Curtis Sittenfeld into one laugh-out-loud funny, spellbinding, and wonderfully luxuriant read."
historical-fiction,Ring Shout,by P. Djèlí Clark,192 pages,https://www.goodreads.com/book/show/49247242-ring-shout,4.25,"Nebula, Locus, and Alex Award-winner P. Djèlí Clark returns with Ring Shout, a dark fantasy historical novella that gives a supernatural twist to the Ku Klux Klan's reign of terror.

D. W. Griffith is a sorcerer, and The Birth of a Nation is a spell that drew upon the darkest thoughts and wishes from the heart of America. Now, rising in power and prominence, the Klan has a plot to unleash Hell on Earth.

Luckily, Maryse Boudreaux has a magic sword and a head full of tales. When she's not running bootleg whiskey through Prohibition Georgia, she's fighting monsters she calls ""Ku Kluxes."" She's damn good at it, too. But to confront this ongoing evil, she must journey between worlds to face nightmares made flesh--and her own demons. Together with a foul-mouthed sharpshooter and a Harlem Hellfighter, Maryse sets out to save a world from the hate that would consume it."
historical-fiction,The Cold Millions,by Jess Walter,352 pages,https://www.goodreads.com/book/show/50358038-the-cold-millions,4.15,"The author of the #1 New York Times bestseller Beautiful Ruins delivers another “literary miracle” (NPR)—a propulsive, richly entertaining novel about two adventure-seeking brothers, the enemies who threaten them, and the women who reveal to them an unjust world on the brink of upheaval.

The Dolan brothers live by their wits, jumping freight trains and lining up for day work at crooked job agencies. While sixteen-year-old Rye yearns for a steady job and a home, his dashing older brother Gig dreams of a better world, fighting alongside other union men for fair pay and decent treatment. Enter Ursula the Great, a vaudeville singer who performs with a live cougar, and who introduces the brothers to a far more dangerous creature: a powerful mining magnate who will stop at nothing to keep his wealth and his hold on Ursula.

Dubious of his brother’s idealism, Rye finds himself drawn to a fearless nineteen-year-old activist and feminist named Elizabeth Gurley Flynn, her passion sweeping him into the workers’ cause. But a storm is coming, threatening to overwhelm them all, and Rye will be forced to decide where he stands. Is it enough to win the occasional battle, even if you cannot win the war?

An intimate story of brotherhood, love, sacrifice and betrayal set against the panoramic backdrop of an early twentieth-century century America that eerily echoes our own time, The Cold Millions offers a stunning, kaleidoscopic portrait of a nation grappling with the chasm between rich and poor, between harsh realities and simple dreams. Featuring an unforgettable cast of cops and tramps, suffragists and socialists, madams and murderers, it is a powerful and moving tour de force from a “writer who has planted himself firmly in the first rank of American authors” (Boston Globe)."
historical-fiction,The Midnight Bargain,by C.L. Polk (Goodreads Author),384 pages,https://www.goodreads.com/book/show/49151031-the-midnight-bargain,3.88,
historical-fiction,Murder on Cold Street,by Sherry Thomas (Goodreads Author),344 pages,https://www.goodreads.com/book/show/49655634-murder-on-cold-street,4.28,"Charlotte Holmes, Lady Sherlock, is back solving new cases in the USA Today bestselling series set in Victorian England.

Inspector Treadles, Charlotte Holmes’s friend and collaborator, has been found locked in a room with two dead men, both of whom worked with his wife at the great manufacturing enterprise she has recently inherited.

Rumors fly. Had Inspector Treadles killed the men because they had opposed his wife’s initiatives at every turn? Had he killed in a fit of jealous rage, because he suspected Mrs. Treadles of harboring deeper feelings for one of the men? To make matters worse, he refuses to speak on his own behalf, despite the overwhelming evidence against him.

Charlotte finds herself in a case strewn with lies and secrets. But which lies are to cover up small sins, and which secrets would flay open a past better left forgotten? Not to mention, how can she concentrate on these murders, when Lord Ingram, her oldest friend and sometime lover, at last dangles before her the one thing she has always wanted?"
historical-fiction,A Wild Winter Swan,by Gregory Maguire,240 pages,https://www.goodreads.com/book/show/50358057-a-wild-winter-swan,3.44,"After brilliantly reimagining the worlds of Oz, Wonderland, Dickensian London, and the Nutcracker, the New York Times bestselling author of Wicked turns his unconventional genius to Hans Christian Andersen's ""The Wild Swans,"" transforming this classic tale into an Italian-American girl's poignant coming-of-age story, set amid the magic of Christmas in 1960s New York.

Following her brother's death and her mother's emotional breakdown, Laura now lives on the Upper East Side of Manhattan, in a lonely townhouse she shares with her old-world, strict, often querulous grandparents. But the arrangement may be temporary. The quiet, awkward teenager has been getting into trouble at home and has been expelled from her high school for throwing a record album at a popular girl who bullied her. When Christmas is over and the new year begins, Laura may find herself at boarding school in Montreal.

Nearly unmoored from reality through her panic and submerged grief, Laura is startled when a handsome swan boy with only one wing lands on her roof. Hiding him from her ever-bickering grandparents, Laura tries to build the swan boy a wing so he can fly home. But the task is too difficult to accomplish herself. Little does Laura know that her struggle to find help for her new friend parallels that of her grandparents, who are desperate for a distant relative’s financial aid to save the family store.

As he explores themes of class, isolation, family, and the dangerous yearning to be saved by a power greater than ourselves, Gregory Maguire conjures a haunting, beautiful tale of magical realism that illuminates one young woman’s heartbreak and hope as she begins the inevitable journey to adulthood."
historical-fiction,The Berlin Girl,by Mandy Robotham (Goodreads Author),400 pages,https://www.goodreads.com/book/show/53174741-the-berlin-girl,4.31,"From the bestselling author of The German Midwife comes the heart-wrenching story of a country on the brink of war, a woman who puts herself in the line of fire, and a world about to be forever changed.

Berlin, 1938: It’s the height of summer, and Germany is on the brink of war. When fledgling reporter Georgie Young is posted to Berlin, alongside fellow Londoner Max Spender, she knows they are entering the eye of the storm.

Arriving to a city swathed in red flags and crawling with Nazis, Georgie feels helpless, witnessing innocent people being torn from their homes. As tensions rise, she realises she and Max have to act – even if it means putting their lives on the line.

But when she digs deeper, Georgie begins to uncover the unspeakable truth about Hitler’s Germany – and the pair are pulled into a world darker than she could ever have imagined…"
