user_name,user_unique_key,number_of_stars,book_unique_key,review_text
chai ♡,https://www.goodreads.com/user/show/42130592-chai,0,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,You had me at WITCHES and ALIX E. HARROW.
 Teodora ,https://www.goodreads.com/user/show/69603149-teodora,3,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,
Paromjit,https://www.goodreads.com/user/show/38610813-paromjit,5,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"Alix E Harrow replicates the wondrous magic of The Ten Thousand Doors of January which I adored, in this character driven feminist adventure story in this fierce and beautiful homage to the power of women in all their forms, including the three female archetypes represented by the Eastwood sisters, the mother, the maiden and the crone. It is a time where the power of the history of witches and witchcraft has been diminished to virtually nothing, existing only in the below the radar voices and rh"
jessica,https://www.goodreads.com/user/show/10171516-jessica,4,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"‘she thinks of the ways people make for themselves when there are none, the impossible things they render possible.’

this is a really lovely tale. there is such an elegant quality to the storytelling and characters that really benefits the messages of empowerment this book holds.

the writing is probably the storys greatest strength. its really quite exquisite. it feels traditional, but approachable. vivid, yet grounded. it showcases the sisterly bond between witches in a tone that is lighter t"
Petrik,https://www.goodreads.com/user/show/59458347-petrik,4,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"ARC provided by the publisher—Orbit—in exchange for an honest review.

3.5/5 stars

Similar to The Ten Thousand Doors of January, The Once and Future Witches will be a big hit among many readers.

Not even a year has passed since its first publication, and The Ten Thousand Doors of January already has 33.3k ratings and 6.7k reviews on Goodreads. For those who don’t pay attention to how the number of Goodreads rating/reviews counts to the popularity and general reception of a specific book, believe me"
Nilufer Ozmekik,https://www.goodreads.com/user/show/53701594-nilufer-ozmekik,5,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"Oh my goodness! I think I can write millions of times the same word over and over again! I loved it so much! I loved it so much! I loved it so much! I loved it so much! I loved it so much! I loved it so much! I loved it so much!

Okay! That’s enough! Mesmerizing, earth shattering world building, well-crafted, fantastic characters, unputdownable magical, witchy world you never want to leave : a great waltz of fantasy, historical fiction and romance!

Hollywood producers who are looking for great st"
Emma,https://www.goodreads.com/user/show/28602001-emma,5,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"‘Proper witching is just a conversation with that red heartbeat, which only ever takes three things: the will to listen to it, the words to speak with it, and the way to let it into the world. The will, the words, and the way.

… everything important comes in threes.’

'Once upon a time there were three sisters…’ Three Eastwood sisters, to be precise. Agnes, Bella, and James Juniper. They live in a world where magic and power were female, once. Now it is all hushed words passed from mother to daugh"
karen,https://www.goodreads.com/user/show/45618-karen,5,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"fulfilling book riot's 2020 read harder challenge task: #16 Read a doorstopper (over 500 pages) published after 1950, written by a woman



HAPPY SPOOKTOBER!

*********************************************

okay, so this was a bit of a cheat on my part. i knew going into it that this wasn’t going to be the most spooktobery of spooktober reads, but my whole deal of “only reading horror in october” is a self-imposed condition-tradition, and since i could justify reading this because witches are a halloween"
Hamad,https://www.goodreads.com/user/show/54464244-hamad,4,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"This Review ✍️ Blog 📖 Twitter 🐦 Instagram 📷

“It’s a risk just to be a woman, in my experience. No matter how healthy or hardworking she is.”


I loved this more than The Ten Thousand Doors of January and I think this may a bit unpopular when this book comes out. But a story about 3 witches who tend to be sisters, which is full of nursery rhymes and is a feminist story in essence! How could I not love that! Thanks for the publisher for providing me with a physical copy of the book in exch"
Ashleigh (a frolic through fiction),https://www.goodreads.com/user/show/16276747-ashleigh-a-frolic-through-fiction,4,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"*Rated 4.5/5 stars!

Thank you to the publisher for sending me an early copy of this book via NetGalley!

I knew I would enjoy this book, but I didn't predict just how much I would come to love it. When the suffragette movement inspires a witchy revolution in the town of New Salem, a whole host of characters are pulled into this web of words and will. Not only was it a story of witchcraft, but a story of sisterhood and wayward families. It was a story that proved how sheer willpower alone can make a"
Fran ,https://www.goodreads.com/user/show/12653120-fran,5,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"""Magic is the distance between what a person has and what they need...the thing that fills the slim gap between the possible and impossible, that makes a way when there isn't one"".
-Alix E. Harrow

""...proper witching...only ever takes three things: the will to listen to it, the words to speak with it, and the way to let it into the world. The will, the words, and the way"". ""Everything important comes in threes"".

Home was 23 acres on the west side of the Big Sandy River in Crow County. ""Home was her"
Nataliya,https://www.goodreads.com/user/show/3672777-nataliya,4,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"“Juniper holds up a hand. “You’re here because you want more for yourselves, better for your daughters. Because it’s easy to ignore a woman.” Juniper’s lips twist in a feral smile. “But a hell of a lot harder to ignore a witch.”

By all accounts this book was supposed to be perfect for me. A feminist gritty fantasy about witches and suffragettes, with plot not hinging on love stories but actual human rights causes, with fairytales inspiring plot points and evocative poetic language. Not to men"
Tadiana ✩Night Owl☽,https://www.goodreads.com/user/show/8734459-tadiana-night-owl,0,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,"GUESS WHAT JUST SHOWED UP ON MY DOORSTEP.



I literally gasped with delight. I loved The Ten Thousand Doors of January and I am so looking forward to reading Alix Harrow's next book! It comes out in October so getting it now is unbelievably cool."
