genre,title,author,pages,unique_key,average_rating,book_description
history-and-politics,Fear City: New York's Fiscal Crisis and the Rise of Austerity Politics,by Kim Phillips-Fein,384 pages,https://www.goodreads.com/book/show/26792268-fear-city,4.16,"An epic and riveting history of New York City on the edge of disaster--and an anatomy of the politics of austerity that continues to shape the world today

When the news broke in 1975 that New York City was on the brink of fiscal collapse, few believed it was possible: how could the capital of the financial world go bankrupt? And yet the city was billions of dollars--maybe twelve, maybe fourteen, no one even really knew how much--in the red. Bankers and politicians alike seized upon the situation as evidence that social liberalism, which New York famously exemplified, was doomed to failure--and promised apocalyptic scenarios if the city didn't fire thousands of workers, freeze wages, and slash social services.

In this vivid, gripping account, historian Kim Phillips-Fein tells the remarkable story of the crisis that engulfed the city, forever transforming the largest metropolis in the United States and reshaping ideas about government throughout the country. In doing so, she brings to life a radically different New York, the legendarily decrepit city of the 1970s. Drawing on never-before-used archival sources as well as interviews with key players in the crisis, Phillips-Fein guides us through the hairpin turns and sudden reversals that brought New York City to the edge of bankruptcy--and kept it from going over. At once a sweeping history of some of the most tumultuous times in the city's past, a colorful portrait of the unwieldy mechanics of municipal government, and an origin story of the politics of austerity, Fear City is essential reading for anyone seeking to understand the resurgent fiscal conservatism of today."
history-and-politics,Supreme Inequality: The Supreme Court's Fifty-Year Battle for a More Unjust America,by Adam Cohen (Goodreads Author),448 pages,https://www.goodreads.com/book/show/46184066-supreme-inequality,4.27,"From New York Times bestselling author Adam Cohen, a revelatory examination of the conservative direction of the Supreme Court over the last fifty years since the Nixon administration

In the early 1960s, the Supreme Court led by Chief Justice Earl Warren was at the height of its power, expanding civil rights for the poor and minorities and promoting equality in dramatic ways through rulings such as Brown v Board of Education and establishing the ""Miranda warning"" for persons in police custody. But when Warren announced his retirement in 1968, newly elected President Richard Nixon, who had been working tirelessly behind the scenes to put a stop to what he perceived as the Court's liberal agenda, had his new administration launch a total assault on the Warren Court's egalitarian victories, moving to dismantle its legacy and replace liberal justices with others more loyal to his views. During his six years in office, he appointed four justices to the Supreme Court, thereby setting its course for the next fifty years.

In Supreme Inequality, Adam Cohen surveys the most significant Supreme Court rulings since Nixon and exposes how rarely the Court has veered away from a pro-corporate agenda. Contrary to what Americans might like to believe, the Court does not protect equally the rights of the poor and disadvantaged, and, in fact, hasn't for decades. Many of the greatest successes of the Warren Court, such as school desegregation, labor unions, voting rights, and class action suits, have been abandoned in favor of rulings that protect privileged Americans who tend to be white, wealthy, and powerful.

As the nation comes to grips with two newly Trump-appointed justices, Cohen proves beyond doubt that the trajectory of today's Court is the result of decisions made fifty years ago, decisions that have contributed directly and grievously to our nation's soaring inequality. An triumph of American legal, political, and social history, Supreme Inequality holds to account the highest court in the land, and should shake to its core any optimistic faith we might have in it to provide checks and balances."
history-and-politics,"The Cultural Revolution: A People's History, 1962-1976",by Frank Dikötter,396 pages,https://www.goodreads.com/book/show/26073079-the-cultural-revolution,3.98,"After the economic disaster of the Great Leap Forward that claimed tens of millions of lives from 1958–1962, an aging Mao Zedong launched an ambitious scheme to shore up his reputation and eliminate those he viewed as a threat to his legacy. The stated goal of the Cultural Revolution was to purge the country of bourgeois, capitalistic elements he claimed were threatening genuine communist ideology. Young students formed the Red Guards, vowing to defend the Chairman to the death, but soon rival factions started fighting each other in the streets with semiautomatic weapons in the name of revolutionary purity. As the country descended into chaos, the military intervened, turning China into a garrison state marked by bloody purges that crushed as many as one in fifty people.

The Cultural Revolution: A People's History, 1962–1976 draws for the first time on hundreds of previously classified party documents, from secret police reports to unexpurgated versions of leadership speeches. Frank Dikötter uses this wealth of material to undermine the picture of complete conformity that is often supposed to have characterized the last years of the Mao era. After the army itself fell victim to the Cultural Revolution, ordinary people used the political chaos to resurrect the market and hollow out the party's ideology. In short, they buried Maoism. By showing how economic reform from below was an unintended consequence of a decade of violent purges and entrenched fear, The Cultural Revolution casts China's most tumultuous era in a wholly new light."
history-and-politics,Mortal Republic: How Rome Fell into Tyranny,by Edward J. Watts,336 pages,https://www.goodreads.com/book/show/39088591-mortal-republic,3.97,"A new history of the Roman Republic and its collapse

In Mortal Republic, prizewinning historian Edward J. Watts offers a new history of the fall of the Roman Republic that explains why Rome exchanged freedom for autocracy. For centuries, even as Rome grew into the Mediterranean's premier military and political power, its governing institutions, parliamentary rules, and political customs successfully fostered negotiation and compromise. By the 130s BC, however, Rome's leaders increasingly used these same tools to cynically pursue individual gain and obstruct their opponents. As the center decayed and dysfunction grew, arguments between politicians gave way to political violence in the streets. The stage was set for destructive civil wars--and ultimately the imperial reign of Augustus.

The death of Rome's Republic was not inevitable. In Mortal Republic, Watts shows it died because it was allowed to, from thousands of small wounds inflicted by Romans who assumed that it would last forever."
history-and-politics,True Girt,by David Hunt (Goodreads Author),448 pages,https://www.goodreads.com/book/show/30809370-true-girt,4.16,"First there was Girt. Now comes ...

True Girt

In this side-splitting sequel to his best-selling history, David Hunt takes us to the Australian frontier.

This was the Wild South, home to hardy pioneers, gun-slinging bushrangers, directionally challenged explorers, nervous indigenous people, Caroline Chisholm and sheep. Lots of sheep.

True Girt introduces Thomas Davey, the hard-drinking Tasmanian governor who invented the Blow My Skull cocktail, and Captain Moonlite, Australia’s most infamous LGBTI bushranger. Meet William Nicholson, the Melbourne hipster who gave Australia the steam-powered coffee roaster and the world the secret ballot. And say hello to Harry, the first camel used in Australian exploration, who shot dead his owner, the explorer John Horrocks.

Learn how Truganini’s death inspired the Martian invasion of Earth. Discover the role of Hall and Oates in the Myall Creek Massacre. And be reminded why you should never ever smoke with the Wild Colonial Boy and Mad Dan Morgan."
history-and-politics,The Common Good,by Robert B. Reich,208 pages,https://www.goodreads.com/book/show/37506435-the-common-good,4.10,"From the best-selling author of Saving Capitalism and The Work of Nations, a passionate, clear-eyed manifesto on why we must restore the idea of the common good to the center of our economics and politics.

With the warmth and lucidity that have made him one of our most important public voices, Robert B. Reich makes the case for a generous, inclusive understanding of the American project, centering on the moral obligations of citizenship. Rooting his argument in everyday reality and common sense, Reich demonstrates the existence of a common good, and argues that it is this that defines a society or a nation. Societies and nations undergo virtuous cycles that reinforce and build the common good, as well as vicious cycles that undermine it. Over the course of the past five decades, Reich contends, America has been in a slowly accelerating vicious cycle--one that can and must be reversed. But first we need to weigh what really matters, and how we as a country should relate to honor, shame, patriotism, truth, and the meaning of leadership.
Powerful, urgent, and utterly vital, this is a heartfelt missive from one of our foremost political thinkers: a fundamental statement about the purpose of society and a cri de coeur to save America's soul."
history-and-politics,Active Measures: The Secret History of Disinformation and Political Warfare,by Thomas Rid (Goodreads Author),528 pages,https://www.goodreads.com/book/show/45892235-active-measures,4.27,"This revelatory and dramatic history of disinformation traces the rise of secret organized deception operations from the interwar period to contemporary internet troll farms



We live in the age of disinformation--of organized deception. Spy agencies pour vast resources into hacking, leaking, and forging data, often with the goal of weakening the very foundation of liberal democracy: trust in facts. Thomas Rid, a renowned expert on technology and national security, was one of the first to sound the alarm. More than four months before the 2016 election, he warned that Russian military intelligence was ""carefully planning and timing a high-stakes political campaign to disrupt the democratic process. But as crafty as such so-called active measures have become, they are not new.

The story of modern disinformation begins with the post-Russian Revolution clash between communism and capitalism, which would come to define the Cold War. In Active Measures, Rid reveals startling intelligence and security secrets from materials written in more than ten languages across several nations, and from interviews with current and former operatives. He exposes the disturbing yet colorful history of professional, organized lying, revealing for the first time some of the century's most significant operations--many of them nearly beyond belief. A White Russian ploy backfires and brings down a New York police commissioner; a KGB-engineered, anti-Semitic hate campaign creeps back across the Iron Curtain; the CIA backs a fake publishing empire, run by a former Wehrmacht U-boat commander, that produces Germany's best jazz magazine. Rid tracks the rise of leaking, and shows how spies began to exploit emerging internet culture many years before WikiLeaks. Finally, he sheds new light on the 2016 election, especially the role of the infamous ""troll farm"" in St. Petersburg as well as a much more harmful attack that unfolded in the shadows.

Active Measures takes the reader on a guided tour deep into a vast hall of mirrors old and new, pointing to a future of engineered polarization, more active and less measured--but also offering the tools to cut through the deception."
history-and-politics,Excellent Daughters: The Secret Lives of Young Women Who Are Transforming the Arab World,by Katherine Zoepf (Goodreads Author),258 pages,https://www.goodreads.com/book/show/25387919-excellent-daughters,3.86,"For more than a decade, Katherine Zoepf has lived in or traveled throughout the Arab world, reporting on the lives of women, whose role in the region has never been more in flux. Only a generation ago, female adolescence as we know it in the West did not exist in the Middle East. There were only children and married women. Today, young Arab women outnumber men in universities, and a few are beginning to face down religious and social tradition in order to live independently, to delay marriage, and to pursue professional goals. Hundreds of thousands of devout girls and women are attending Qur’anic schools—and using the training to argue for greater rights and freedoms from an Islamic perspective. And, in 2011, young women helped to lead antigovernment protests in the Arab Spring. But their voices have not been heard. Their stories have not been told.

In Syria, before its civil war, she documents a complex society in the midst of soul searching about its place in the world and about the role of women. In Lebanon, she documents a country that on the surface is freer than other Arab nations but whose women must balance extreme standards of self-presentation with Islamic codes of virtue. In Abu Dhabi, Zoepf reports on a generation of Arab women who’ve found freedom in work outside the home. In Saudi Arabia she chronicles driving protests and women entering the retail industry for the first time. In the aftermath of Tahrir Square, she examines the crucial role of women in Egypt's popular uprising.
 
Deeply informed, heartfelt, and urgent, Excellent Daughters brings us a new understanding of the changing Arab societies—from 9/11 to Tahrir Square to the rise of ISIS—and gives voice to the remarkable women at the forefront of this change."
history-and-politics,Fault Lines: A History of the United States Since 1974,"by Kevin M. Kruse, Julian E. Zelizer",464 pages,https://www.goodreads.com/book/show/45894058-fault-lines,4.08,"When—and how—did America become so polarized? In this masterful history, leading historians Kevin M. Kruse and Julian E. Zelizer uncover the origins of our current moment. It all starts in 1974 with the Watergate crisis, the OPEC oil embargo, desegregation busing riots in Boston, and the wind-down of the Vietnam War. What follows is the story of our own lifetimes. It is the story of ever-widening historical fault lines over economic inequality, race, gender, and sexual norms firing up a polarized political landscape. It is also the story of profound transformations of the media and our political system fueling the fire. Kruse and Zelizer’s Fault Lines is a master class in national divisions nearly five decades in the making."
history-and-politics,The War on Alcohol: Prohibition and the Rise of the American State,by Lisa McGirr,352 pages,https://www.goodreads.com/book/show/28789665-the-war-on-alcohol,3.82,"Prohibition has long been portrayed as a “noble experiment” that failed, a newsreel story of glamorous gangsters, flappers, and speakeasies. Now at last Lisa McGirr dismantles this cherished myth to reveal a much more significant history. Prohibition was the seedbed for a pivotal expansion of the federal government, the genesis of our contemporary penal state. Her deeply researched, eye-opening account uncovers patterns of enforcement still familiar today: the war on alcohol was waged disproportionately in African American, immigrant, and poor white communities. Alongside Jim Crow and other discriminatory laws, Prohibition brought coercion into everyday life and even into private homes. Its targets coalesced into an electoral base of urban, working-class voters that propelled FDR to the White House.


This outstanding history also reveals a new genome for the activist American state, one that shows the DNA of the right as well as the left. It was Herbert Hoover who built the extensive penal apparatus used by the federal government to combat the crime spawned by Prohibition. The subsequent federal wars on crime, on drugs, and on terror all display the inheritances of the war on alcohol. McGirr shows the powerful American state to be a bipartisan creation, a legacy not only of the New Deal and the Great Society but also of Prohibition and its progeny.


The War on Alcohol is history at its best—original, authoritative, and illuminating of our past and its continuing presence today."
