user_name,user_unique_key,number_of_stars,book_unique_key,review_text
Cora,https://www.goodreads.com/user/show/1932455-cora,5,https://www.goodreads.com/book/show/26792268-fear-city,
Anand Gopal,https://www.goodreads.com/user/show/12512-anand-gopal,5,https://www.goodreads.com/book/show/26792268-fear-city,"Between 1945 and 1975, New York City functioned like an island of social democracy in the United States: free universal higher education, accessible health care, free or affordable day care. Due to deindustrialization, suburbanization, and economic crisis, though, by the mid 70s the city faced declining tax revenue and increasing expenditures, and was forced to borrow extensively from banks. This effectively ended the city's social democracy, putting bankers in charge to write the most important"
Peter (Pete) Mcloughlin,https://www.goodreads.com/user/show/16212136-peter-pete-mcloughlin,4,https://www.goodreads.com/book/show/26792268-fear-city,The financial crisis of New York City in the mid-seventies was a microcosm of the crisis of postwar liberalism (Europeans read Social Democracy). New York city was on the verge of bankruptcy and state and federal government including the Ford Administration decided not to bail NYC out and left the city to sort out its problems of a declining tax base fleeing to suburbs and large pockets of poverty. This was a moment when austerity became the default pattern for the city. The now all too familiar
Keen,https://www.goodreads.com/user/show/66635467-keen,3,https://www.goodreads.com/book/show/26792268-fear-city,"Naomi Klein has said that when her book “The Shock Doctrine” came out, that one place many have said she left out, was what happened in New York City during the 70s. She refers to this work in her latest book and insisting that this does a fine job of telling the story and she isn’t wrong.

Phillips-Fein traces the origins of the crisis back to the 60s. Between the late 60s and the mid-70s, half a million jobs disappeared from the city, meaning that more people were in need of the city services. G"
Jerrod,https://www.goodreads.com/user/show/3759714-jerrod,5,https://www.goodreads.com/book/show/26792268-fear-city,"Do you ever wonder why our pundits blather endlessly about deficits? Has it ever vexed you how Amazon can pay zero federal taxes while receiving offers from dozens of municipalities worth billions? Or perhaps you are curious why in New York, one of the wealthiest locales on earth, thousands of people live without homes?

This book is an ideal place to begin an education on these matters. It charts the development and agonizing consequences of New York's fiscal crisis of the 1970s. But more than t"
CBW Librarian,https://www.goodreads.com/user/show/2579050-cbw-librarian,5,https://www.goodreads.com/book/show/26792268-fear-city,"If balancing municipal budgets isn't your thing, then you can probably skip this one."
May,https://www.goodreads.com/user/show/25949183-may,4,https://www.goodreads.com/book/show/26792268-fear-city,This book is so good she turned fiscal policy into a political thriller.
Kevin Chu,https://www.goodreads.com/user/show/75470674-kevin-chu,5,https://www.goodreads.com/book/show/26792268-fear-city,"Feckless, performatively woke mayor skips town chasing after long-shot presidential campaign; the most dire fiscal crisis the city has ever seen ensues. Is New York's history repeating itself?

This book deserves an adaptation in the style of The Big Short. Phillips-Fein's account is driven by both personality and policy, portraying the stories of those thrust into positions of great, unelected responsibility alongside with the consequences of their decisions.

You will find both an accessible break"
Stephen,https://www.goodreads.com/user/show/48082103-stephen,3,https://www.goodreads.com/book/show/26792268-fear-city,"Good telling of the events that created the NYC fiscal crisis in 1970s and the austerity policies that followed and their consequences to the city.

The important thing to realize is that while the budget cuts improved the city's revenue and credit standings, they did not improve the lives of the people living in the city. The outcomes would go against the very rhetoric that was used to push the budget cuts: things like poverty, sickness, unemployment, and crime all increased, not decreased, show"
Stephen Straub,https://www.goodreads.com/user/show/20831240-stephen-straub,5,https://www.goodreads.com/book/show/26792268-fear-city,"Not only an amazing read on a specific and important era in New York's history, but also an important reminder for the Left to see how far we've fallen. This represents the decline of the New Deal and the rise of Neo-Liberalism that we have to reckon with now."
Darnell,https://www.goodreads.com/user/show/8464281-darnell,4,https://www.goodreads.com/book/show/26792268-fear-city,"The author is less neutral than I prefer in history books, but aside from that, it was good. Covers an interesting period with a lot of primary sources, but from enough distance to have some insight."
Mike Zickar,https://www.goodreads.com/user/show/34262100-mike-zickar,4,https://www.goodreads.com/book/show/26792268-fear-city,"An enjoyable analysis of the financial problems that NYC faced during the 1970s as it went to the cliff of bankruptcy. This historical tackles deep economic assumptions and lessons learned from the crises, avoiding blame on any single cause (unlike the politicians of the time, who searched for easy scapegoats).

This is a human story, and economic story, and a political story. . . Good stuff!"
Alex,https://www.goodreads.com/user/show/8589796-alex,3,https://www.goodreads.com/book/show/26792268-fear-city,"This was interesting, but a little too focused on the small-ball aspects of new York's 1970s fiscal crisis. Maybe I just wish this had been part of a larger fabric of the 60s/70s urban crises and the subsequent conservative insurgency."
Tony,https://www.goodreads.com/user/show/3181307-tony,2,https://www.goodreads.com/book/show/26792268-fear-city,"Fear City is a rather mixed bag. The first two parts--which cover how New York City got into a precarious financial situation in the 1970s and how it secured the necessary financing to avoid default--are well researched and excellent. However, the remainder of the book is far less compelling. In this portion, Phillips-Fein uses cherry picked examples to demonstrate the difficulties caused by the City's austerity policies and seems to contend that default may have been a better alternative. Howev"
Helen,https://www.goodreads.com/user/show/1501901-helen,0,https://www.goodreads.com/book/show/26792268-fear-city,"I just heard a great interview of the author on ""Your Call"" with Rose Aguilar on KALW radio.http://kalw.org/programs/your-call#st..."
