genre,title,author,pages,unique_key,average_rating,book_description
literature,The Neil Gaiman Reader: Selected Fiction,by Neil Gaiman (Goodreads Author),752 pages,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,4.54,"An outstanding array—52 pieces in all—of selected fiction from the multiple-award-winning, #1 New York Times bestselling author Neil Gaiman, curated by his readers around the world, and introduced with a foreword by Booker Prize-winning author Marlon James

Spanning Gaiman’s career to date, The Neil Gaiman Reader: Selected Fiction is a captivating collection from one of the world’s most beloved writers, chosen by those who know his work best: his devoted readers. 

A brilliant representation of Gaiman's groundbreaking, entrancing, endlessly imaginative fiction, this captivating volume includes excerpts from each of his five novels for adults —Neverwhere, Stardust, American Gods, Anansi Boys, and The Ocean at the End of the Lane—and nearly fifty of his short stories. 

Impressive in its depth and range, The Neil Gaiman Reader: Selected Fiction is both an entryway to Gaiman’s oeuvre and a literary trove Gaiman fans old and new will return to many times over."
literature,The Awkward Black Man,by Walter Mosley,336 pages,https://www.goodreads.com/book/show/53112988-the-awkward-black-man,4.14,"From award-winning author Walter Mosley, a brilliant collection of stories featuring unlikely heroes arising from African America
Bestselling author Walter Mosley long ago proved himself a master of narrative tension, both with his extraordinary fiction and gripping writing for television. The Awkward Black Man collects seventeen of Mosley’s most accomplished short stories to showcase the full range of his remarkable talent.

Mosley presents exceptional characters as they struggle to move through the world and navigate relationships, and paints a subtle, powerful portrait of each of these remarkable black people. In ""The Good News Is,"" a man’s insecurity about his weight gives way to a serious illness and the intense loneliness that accompanies it. Deeply vulnerable, he allows himself to be taken advantage of in return for a little human comfort in a raw display of true need. ""Pet Fly,"" previously published in the New Yorker, follows a man working as a mailroom clerk for a big company—a solitary job for which he is overqualified—and the unforeseen repercussions he endures when he attempts to forge a connection beyond the one he has with the fly buzzing around his apartment. And ""Almost Alyce"" chronicles failed loves, family loss, alcoholism, and a Zen approach to the art of begging that proves surprisingly effective.

Touching and contemplative, each of these unexpected stories offers the best of one of our most gifted writers."
literature,Who We're Reading When We're Reading Murakami,by David Karashima,304 pages,https://www.goodreads.com/book/show/49832232-who-we-re-reading-when-we-re-reading-murakami,3.82,
literature,Breaking Bread with the Dead: A Reader's Guide to a More Tranquil Mind,by Alan Jacobs,192 pages,https://www.goodreads.com/book/show/50609112-breaking-bread-with-the-dead,4.17,"From the author of HOW TO THINK and THE PLEASURES OF READING IN AN AGE OF DISTRACTION, a literary guide to engaging with the voices of the past to stay sane in the present

W. H. Auden once wrote that “art is our chief means of breaking bread with the dead.” In his brilliant and compulsively readable new treatise, Breaking Bread with the Dead, Alan Jacobs shows us that engaging with the strange and wonderful writings of the past might help us live less anxiously in the present—and increase what Thomas Pynchon once called our “personal density.”

Today we are battling too much information in a society changing at lightning speed, with algorithms aimed at shaping our every thought—plus a sense that history offers no resources, only impediments to overcome or ignore. The modern solution to our problems is to surround ourselves only with what we know and what brings us instant comfort. Jacobs’s answer is the opposite: to be in conversation with, and challenged by, those from the past who can tell us what we never thought we needed to know.

What can Homer teach us about force? How does Frederick Douglass deal with the massive blind spots of America’s Founding Fathers? And what can we learn from modern authors who engage passionately and profoundly with the past? How can Ursula K. Le Guin show us truths about Virgil’s female characters that Virgil himself could never have seen? In Breaking Bread with the Dead, a gifted scholar draws us into close and sympathetic engagement with texts from across the ages, including the work of Anita Desai, Henrik Ibsen, Jean Rhys, Simone Weil, Edith Wharton, Amitav Ghosh, Claude Lévi-Strauss, Italo Calvino, and many more.

By hearing the voices of the past, we can expand our consciousness, our sympathies, and our wisdom far beyond what our present moment can offer."
literature,The Nickel Boys,by Colson Whitehead (Goodreads Author),213 pages,https://www.goodreads.com/book/show/42270835-the-nickel-boys,4.27,
literature,Redhead by the Side of the Road,by Anne Tyler (Goodreads Author),178 pages,https://www.goodreads.com/book/show/46014983-redhead-by-the-side-of-the-road,3.65,"Micah Mortimer is a creature of habit. A self-employed tech expert, superintendent of his Baltimore apartment building seems content leading a steady, circumscribed life. But one day his routines are blown apart when his woman friend tells him she's facing eviction, and a teenager shows up at Micah's door claiming to be his son.

These surprises, and the ways they throw Micah's meticulously organized life off-kilter, risk changing him forever."
literature,The Lying Life of Adults,"by Elena Ferrante, Ann Goldstein (Translator)",336 pages,https://www.goodreads.com/book/show/48616787-the-lying-life-of-adults,3.74,"Giovanna’s pretty face is changing, turning ugly, at least so her father thinks. Giovanna, he says, looks more like her Aunt Vittoria every day. But can it be true? Is she really changing? Is she turning into her Aunt Vittoria, a woman she hardly knows but whom her mother and father clearly despise? Surely there is a mirror somewhere in which she can see herself as she truly is.

Giovanna is searching for her reflection in two kindred cities that fear and detest one another: Naples of the heights, which assumes a mask of refinement, and Naples of the depths, a place of excess and vulgarity. She moves from one to the other in search of the truth, but neither city seems to offer answers or escape.

Named one of 2016’s most influential people by TIME Magazine and frequently touted as a future Nobel Prize-winner, Elena Ferrante has become one of the world’s most read and beloved writers. With this new novel about the transition from childhood to adolescence to adulthood, Ferrante proves once again that she deserves her many accolades. In The Lying Life of Adults, readers will discover another gripping, highly addictive, and totally unforgettable Neapolitan story."
literature,The Silence,by Don DeLillo,128 pages,https://www.goodreads.com/book/show/53879204-the-silence,2.87,"From one of the most dazzling and essential voices in American fiction, a timely and compelling novel set in the near future about five people gathered together in a Manhattan apartment, in the midst of a catastrophic event.

Don DeLillo completed this novel just weeks before the advent of Covid-19. The Silence is the story of a different catastrophic event. Its resonances offer a mysterious solace.

It is Super Bowl Sunday in the year 2022. Five people, dinner, an apartment on the east side of Manhattan. The retired physics professor and her husband and her former student waiting for the couple who will join them from what becomes a dramatic flight from Paris. The conversation ranges from a survey telescope in North-central Chile to a favorite brand of bourbon to Einstein’s 1912 Manuscript on the Special Theory of Relativity.

Then something happens and the digital connections that have transformed our lives are severed.

What follows is a dazzling and profoundly moving conversation about what makes us human. Never has the art of fiction been such an immediate guide to our navigation of a bewildering world. Never have DeLillo’s prescience, imagination, and language been more illuminating and essential."
literature,His Only Wife,by Peace Adzo Medie,288 pages,https://www.goodreads.com/book/show/49151001-his-only-wife,3.83,"“Elikem married me in absentia; he did not come to our wedding.”

Afi Tekple is a young seamstress whose life is narrowing rapidly. She lives in a small town in Ghana with her widowed mother, spending much of her time in her uncle Pious’s house with his many wives and children. Then one day she is offered a life-changing opportunity—a proposal of marriage from the wealthy family of Elikem Ganyo, a man she doesn’t truly know. She acquiesces, but soon realizes that Elikem is not quite the catch he seemed. He sends a stand-in to his own wedding, and only weeks after Afi is married and installed in a plush apartment in the capital city of Accra does she meet her new husband. It turns out that he is in love with another woman, whom his family disapproves of; Afi is supposed to win him back on their behalf. But it is Accra that eventually wins Afi’s heart and gives her a life of independence that she never could have imagined for herself.

A brilliant scholar and a fierce advocate for women’s rights, author Peace Adzo Medie infuses her debut novel with intelligence and humor. For readers of Chimamanda Ngozi Adichie and Candice Carty-Williams, His Only Wife is the story of an indomitable and relatable heroine that illuminates what it means to be a woman in a rapidly changing world."
literature,Monogamy,by Sue Miller,338 pages,https://www.goodreads.com/book/show/49398039-monogamy,3.68,"A brilliantly insightful novel, engrossing and haunting, about marriage, love, family, happiness and sorrow, from New York Times bestselling author Sue Miller.

Graham and Annie have been married for nearly thirty years. A golden couple, their seemingly effortless devotion has long been the envy of their circle of friends and acquaintances. 

Graham is a bookseller, a big, gregarious man with large appetites—curious, eager to please, a lover of life, and the convivial host of frequent, lively parties at his and Annie’s comfortable house in Cambridge. Annie, more reserved and introspective, is a photographer. She is about to have her first gallery show after a six-year lull and is worried that the best years of her career may be behind her. They have two adult children; Lucas, Graham’s son with his first wife, Frieda, works in New York. Annie and Graham’s daughter, Sarah, lives in San Francisco. Though Frieda is an integral part of this far-flung, loving family, Annie feels confident in the knowledge that she is Graham’s last and greatest love.

 When Graham suddenly dies—this man whose enormous presence has seemed to dominate their lives together—Annie is lost. What is the point of going on, she wonders, without him? 

 Then, while she is still mourning him intensely, she discovers that Graham had been unfaithful to her; and she spirals into darkness, wondering if she ever truly knew the man who loved her."
