genre,title,author,pages,unique_key,average_rating,book_description
non-fiction,Group: How One Therapist and a Circle of Strangers Saved My Life,by Christie Tate,288 pages,https://www.goodreads.com/book/show/50891570-group,3.87,"The refreshingly original debut memoir of a guarded, over-achieving, self-lacerating young lawyer who reluctantly agrees to get psychologically and emotionally naked in a room of six complete strangers—her psychotherapy group—and in turn finds human connection, and herself.

Christie Tate had just been named the top student in her law school class and finally had her eating disorder under control. Why then was she driving through Chicago fantasizing about her own death? Why was she envisioning putting an end to the isolation and sadness that still plagued her in spite of her achievements?

Enter Dr. Rosen, a therapist who calmly assures her that if she joins one of his psychotherapy groups, he can transform her life. All she has to do is show up and be honest. About everything—her eating habits, childhood, sexual history, etc. Christie is skeptical, insisting that that she is defective, beyond cure. But Dr. Rosen issues a nine-word prescription that will change everything: “You don’t need a cure, you need a witness.

So begins her entry into the strange, terrifying, and ultimately life-changing world of group therapy. Christie is initially put off by Dr. Rosen’s outlandish directives, but as her defenses break down and she comes to trust Dr. Rosen and to depend on the sessions and the prescribed nightly phone calls with various group members, she begins to understand what it means to connect.

Group is a deliciously addictive read, and with Christie as our guide—skeptical of her own capacity for connection and intimacy, but hopeful in spite of herself—we are given a front row seat to the daring, exhilarating, painful, and hilarious journey that is group therapy—an under-explored process that breaks you down, and then reassembles you so that all the pieces finally fit."
non-fiction,Culture Warlords: My Journey Into the Dark Web of White Supremacy,by Talia Lavin,288 pages,https://www.goodreads.com/book/show/50997978-culture-warlords,4.10,"A HARROWING JOURNEY INTO THE HEART OF WHITE SUPREMACY

Talia Lavin is every skinhead’s worst nightmare: a loud and unapologetic Jewish woman, acerbic, smart, and profoundly antiracist, with the investigative chops to expose the tactics and ideologies of online hatemongers. Culture Warlords is the story of how Lavin, a frequent target of extremist trolls (including those at Fox News), dove into a byzantine online culture of hate and learned the intricacies of how white supremacy proliferates online.

Within these pages, she reveals the extremists hiding in plain sight online: Incels. White nationalists. White supremacists. National Socialists. Proud Boys. Christian extremists. In order to showcase them in their natural habitat, Talia assumes a range of identities, going undercover as a blonde Nazi babe, a forlorn incel, and a violent Aryan femme fatale. Along the way, she discovers a whites-only dating site geared toward racists looking for love, a disturbing extremist YouTube channel run by a fourteen-year-old girl with over 800,000 followers, the everyday heroes of the antifascist movement, and much more.

By combining compelling stories chock-full of catfishing and gate-crashing with her own in-depth, gut-wrenching research, she also turns the lens of anti-Semitism, racism, and white power back on itself in an attempt to dismantle and decimate the online hate movement from within. Shocking, humorous, and merciless in equal measure, Culture Warlords explores some of the vilest subcultures on the Web-and shows us how we can fight back."
non-fiction,"Vagina Problems: Endometriosis, Painful Sex, and Other Taboo Topics",by Lara Parker (Goodreads Author),240 pages,https://www.goodreads.com/book/show/50542443-vagina-problems,3.99,"""With unflinching honesty, Lara Parker, the Deputy Director for BuzzFeed, shares her day-to-day challenges of living, working, and loving with chronic pain caused by endometriosis in this raw, darkly humorous, and hopeful memoir.

I wasn’t ready to be completely honest about my vagina yet, and the world wasn’t ready for that either. But I was getting there. I wanted the world to know that all of this pain I had been feeling…that it was related to my vagina. Thus, Vagina Problems was born. It was a cutesy name. It was my way of taking this pain and saying, “Whatever. I’m here. I have it. It sucks. Let’s talk about it.”

In April 2014, Deputy Editorial Director at BuzzFeed Lara Parker opened up to the world in an article on the website: she suffers from endometriosis. And beyond that? She let the whole world know that she wasn’t having any sex, as sex was excruciatingly painful. Less than a year before, she received not only the diagnosis of endometriosis, but also a diagnosis of pelvic floor dysfunction, vulvodynia, vaginismus, and vulvar vestibulitis. Combined, these debilitating conditions have wreaked havoc on her life, causing excruciating pain throughout her body since she was fourteen years old. These are her Vagina Problems.

It was five years before Lara learned what was happening to her body. Five years of doctors insisting she just had “bad period cramps,” or implying her pain was psychological. Shamed and stigmatized, Lara fought back against a medical community biased against women and discovered that the ignorance of many doctors about women’s anatomy was damaging more than just her own life. One in ten women have endometriosis and it takes an average of seven years before they receive an accurate diagnosis—or any relief from this incurable illness’ chronic pain.

With candid revelations about her vaginal physical therapy, dating as a straight woman without penetrative sex, coping with painful seizures while at the office, diet and wardrobe malfunctions when your vagina hurts all the time, and the depression and anxiety of feeling unloved, Lara tackles it all in Vagina Problems: Endometriosis, Painful Sex, and Other Taboo Topics with courage, wit, love, and a determination to live her best life."""
non-fiction,The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,"by Roman Mars, Kurt Kohlstedt",400 pages,https://www.goodreads.com/book/show/50416393-the-99-invisible-city,4.20,"A guidebook to the unnoticed yet essential elements of our cities, from the creators of the 99% Invisible podcast .

Have you ever wondered what those bright, squiggly graffiti marks on the sidewalk mean? Or stopped to consider why you don't see metal fire escapes on new buildings? Or pondered the story behind those dancing inflatable figures in car dealerships? 99% Invisible is a big-ideas podcast about small-seeming things, revealing stories baked into the buildings we inhabit, the streets we drive, and the sidewalks we traverse. Roman Mars and coauthor Kurt Kohlstedt zoom in on the various elements that make our cities work, exploring the origins and other fascinating stories behind everything from power grids and fire escapes to drinking fountains and street signs."
non-fiction,Adventures in Opting Out: A Field Guide to Leading an Intentional Life,by Cait Flanders (Goodreads Author),272 pages,https://www.goodreads.com/book/show/50710787-adventures-in-opting-out,3.62,"Opt out of expectations and live a more intentional life with this refreshing guide from the national bestselling author of The Year of Less.

We all follow our own path in life. At least, that's what we're told. In reality, many of us either do what is expected of us, or follow the invisible but well-worn paths that lead to what is culturally acceptable. For some, those paths are fine -- even great. But they leave some of us feeling disconnected from ourselves and what we really want to do. When that discomfort finally outweighs the fear of trying something new, we're ready to opt out.

After going through this process many times, Cait Flanders found there is an incredible parallel between taking a different path in life and the psychological work it takes to summit a mountain -- especially when you decide to go solo. In Adventures in Opting Out, she offers a trail map to help you with both. As you'll see, reaching the first viewpoint can be easy -- and it offers a glimpse of what you're walking toward. Climbing to the summit for the full view is worth it. But in the space between those two peaks you will enter a world completely unknown to you, and that is the most difficult part of the path to navigate.

With Flanders's guidance and advice, drawn from her own journey and stories of others, you'll have all the encouragement and insight you'll need to take the path less traveled and create the life you want. Just step up to the trailhead and expect it to be an adventure."
non-fiction,The Dead Are Arising: The Life of Malcolm X,"by Les Payne, Tamara Payne",640 pages,https://www.goodreads.com/book/show/50489321-the-dead-are-arising,4.41,"Les Payne, the renowned Pulitzer Prize–winning investigative journalist, embarked in 1990 on a nearly thirty-year-long quest to interview anyone he could find who had actually known Malcolm X—all living siblings of the Malcolm Little family, classmates, street friends, cellmates, Nation of Islam figures, FBI moles and cops, and political leaders around the world. His goal was ambitious: to transform what would become over a hundred hours of interviews into an unprecedented portrait of Malcolm X, one that would separate fact from fiction.

The result is this historic biography that conjures a never-before-seen world of its protagonist, a work whose title is inspired by a phrase Malcolm X used when he saw his Hartford followers stir with purpose, as if the dead were truly arising, to overcome the obstacles of racism. Setting Malcolm’s life not only within the Nation of Islam but against the larger backdrop of American history, the book traces the life of one of the twentieth century’s most politically relevant figures “from street criminal to devoted moralist and revolutionary.”

In tracing Malcolm X’s life from his Nebraska birth in 1925 to his Harlem assassination in 1965, Payne provides searing vignettes culled from Malcolm’s Depression-era youth, describing the influence of his Garveyite parents: his father, Earl, a circuit-riding preacher who was run over by a street car in Lansing, Michigan, in 1929, and his mother, Louise, who continued to instill black pride in her children after Earl’s death. Filling each chapter with resonant drama, Payne follows Malcolm’s exploits as a petty criminal in Boston and Harlem in the 1930s and early 1940s to his religious awakening and conversion to the Nation of Islam in a Massachusetts penitentiary.

With a biographer’s unwavering determination, Payne corrects the historical record and delivers extraordinary revelations—from the unmasking of the mysterious NOI founder “Fard Muhammad,” who preceded Elijah Muhammad; to a hair-rising scene, conveyed in cinematic detail, of Malcolm and Minister Jeremiah X Shabazz’s 1961 clandestine meeting with the KKK; to a minute-by-minute account of Malcolm X’s murder at the Audubon Ballroom.

Introduced by Payne’s daughter and primary researcher, Tamara Payne, who, following her father’s death, heroically completed the biography, The Dead Are Arising is a penetrating and riveting work that affirms the centrality of Malcolm X to the African American freedom struggle."
non-fiction,Little Audrey's Daydream: The Life of Audrey Hepburn,"by Sean Hepburn Ferrer, Karin Hepburn Ferrer",56 pages,https://www.goodreads.com/book/show/53349964-little-audrey-s-daydream,4.41,"Audrey Hepburn remains a beloved figure worldwide, but before she became a world-famous actress and humanitarian, she was a little girl with big dreams. Her extraordinary story unfolds during her childhood in Holland, where he happy life of ice skating and dancing changes with the harsh realities of World War II. She daydreams about who she will become when the war ends.

In her fantasies, Audrey enrolls in a premier ballet school and turns to acting, singing, and dancing. One day she is cast in a film that makes her a star. She eventually sets fame aside to focus on raising a family and working with children in need, which she felt was her most important accomplishment. Little Audrey's Daydream, written by her son and daughter-in-law, offers a beacon of hope during difficult times, showing young readers that, with spirit and determination, dreams can come true."
non-fiction,Chicago's Great Fire: The Destruction and Resurrection of an Iconic American City,by Carl Smith,400 pages,https://www.goodreads.com/book/show/53184525-chicago-s-great-fire,4.12,"From an acclaimed historian, the full and authoritative story of one of the most iconic disasters in American history, told through the vivid memories of those who experienced it

Between October 8–10, 1871, much of the city of Chicago was destroyed by one of the most legendary urban fires in history. Incorporated as a city in 1837, Chicago had grown at a breathtaking pace in barely three decades, from just over 4,000 in 1840 to greater than 330,000 at the time of the fire. Built hastily, the city was largely made of wood. Once it began in the barn of Catherine and Patrick O’Leary, the Fire quickly grew out of control, twice jumping branches of the Chicago River on its relentless northeastward path through the city’s three divisions. Close to one of every three Chicago residents was left homeless and more were instantly unemployed, though the death toll was miraculously low.

Remarkably, no carefully researched popular history of the Great Chicago Fire has been written until now, despite it being one of the most cataclysmic disasters in US history. Building the story around memorable characters, both known to history and unknown, including the likes of General Philip Sheridan and Robert Todd Lincoln, eminent Chicago historian Carl Smith chronicles the city’s rapid growth and place in America’s post-Civil War expansion. The dramatic story of the fire―revealing human nature in all its guises―became one of equally remarkable renewal, as Chicago quickly rose back up from the ashes thanks to local determination and the world’s generosity and faith in Chicago’s future.

As we approach the fire’s 150th anniversary, Carl Smith’s compelling narrative at last gives this epic event its full and proper place in our national chronicle."
non-fiction,"Lincoln’s Lie: A True Civil War Caper Through Fake News, Wall Street, and the White House",by Elizabeth Mitchell (Goodreads Author),320 pages,https://www.goodreads.com/book/show/53144171-lincoln-s-lie,4.13,"A thrilling dive into the little-known, darker side of a revered president’s history, Lincoln’s Lie untangles the threads behind a mysterious 1864 newspaper article to reveal how Lincoln manipulated the media during the Civil War, shining new light onto today’s issues of fake news and presidential conflict with the press.

In 1864, during the bloodiest days of the Civil War, two newspapers published a call, allegedly authored by President Lincoln, for the immediate conscription of 400,000 more Union soldiers. New York streets erupted in pandemonium. Wall Street markets went wild.

When Lincoln sent troops to seize the newspaper presses and arrest the editors, it became clear: The proclamation was a lie. Who put out this fake news? Was it a Confederate spy hoping to incite another draft riot? A political enemy out to ruin the president in an election year? Or was there some truth to the proclamation―far more truth than anyone suspected?

Unpacking this overlooked historical mystery for the first time, journalist Elizabeth Mitchell takes readers on a dramatic journey from newspaper offices filled with heroes and charlatans to the haunted White House confinement of Mary Todd Lincoln, from the packed pews of the celebrated preacher Reverend Henry Ward Beecher’s Plymouth Church to the War Department offices in the nation’s capital and a Grand Jury trial.

In Lincoln’s Lie, Mitchell brings to life the remarkable story of the manipulators of the news and why they decided to play such a dangerous game during a critical period of American history. Her account of Lincoln’s troubled relationship to the press and its role in the Civil War is one that speaks powerfully to our current political crises: fake news, profiteering, Constitutional conflict, and a president at war with the press."
non-fiction,Solutions and Other Problems,by Allie Brosh (Goodreads Author),518 pages,https://www.goodreads.com/book/show/51323365-solutions-and-other-problems,4.37,"For the first time in seven years, Allie Brosh—beloved author and artist of the extraordinary #1 New York Times bestseller Hyperbole and a Half—returns with a new collection of comedic, autobiographical, and illustrated essays.

Solutions and Other Problems includes humorous stories from Allie Brosh’s childhood; the adventures of her very bad animals; merciless dissection of her own character flaws; incisive essays on grief, loneliness, and powerlessness; as well as reflections on the absurdity of modern life.

This full-color, beautifully illustrated edition features all-new material with more than 1,600 pieces of art. Solutions and Other Problems marks the return of a beloved American humorist who has “the observational skills of a scientist, the creativity of an artist, and the wit of a comedian” (Bill Gates).

“Imagine if David Sedaris could draw….Enchanting.” —People

“One of the best things I’ve ever read in my life.” —Marc Maron

“Will make you laugh until you sob, even when Brosh describes her struggle with depression.” —Entertainment Weekly

“I would gladly pay to sit in a room full of people reading this book, merely to share the laughter.” —The Philadelphia Inquirer

“In a culture that encourages people to carry mental illness as a secret burden….Brosh’s bracing honesty is a gift.” —Chicago Tribune"
