user_name,user_unique_key,number_of_stars,book_unique_key,review_text
Olive Fellows (abookolive),https://www.goodreads.com/user/show/17420799-olive-fellows-abookolive,2,https://www.goodreads.com/book/show/50891570-group,"This is a memoir in which the author, while in law school and while having very dark thoughts, decides to seek help in the form of a group therapy session. Initially, therapy seems to do a lot of good for Tate. She’s forced to start talking about her issues with eating and sex, and the therapist (Dr. Rosen) helps her give voice to issues long left unspoken.

But as we go along, the therapist’s instructions and his role in the author’s life grows, especially as he suggests that she join additional"
Elyse  Walters,https://www.goodreads.com/user/show/597461-elyse-walters,2,https://www.goodreads.com/book/show/50891570-group,"“I was afraid of marrying my heart with the scoring that rose naturally between people, the inevitable bumping against other peoples desires, demands, pettiness, preferences, and all the quotidian Negotiations that made up a relationship. Scoring was required for attachment, and my heart leapt the grooves”.

“The deep secret that I carried was that I didn’t belong. Anywhere. I spent half my days obsessing about food and my body and the weird shit I did to control both, and the other half trying"
Erin,https://www.goodreads.com/user/show/32799998-erin,4,https://www.goodreads.com/book/show/50891570-group,"Giveaway Win!

I want to start this review off by saying that I don't think traditional forms of therapy are for everyone. I've tried going to therapy and I've tried taking anxiety medication and neither were for me. That does not mean that those things won't work for someone else. Mental health treatment is not a one size fits all type of thing.

For me these are the things that work for ME (these are not recommendations for anyone else)

1) taking time away (a day or two)from everyone (total solit"
Gretchen Rubin,https://www.goodreads.com/user/show/2547702-gretchen-rubin,0,https://www.goodreads.com/book/show/50891570-group,"I love reading about other people's therapy, so was fascinated by this account of unconventional group therapy and its life-changing consequences."
Jennifer Blankfein,https://www.goodreads.com/user/show/8904243-jennifer-blankfein,5,https://www.goodreads.com/book/show/50891570-group,"Just what the doctor ordered to forget about the pandemic and no electricity- what’s better than reading about someone else’s crazy messed up life! Lots of humor and misery kept me engaged until the very last page!
Group is an engaging and entertaining read. The author goes deep as she brings us with her to group therapy sessions and shows how the difficult process of revealing personal secrets allowed her to develop more intimate relationships.

In this memoir, Christie Tate, a lawyer with an eat"
jenny✨,https://www.goodreads.com/user/show/5160409-jenny,0,https://www.goodreads.com/book/show/50891570-group,"I can’t really in good faith recommend this book to folks (unless you’re simply looking for non-fic that can be taken with a hefty grain of salt).

This was salacious and entertaining and... honestly kind of iffy.

Tate is a crassly funny narrator, and this book presents a no-holds-barred account of her experience with group therapy and coming to terms with traumatic memories and eating disorder recovery. I liked the metaphor of the scored heart that she uses throughout the book. Just like how one"
Elise MacMillan,https://www.goodreads.com/user/show/16795959-elise-macmillan,2,https://www.goodreads.com/book/show/50891570-group,"This is a complex review for me!

I got to read this book as an ARC and I was super excited about it since I am first-year therapy graduate student. I think that I was coming at this book from a different angle. The book is from the perspective of a client in therapy, specifically group therapy. Christie is a very successful law student and professional who finds herself in need of help.

My main critique of this book (it is a memoir) was that I really struggled with ethical issues throughout the"
Jessica Woodbury,https://www.goodreads.com/user/show/4271946-jessica-woodbury,4,https://www.goodreads.com/book/show/50891570-group,"I love reading advice columns and shows about people in therapy. I find the way people see their own problems fascinating, and I find them even more fascinating when taken through another person who is there to consider and possibly disagree with the way a person sees their problems. I am frustrated that I can't read a million books about people sharing their experiences in therapy. But I get it. Sometimes when I watch/read/hear these stories I think, ""Wow, how can anyone be okay sharing this mu"
Basic B's Guide,https://www.goodreads.com/user/show/7820922-basic-b-s-guide,4,https://www.goodreads.com/book/show/50891570-group,"“My turn, your turn. Back and forth. So this was how it happened. This was how you built an intimate relationship. Word by word. Story by story. Revelation by revelation. Just like group.”

An intimate debut memoir centering on group therapy and how opening up to strangers saved a life.

I’ve often wondered how freeing it would be for a stranger or group of strangers to know my secrets. To have a group of people that did not hold back, judge or even tell you what to do. Simply a group of individuals"
Diane S ☔,https://www.goodreads.com/user/show/4159922-diane-s,3,https://www.goodreads.com/book/show/50891570-group,Thoughts soon.
Tzipora,https://www.goodreads.com/user/show/5118816-tzipora,4,https://www.goodreads.com/book/show/50891570-group,Review to come but I definitely recommend this one.
Heather,https://www.goodreads.com/user/show/4654126-heather,0,https://www.goodreads.com/book/show/50891570-group,"This is difficult to rate because I didn't have any problems with the writing or how the author presented herself as a person, but the whole thing made my skin crawl. Everything Dr. Rosen did felt gross and unethical and over the line. There were so many times when Christie was about ready to quit going to group, and I was like ""Good for you! Recognize that this isn't ok!"" and then she always went back. I am glad that she ultimately got what she wanted and is in a good place. However, I don't th"
Sarah Gryfenberg,https://www.goodreads.com/user/show/3350636-sarah-gryfenberg,1,https://www.goodreads.com/book/show/50891570-group,"I didn’t really ‘finish’ this book as such, I gave up sixty pages in. If this is an actual memoir and not simply a piece of fiction, then there is a psychiatrist out there in the world somewhere that seriously shouldn’t be practicing. I am a huge supporter of therapy, but this type of ‘therapy’ is unethical and just plain wrong. What a weird thing to decide to write about and share with others.."
embos,https://www.goodreads.com/user/show/58761429-embos,5,https://www.goodreads.com/book/show/50891570-group,"Oh wow. Five stars all the way around.

I know that several reviews I’ve read are stuck on the ethics of Dr. Rosen and the way he chooses to practice in his group therapy, but you know what? It didn’t bother me. I see the value in the way he makes everyone uncomfortable and let’s them feel things and get angry and work through it as a team. Having a support system is so important. Having a place to go every week at an exact time to keep the feeling of purpose alive in people who are struggling to"
Amy Hauptman,https://www.goodreads.com/user/show/76542718-amy-hauptman,1,https://www.goodreads.com/book/show/50891570-group,"This book was really uncomfortable to read. At times I also found it horrifying and disturbing. I applaud the author's desire to seek help, but the group she attended came across as ""cult-ish"" and/or something that would be endorsed by Gywenth Paltrow (Goop). Any group that requires you to come to their organization 3 times a week for 90 minutes $800/month screams cult-ish. This kind of ""therapy"" is not realistic or sustainable for the average person. Most people cannot dedicate that much time t"
"PinkAmy loves books, cats and naps ",https://www.goodreads.com/user/show/8149327-pinkamy-loves-books-cats-and-naps,1,https://www.goodreads.com/book/show/50891570-group,"I listened to the Audible version of the book, read by the author.

Memoirs are difficult when the writer comes across as unlikable, more so when that writer narrates her story. I suppose a certain amount of self-importance is necessary to assume one’s life is worth a story, unless you’re someone famous like Michelle Obama or you’ve had an extraordinary life experience or deep insight, none of which applies to Christie Tate. She comes across as privileged and unlikable, but that wasn’t my biggest"
Mom_Loves_Reading,https://www.goodreads.com/user/show/51258642-mom-loves-reading,4,https://www.goodreads.com/book/show/50891570-group,"Tate's evolution of self through totally honest, soul-baring & nontraditional-style group therapy will leave you feeling mentally taken apart & put back together. 'Group' is raw w/ insight & vulnerability & it was kind of therapeutic just reading it, as it creates a sense of hopefulness & positivity. Fantastic non-fic story!"
Genevieve Trono,https://www.goodreads.com/user/show/2225407-genevieve-trono,4,https://www.goodreads.com/book/show/50891570-group,"As someone who has had therapy as a part of my life for as long as I can remember, I have always been fascinated by what it is like for other people. I am so grateful that especially during this last decade mental health and therapy have been normalized so much.

I started attending therapy when I was just a child during my parent's tumultuous and quite painful divorce. While it was something that was monumental in my ability to process many hard encounters and feelings, it was also a very isolati"
Emily Carter-Dunn,https://www.goodreads.com/user/show/54361024-emily-carter-dunn,4,https://www.goodreads.com/book/show/50891570-group,"****Now available!****

Thank you to Christie Tate and Simon & Schuster UK for a copy of the book in exchange for an honest review.

As I've said before: I LOVE a memoir. The more ordinary the person, the better! Me and nosey self just love a snoop into other peoples' lives and BOY did I get a snoop!

Christie is a law student battling with an eating disorder and intimacy issues and finally decides to take the plunge and start therapy. She is recommended Dr Rosen by one of her friends and she goes to"
Sarah at Sarah's Bookshelves,https://www.goodreads.com/user/show/32300055-sarah-at-sarah-s-bookshelves,0,https://www.goodreads.com/book/show/50891570-group,DNF at 22%. Just didn't care about all these different people in the group's complaints. Was grossed out by some of the therapist's the sexual comments.
Queralt,https://www.goodreads.com/user/show/3887247-queralt,1,https://www.goodreads.com/book/show/50891570-group,"Welp so, full transparency here, I have an eating disorder. I used to go to this awesome group a few years ago and now struggling to drag myself to this new group therapy. I tried reading this to find me some motivation to go, but it ended up being an upsetting read for me personally.

Dr. Rosen's therapies are strange and unorthodox and not alike anything you'd find normally. If you have questions about normal group therapy, ask google, your therapist, or myself. -- This book is not about anyone"
Fay Flude,https://www.goodreads.com/user/show/94864717-fay-flude,3,https://www.goodreads.com/book/show/50891570-group,"This is quite a strange read and one that I alternately liked and didn't like.
It is extremely personal and I found the parts where there are lots of reference to sex a bit much.
I didn't particularly like the characters and found the whole American obsession with therapy hard to understand.
We basically join Christie on her journey, via group therapy with Dr Rosen, in her search for personal enlightenment and the opportunity to free herself from a lifetime of crushing self-doubt, self-harm and lac"
Johanna,https://www.goodreads.com/user/show/84838574-johanna,4,https://www.goodreads.com/book/show/50891570-group,I would go with 4.5. Refreshing and honest - and full of hope.
Babs Schmerler,https://www.goodreads.com/user/show/95238591-babs-schmerler,3,https://www.goodreads.com/book/show/50891570-group,"I usually do not read memoirs, but one of my friends is a librarian and had an advanced copy of this book. As a retired psychotherapist, I have to question some of Dr. Rosen's techniques and ethics. He could have directed the group to intervene more and could have helped the author better handle her emotional outbursts, which were over the top, creating havoc in her life, and really distressing to her. While I agree with his stance on not keeping secrets, I would hope readers understand that go"
Alexis,https://www.goodreads.com/user/show/110284537-alexis,5,https://www.goodreads.com/book/show/50891570-group,"I have no idea who Christie Tate is but reading her memoir was perhaps one of the most intimate experiences I’ve ever felt reading about someone else’s life. Group is raw, powerful, funny, tear-jerking, and honest. I flew through the pages in a few short hours soaking it all in; every page left me wanting to know more, read further. I 100% recommend for a cathartic reading experience!"
Amina,https://www.goodreads.com/user/show/37679786-amina,5,https://www.goodreads.com/book/show/50891570-group,"I'm no stranger to recovery memoirs or tales of therapy but I can honestly say I've never read a book like this before! Unpredictable, heartfelt and absorbing, I read this book and can't stop thinking about it. "
Kayo,https://www.goodreads.com/user/show/31710254-kayo,2,https://www.goodreads.com/book/show/50891570-group,"Comments were deleted somehow.

Book was "" off"" for me. Something fishy about it."
Paula,https://www.goodreads.com/user/show/7272250-paula,2,https://www.goodreads.com/book/show/50891570-group,Group was not a book for me. I just could not connect with the information or the author. The information felt too forced for my liking.
Linda McCutcheon,https://www.goodreads.com/user/show/28194465-linda-mccutcheon,4,https://www.goodreads.com/book/show/50891570-group,"""I can be mad at you and still love you, you know""
No, actually, I didn't know that. I had no idea.

There are so many revelations like the one above in Group: How One Therapist and a Circle of Strangers Saved My Life by Christie Tate that made me realize how much we assume how others feel.

The author, with unabashed honesty, takes us through her harrowing journey of grief, loneliness, depression, and self loathing until she joins Dr. Rosen's many group therapy sessions. She writes with such fearles"
Maria,https://www.goodreads.com/user/show/108569582-maria,5,https://www.goodreads.com/book/show/50891570-group,"Group
280 pages
⭐️⭐️⭐️⭐️⭐️

Christie Tate had just been named the top student in her law school class and had her eating disorder under control at last. Why then was she driving through Chicago fantasizing her own death? Enter Dr. Jonathan Rosen, a therapist who calmly assured her that if she joins one of his psychotherapy groups, he can transform her life. All she has to do is show up and be honest. So begins her entry into the strange, terrifying and life-changing world of group therapy. ( trigge"
Caryn,https://www.goodreads.com/user/show/1498815-caryn,5,https://www.goodreads.com/book/show/50891570-group,"I just loved this. It was so entertaining that I flew through it in one weekend. But I offer one caveat: this therapist seems certifiably nuts. While I’ve never been to therapy, some of his prescriptions and recommendations seem so far off. That said, everything seemed to work out for our memoirist here and I’m stunned that she chose to share these same (and embarrassing) stories with the world. Group seemed safe enough... at one point it seemed the entire city of Chicago would have known all he"
Karen Parisot,https://www.goodreads.com/user/show/26193006-karen-parisot,5,https://www.goodreads.com/book/show/50891570-group,"Christie Tate has always been an overachiever. She buried herself in her textbooks and earned first place in her class at Loyola Law. She lands a plum job working for one of the nation’s leading law firms, but Christie wants more. All her life she has had trouble building and maintaining close relationships. She longs for a family and wishes for death. Told by her mother not to share her personal business, she nonetheless seeks help from Dr. Rosen who assigns her to one of his groups.
A raw, hone"
