genre,title,author,pages,unique_key,average_rating,book_description
novella,Ring Shout,by P. Djèlí Clark,192 pages,https://www.goodreads.com/book/show/49247242-ring-shout,4.25,"Nebula, Locus, and Alex Award-winner P. Djèlí Clark returns with Ring Shout, a dark fantasy historical novella that gives a supernatural twist to the Ku Klux Klan's reign of terror.

D. W. Griffith is a sorcerer, and The Birth of a Nation is a spell that drew upon the darkest thoughts and wishes from the heart of America. Now, rising in power and prominence, the Klan has a plot to unleash Hell on Earth.

Luckily, Maryse Boudreaux has a magic sword and a head full of tales. When she's not running bootleg whiskey through Prohibition Georgia, she's fighting monsters she calls ""Ku Kluxes."" She's damn good at it, too. But to confront this ongoing evil, she must journey between worlds to face nightmares made flesh--and her own demons. Together with a foul-mouthed sharpshooter and a Harlem Hellfighter, Maryse sets out to save a world from the hate that would consume it."
novella,Over the Woodward Wall,by A. Deborah Baker (Pseudonym),208 pages,https://www.goodreads.com/book/show/49247292-over-the-woodward-wall,3.87,"""Writing as A. Deborah Baker, New York Times bestselling and award-winning author Seanan McGuire introduces readers to a world of talking trees and sarcastic owls, of dangerous mermaids and captivating queens in Over the Woodward Wall, an exceptional tale for readers who are young at heart.

If you trust her you’ll never make it home…

Avery is an exceptional child. Everything he does is precise, from the way he washes his face in the morning, to the way he completes his homework – without complaint, without fuss, without prompt.

Zib is also an exceptional child, because all children are, in their own way. But where everything Avery does and is can be measured, nothing Zib does can possibly be predicted, except for the fact that she can always be relied upon to be unpredictable.

They live on the same street.
They live in different worlds.

On an unplanned detour from home to school one morning, Avery and Zib find themselves climbing over a stone wall into the Up and Under – an impossible land filled with mystery, adventure and the strangest creatures.

And they must find themselves and each other if they are to also find their way out and back to their own lives."""
novella,"Cardiff, by the Sea: Four Novellas of Suspense",by Joyce Carol Oates,404 pages,https://www.goodreads.com/book/show/52580386-cardiff-by-the-sea,3.94,"Joyce Carol Oates, the ""grand mistress of ghoulishness"" (Publishers Weekly), showcases her mastery in four deeply disturbing novellas that will leave the reader both quaking and pining for more In the titular novella, an academic in Pennsylvania discovers a terrifying trauma from her past after inheriting a house in Cardiff, Maine from someone she has never heard of. Mia, the protagonist of ""Miao Dao,"" is a pubescent girl overcome with loneliness, who befriends a feral cat that becomes her protector from the increasingly aggressive males that surround her.

A brilliant but shy college sophomore realizes that she is pregnant in ""Phan-tomwise: 1972."" Distraught, she allows a distinguished visiting professor to take her under his wing, though it quickly becomes evident that he is interested in more than an academic mentorship. Lastly, ""The Surviving Child"" is Stefan, who was spared when his mother, a famous poet, killed his sister and herself. Stefan's father remarries, but his young wife is haunted by dead poet's voice dancing in the wind, an inexplicably befouled well, and a compulsive draw to the same gar-age that took two lives.

In these psychologically daring, chillingly suspenseful pieces, Joyce Carol Oates writes about women facing threats past and present."
novella,My Last Duchess,by Eloisa James (Goodreads Author),432 pages,https://www.goodreads.com/book/show/52934866-my-last-duchess,4.08,"New York Times bestselling author Eloisa James returns to the Wildes series with a prequel about the Wilde children's parents, Hugo, Duke of Lindow, and Ophelia, Lady Astley.

Every Duke needs a Duchess...

Hugo Wilde, the Duke of Lindow, has a drafty castle, eight naughty children—and no wife. Ophelia, Lady Astley, has a fine house, one well-behaved daughter—and no husband.

Hugo takes one look at Ophelia and loses his heart, but she doesn’t want more children or a castle. She takes one look at him and heads for her carriage.

Desperate to find a duchess, Hugo identifies an appropriate lady to woo. Yet when he meets Ophelia again, the duke realizes that he will marry her, or no one.

Now he faces the greatest challenge of his life.

He must convince Ophelia that their blazing sensuality, his exquisite castle, and his eight charming children add up to a match made in heaven.

When duke finds his duchess, can he win her heart?

A Wildes series prequel about the Wilde children’s parents, Hugo, Duke of Lindow, and Ophelia, Lady Astley."
novella,Memento,"by Amie Kaufman (Goodreads Author), Jay Kristoff (Goodreads Author)",84 pages,https://www.goodreads.com/book/show/55654594-memento,4.56,"From New York Times bestselling authors Amie Kaufman and Jay Kristoff comes an Illuminae prequel digital novella that gives readers a hair-raising glimpse into the calamity that befell the invincible AI system known as AIDAN–and the daring young programmer who would risk her life to keep it from crashing.

AIDAN is the AI you’ll love to hate.

The advanced AI system was supposed to protect a fleet of survivors who’d escaped the deadly attack on Kerenza IV. AIDAN was supposed to be infallible. But in the chaotic weeks and months that followed, it became clear that something was terribly, terribly wrong with AIDAN…"
novella,The Fourth Island,"by Sarah Tolmie, Rovina Cai (Illustrator)",112 pages,https://www.goodreads.com/book/show/49247276-the-fourth-island,3.75,"Dark, mournful, and beautiful, Sarah Tolmie's The Fourth Island is a moving and unforgettable story of life and death on the hidden Irish island of Inis Caillte.

Huddled in the sea off the coast of Ireland is a fourth Aran Island, a secret island peopled by the lost, findable only in moments of despair. Whether drowned at sea, trampled by the counter-reformation, or exiled for clinging to the dead, no outsiders reach the island without giving in to dark emotion.

Time and again, The Fourth Island weaves a hypnotic pattern with its prose, presaging doom before walking back through the sweet and sour moments of lives not yet lost. It beautifully melds the certainty of loss with the joys of living, drawing readers under like the tide."
novella,Taken at Midnight,by Amelia Wilde (Goodreads Author),90 pages,https://www.goodreads.com/book/show/55223001-taken-at-midnight,3.90,"Once upon a time, Cinderella left school for a cast party.
She never made it.

I’m almost to the house when a strong hand closes over my mouth and pulls me into the shadows.

In the space of an instant, the night has gone from fairy-tale success to my darkest nightmare.

He says he’ll keep me for two days. I know he’s lying.

And worst of all, I might not want to leave."
novella,A Duke for Miss Townsbridge,by Sophie Barnes (Goodreads Author),118 pages,https://www.goodreads.com/book/show/54867534-a-duke-for-miss-townsbridge,4.20,"She threatens to conquer his heart...

When Matthew Donovan, Duke of Brunswick, proposes to Sarah Townsbridge, she's shocked. After all, she's never met him before. One thing is clear though—he obviously needs help. So after turning him down, she decides to get to know him better, and finds out she's right. But fixing a broken man is not the same as adopting a puppy. Least of all when the man in question has no desire to be saved.

Matthew has his mind set on Sarah. Kind and energetic, she'll make an excellent mother. Best of all, her reclusiveness is sure to make her accept the sort of marriage he has in mind—one where they live apart. The only problem is, to convince her, they must spend time together. And the more they do, the more he risks falling prey to the one emotion he knows he must avoid at all cost: love."
novella,The Kissing Tree: Four Novellas Rooted in Timeless Love,"by Karen Witemeyer (Goodreads Author), Regina Jennings (Goodreads Author), Amanda Dykes (Goodreads Author), Nicole Deese (Goodreads Author)",384 pages,https://www.goodreads.com/book/show/51268201-the-kissing-tree,4.49,"""From the mid-1800s to modern day, these novellas each tell a tale worthy of swooning. These bestselling authors' unique voices are on display in stories where each couples' winding path to love happens under the shade an enormous Texas oak tree.""--Provided by publisher."
novella,A Very Highland Christmas,"by Jennifer Ashley (Goodreads Author), Tanya Anne Crosby (Goodreads Author), Kathryn Le Veque (Goodreads Author), Kerrigan Byrne (Goodreads Author), Darcy Burke (Goodreads Author), Eliza Knight (Goodreads Author)",441 pages,https://www.goodreads.com/book/show/54765906-a-very-highland-christmas,4.40,"Ashley… Crosby… Le Veque… Knight… Burke… Byrne…

It’s an enchanting Christmas in the Highlands with some of your favorite Historical Romance authors!

It’s Christmas Eve 1747, and the Highlands are snowy. In the village of Calvine, north of Tay Forest, along a road that leads straight into Inverness, the only tavern in town is packed to the rafters with travelers.

Eight months after the disastrous defeat at Culloden, the people haven’t recovered, nor has the land, and it’s a bad winter. But inside the tavern known as Balthazar’s Inn, the magic that is Christmas is about to happen.

A blustery innkeeper, his sensitive daughter, and a cast of unique characters passing through the careworn tavern will bring you six captivating stories of reflection, joy, and enthrallment that is the very spirit of the holiday season.

Welcome to an enchanting limited-edition collection you won’t soon forget!

The Knight of Christmas Future by Kathryn Le Veque - When James de Lohr heads into the wilds of Scotland to discover what happened to his brother at the Battle of Culloden, his stay at Balthazar’s Tavern has an unexpected twist. On a night when angels walk the earth, James comes face to face with his very own guardian angel.

Fiona and the Three Wise Highlanders by Jennifer Ashley - Fiona McDonald is overjoyed to see Stuart Cameron alive and well after his imprisonment by the English, but her worries are not over. Stuart Cameron owes his safety to a pair of smugglers who have come to collect on their debt, and Stuart will need her help to win himself free.

One Knight’s Stand by Tanya Anne Crosby - Lady Elizabeth Easton finds herself suffering a terrible case of wedding nerves. She feigns illness, stopping to recover at a highland inn where she signs in as the “MacKinnon's bride.” Presumed dead at Culloden, Callum MacKinnon stops at the inn, intending to clean up before his return as the prodigal son. Imagine his surprise to find his “bride to be” has already procured them a room.

The Earl of Christmas Past by Kerrigan Bryne - A solstice blizzard drives Victorian photographer Vanessa Latimer to a crowded Highland Inn where the only available room is haunted by the ghost of a fallen warrior unwilling to give up his side of the bed.

Highland Hearts by Darcy Burke - When Tavish Crawford learns treasure hunter Elspeth Marshall is on the trail of his family’s missing legacy, he swears to prevent her at any cost. As nefarious forces threaten them both, he realizes he must not only protect the mystical sword, but the woman who has stolen his heart.

The Highlander Who Nearly Stole Christmas by Eliza Knight - For eight months, Thane Menzies has patiently waited to enact his revenge against the Campbells, and finally, he can’t resist the opportunity that’s presented itself: stealing their most precious treasure for his own—Lady Sarah.

From our families to yours, we wish you the very best of the holiday season!"
