user_name,user_unique_key,number_of_stars,book_unique_key,review_text
Gerhard,https://www.goodreads.com/user/show/7416346-gerhard,5,https://www.goodreads.com/book/show/49247242-ring-shout,
Tadiana ✩Night Owl☽,https://www.goodreads.com/user/show/8734459-tadiana-night-owl,4,https://www.goodreads.com/book/show/49247242-ring-shout,"4+ stars. Review first posted on FantasyLiterature.com:

In Ring Shout, P. Djèlí Clark melds two types of horror, Lovecraftian monsters and the bloody rise of the Ku Klux Klan in 1922 Georgia, as a group of black resistance fighters take on an enemy with frightening supernatural powers.

As Ku Klux Klan members march down the streets of Macon, Georgia on the Fourth of July, Maryse Boudreaux, who narrates the story, watches from a rooftop with her two companions, sharpshooter Sadie and former soldier"
karen,https://www.goodreads.com/user/show/45618-karen,4,https://www.goodreads.com/book/show/49247242-ring-shout,"CAN I SQUEEZE IN ONE MORE SPOOKTOBER BOOK?

I COULD!!!!

*****************************

""Girl, every choice we make is a new tomorrow. Whole worlds waiting to be born.""

i liked this more than i didn't, with its strong female characters, its Lovecraft Country vibes, and that cover is DIVINE, but OOFA, it's a lot, and i know full well this is a dick thing to say, but honestly, this book shoulda been either longer or shorter.

hear me out!

i think i would have found it easier to take in if it had been eithe"
Mara,https://www.goodreads.com/user/show/70492479-mara,5,https://www.goodreads.com/book/show/49247242-ring-shout,"I'm honestly blown away by the craftsmanship of this book. It is a textbook perfectly executed novella, and I am beyond delighted & impressed by how much plot, world building, character work, and thematic content Clark develops over the course of this story. I think if you read the description, you'll get a sense of if this a book that intrigues you, and if so-- just go ahead & read it. I don't think you'll be disappointed. With the ending, seems like there is a door for there to be a sequel, wh"
Sadie Hartmann Mother Horror,https://www.goodreads.com/user/show/28225370-sadie-hartmann-mother-horror,5,https://www.goodreads.com/book/show/49247242-ring-shout,"Original Review available at Cemetery Dance
https://www.cemeterydance.com/extras/...
I read a brief tagline for Ring Shout that was along the lines of, “a dark fantasy historical novella that gives a supernatural twist to the Ku Klux Klan’s reign of terror” and I was sold. I love everything the tagline promises: Dark Fantasy. Historical Fiction. Novella. Supernatural. Give me all of those things.

Ring Shout not only delivered on these promises, but it also flew past all of my expectations making th"
Richard Derus,https://www.goodreads.com/user/show/3920693-richard-derus,4,https://www.goodreads.com/book/show/49247242-ring-shout,"Would been five stars without the damned w-bombs. Nine, maybe even ten! Crapped on my loving like seagulls on a picnic.

Anyway, it wasn't *all* bad. Go look.

And THANKS, NETGALLEY!! (And Tor.com Publishing, of course.)"
Justina Ireland,https://www.goodreads.com/user/show/105687654-justina-ireland,5,https://www.goodreads.com/book/show/49247242-ring-shout,"This books defies review, mostly because it is both funny and horrifying, fantastical oand much to realistic.

But! You should definitely read it and experience this magic for yourself."
Boston,https://www.goodreads.com/user/show/61716600-boston,4,https://www.goodreads.com/book/show/49247242-ring-shout,"“They say God is good all the time. Seem he also likes irony.”

I liked a lot about this book. There’s not much to dislike about a black main character on a quest to hunt down Klansmen. Naturally, it had a lot of racial commentary that has been and will be relevant for a long time. Adding a horror theme to all of that just made it that much better.
My only problem was that at times I felt that because we were thrown into the story immediately, I had a hard time getting my footing, but that very we"
Elle,https://www.goodreads.com/user/show/70046142-elle,5,https://www.goodreads.com/book/show/49247242-ring-shout,"Ring Shout by P. Djèlí Clark is the perfect fantasical horror story to pull you away from the real life one we’ve been living this week.

Set almost a hundred years ago in Macon, Georgia, Ring Shout follows Maryse Boudreaux, a monster slayer who is hunting the KKK. Not just Klan members, though, but a particularly heinous type of demon that walks around in human skin. They’re called Ku Kluxes, and they have infiltrated one of the most hateful organizations in the last 100 years of American histor"
jenny✨,https://www.goodreads.com/user/show/5160409-jenny,4,https://www.goodreads.com/book/show/49247242-ring-shout,"absolutely phenomenal.

i have no words, except that i feel similarly to how i felt after watching Get Out for the first time: utterly blown away. filled with vindictive, fury-driven satisfaction. kind of shocked to find myself somehow back in my own reality (though i must admit, the line between fantasy/reality in both of these stories is a FINE one indeed). and ready for a re-read/watch already.

jordan peele needs to turn this into a movie STAT"
