genre,title,author,pages,unique_key,average_rating,book_description
poetry,The Truth Project,by Dante Medema (Goodreads Author),400 pages,https://www.goodreads.com/book/show/50496883-the-truth-project,4.40,"Seventeen-year-old Cordelia Koenig was sure of many things going into her last year of high school. For one, she wasn’t going to stress over the senior project all her peers were dreading—she’d just use the same find-your-roots genealogy idea that her older sister used for hers. Secondly, she’d put all that time spent not worrying about the project toward getting reacquainted with former best friend and longtime crush Kodiak Jones who, conveniently, gets assigned as Cordelia’s partner.

All she has to do is mail in her DNA sample, write about her ancestry results and breeze through the rest of senior year. Done, done and done.

But when Cordelia’s GeneQuest results reveal that her father is not the man she thought he was but a stranger who lives thousands of miles away, Cordelia realizes she isn’t sure of anything anymore—not the mother who lied, the life she was born into or the girl staring back at her in the mirror.

If your life began with a lie, how can you ever be sure of what’s true?"
poetry,Make Me Rain: Poems & Prose,by Nikki Giovanni,144 pages,https://www.goodreads.com/book/show/50622419-make-me-rain,4.15,"One of America’s most celebrated poets challenges us with this powerful and deeply personal collection of verse that speaks to the injustices of society while illuminating the depths of her own heart.

For more than thirty years, Nikki Giovanni’s poetry has inspired, enlightened, and dazzled readers. As sharp and outspoken as ever, this artist long hailed as a healer and a sage returns with this profound book of poetry in which she continues to call attention to injustice and give readers an unfiltered look into the most private parts of herself.

In Make Me Rain, she celebrates her loved ones and unapologetically declares her pride in her black heritage, while exploring the enduring impact of the twin sins of racism and white nationalism. Giovanni reaffirms her place as a uniquely vibrant and relevant American voice with poems such as “I Come from Athletes” and “Rainy Days”—calling out segregation and Donald Trump; as well as “Unloved (for Aunt Cleota)” and “”When I Could No Longer”—her personal elegy for the relatives who saved her from an abusive home life. 

Stirring, provocative, and resonant, the poems in Make Me Rain pierce the heart and nourish the soul. "
poetry,The Perfect Nine: The Epic of Gĩkũyũ and Mũmbi,by Ngũgĩ wa Thiong'o,240 pages,https://www.goodreads.com/book/show/54815570-the-perfect-nine,4.19,"A dazzling, genre-defying novel in verse, from the author Delia Owens says “tackles the absurdities, injustices, and corruption of a continent”

Ngũgĩ wa Thiong’o’s novels and memoirs have received glowing praise from the likes of President Barack Obama, the New Yorker, the New York Times Book Review, The Guardian, and NPR; he has been a finalist for the Man International Booker Prize and is annually tipped to win the Nobel Prize for Literature; and his books have sold tens of thousands of copies around the world.

In his first attempt at the epic form, Ngũgĩ tells the story of the founding of the Gĩkũyũ people of Kenya, from a strongly feminist perspective. A verse narrative, blending folklore, mythology, adventure, and allegory, The Perfect Nine chronicles the efforts the Gĩkũyũ founders make to find partners for their ten beautiful daughters—called “The Perfect Nine” —and the challenges they set for the 99 suitors who seek their hands in marriage. The epic has all the elements of adventure, with suspense, danger, humor, and sacrifice.

Ngũgĩ’s epic is a quest for the beautiful as an ideal of living, as the motive force behind migrations of African peoples. He notes, “The epic came to me one night as a revelation of ideals of quest, courage, perseverance, unity, family; and the sense of the divine, in human struggles with nature and nurture.”"
poetry,Junk Boy,by Tony Abbott,368 pages,https://www.goodreads.com/book/show/50496045-junk-boy,3.65,"Bestselling author Tony Abbott’s YA novel-in-verse is an unflinching and heartbreaking look at a boy’s junk-filled life, and the ways he finds redemption and hope, perfect for fans of The Crossover and Long Way Down.

Junk. That’s what the kids at school call Bobby Lang, mostly because his rundown house looks like a junkyard, but also because they want to put him down. Trying desperately to live under the radar at school—and at the home he shares with his angry, neglectful father—Bobby develops a sort of proud loneliness. The only buffer between him and the uncaring world is his love of the long, wooded trail between school and home.

Life grinds along quietly and hopelessly for Bobby until he meets Rachel. Rachel is an artist who sees him in a way no one ever has. Maybe it’s because she has her own kind of junk, and a parent who hates what Rachel is: gay. Together the two embark on journeys to clean up the messes that fill their lives, searching against all odds for hope and redemption.

Narrated in Bobby’s unique voice in arresting free verse, this novel will captivate readers right from its opening lines, urging them on page after page, all the way to its explosive conclusion."
poetry,DKMH,by Dacre Montgomery,144 pages,https://www.goodreads.com/book/show/53142770-dkmh,3.07,"A story of living, imagery from bursts of color and feelings, and hallucinations of our imagination. Written by spoken word poet, podcaster, and Stranger Things star Dacre Montgomery, comes his debut collection of poetry DKMH. 

Since its release as a small mixed-media podcast, DKMH has topped charts all over the internet. Written and produced by Stranger Things star Dacre Montgomery, the DKMH platform is expanding to print. This exciting debut collection of poetry and prose is an analysis of ego, love, anger, and anxiety. Each poem investigates our individual driving forces and how experiences shape us into the humans we are, deeply personal yet strangely familiar and universal. Consumable on a variety of platforms, DKMH is a constant battle between themes that explore the biggest life questions: who are we, why are we, and what drives us?"
poetry,Dandelion,by Gabbie Hanna,240 pages,https://www.goodreads.com/book/show/50891678-dandelion,4.00,"New York Times bestselling author Gabbie Hanna delivers everything from curious musings to gut-wrenching confessionals in her long-awaited sophomore collection of illustrated poetry.

In this visually thrilling installment of the inner-workings of Gabbie’s mind, we’re taken on a journey of self-loathing, self-reflection, and ultimately, self-acceptance through deeply metaphorical imagery, chilling twists on child-like rhymes, and popular turns of phrase turned on their heads. Through raw, provocative tidbits, Dandelion explores what it means to struggle with a declining mental health in a world where mental health is both stigmatized and trivialized. The poems range from topics of rage and despair to downright silliness, so if you don’t know whether to laugh or cry, just laugh until you cry.

Exclusive bonus content: a collection of uncomfortably honest personal essays about Gabbie’s childhood and relationships."
poetry,Confessions of Her,by Cindy Cherie,192 pages,https://www.goodreads.com/book/show/52354965-confessions-of-her,4.15,"Based on a true story, Confessions of Her is the debut poetry novel by Cindy Cherie. It is a tale of survival depicting how one young woman found love in herself, rather than searching for it in the arms of another.

This autobiographical collection of poetry and prose takes the reader on a journey of love and loss, depicting how she overcame heartbreak to ultimately, save herself. "
poetry,We Want It All: An Anthology of Radical Trans Poetics,"by Andrea Abi-Karam (Editor), Kay Gabriel (Editor)",480 pages,https://www.goodreads.com/book/show/51008945-we-want-it-all,5.00,"A collection of formally inventive writing by trans poets against capital and empire.

Editors Andrea Abi-Karam and Kay Gabriel offer We Want it All: An Anthology of Radical Trans Poetics as an experiment into how far literature, written from an identitarian standpoint, can go as a fellow traveler with social movements and revolutionary demands. Writing in dialogue with emancipatory political movements, the intergenerational writers assembled here imagine an altogether overturned world in poems that pursue the particular and multiple trans relationships to desire, embodiment, housing, sex, ecology, history, pop culture, and the working day."
poetry,Shifting the Silence,by Etel Adnan,80 pages,https://www.goodreads.com/book/show/54359512-shifting-the-silence,4.00,"Shifting the Silence does just that, breaks the social taboo around writing and speaking about our own deaths. In short unrelenting paragraphs, Adnan enumerates her personal struggle to conceptualize the breadth of her own life at 95, the process of aging, and the knowledge of her own inevitable death. The personal is continuously projected outwards and mirrored back through ruminations on climate catastrophe, California wildfires, the on-going war in Syria, planned missions to Mars, and the view of the sea from Adnan’s window in Brittany in a poignant often painful interplay between the interior and the cosmic."
poetry,Lost Girls Go Everywhere: Poetry & Prose,by Azzurra Nox (Goodreads Author),135 pages,https://www.goodreads.com/book/show/55357719-lost-girls-go-everywhere,2.40,"Where do lost girls go? Everywhere.

In an attempt to find a place to call home, a heart to call their own, lost girls have traveled far and wide in search of the ever-elusive, ""happy ending"" to an often tormented tale. These emotional vignettes cast a light into the search that spans years and ever-changing cities.

Where do lost girls belong when they meander through life as outcasts not quite fitting in? This is a journey of self-discovery, a road map of heartbreak, and the struggle to hold a tiny grain of light when darkness is all that surrounds you."
