user_name,user_unique_key,number_of_stars,book_unique_key,review_text
daph pink  君は,https://www.goodreads.com/user/show/91434473-daph-pink,4,https://www.goodreads.com/book/show/50496883-the-truth-project,
Chelsea Humphrey,https://www.goodreads.com/user/show/47207032-chelsea-humphrey,4,https://www.goodreads.com/book/show/50496883-the-truth-project,"3.5 stars rounded to 4

Every once in awhile I like to dip my toes into a novel channeled through poetry, and this one maintains a nice blend of traditional beauty and modern relevance. While I usually don't embrace stories where a majority of the conflict could have been solved by two characters just having a simple conversation, I do understand that mother/daughter relationships can be very strained and it can be difficult to overcome this bridge. Some heavy themes are discussed here, and there"
destiny ♡⚔♡ [howling libraries],https://www.goodreads.com/user/show/15335689-destiny-howling-libraries,4,https://www.goodreads.com/book/show/50496883-the-truth-project,"This was good! A super quick, engaging read that offered a somewhat predictable but still important and enjoyable look at discovering your family heritage isn't what you thought it was — and, more than that, learning that your parents are humans who make terrible mistakes sometimes, and finding how to move past that. I will say that everything felt a little flat overall, which is why this wasn't a 5-star read, but I'm feeling that way about a lot of novels in verse lately, so perhaps my tastes a"
BookNightOwl,https://www.goodreads.com/user/show/13238913-booknightowl,5,https://www.goodreads.com/book/show/50496883-the-truth-project,Sooo good! I love how this story was written in emails and text messages. Made the reading experience even better.
R,https://www.goodreads.com/user/show/68750798-r,4,https://www.goodreads.com/book/show/50496883-the-truth-project,"A seemingly simple senior genealogy project turned into a life altering discovery for eighteen year old Cordelia Koenig. After receiving her DNA results, Cornelia now knew why she always seemed to not quite fit in with the rest of her family. Told through texts, emails, and poetry, Cordelia goes through an emotional journey of self discovery. But during that journey, she became so self absorbed that she neglected and lied to the people who most loved her.

Some parts of this story were a bit frus"
Emma,https://www.goodreads.com/user/show/76836860-emma,3,https://www.goodreads.com/book/show/50496883-the-truth-project,3.5 stars will update with a short review super soon!!
Deborah Maroulis,https://www.goodreads.com/user/show/52336794-deborah-maroulis,5,https://www.goodreads.com/book/show/50496883-the-truth-project,"I was lucky enough to read an early copy of this incredible book. If you like:

-multimedia storytelling
-sciency girls
-family intrigue, and
-swoony boys...

This book is for you! I can’t wait to show off copies to my students!!!"
Amanda (MetalPhantasmReads),https://www.goodreads.com/user/show/28513633-amanda-metalphantasmreads,5,https://www.goodreads.com/book/show/50496883-the-truth-project,"**June 24th update**
I read this in one day which RARELY happens! This book was so emotional, complicated, sad but also beautiful and a rare gem of a book. I cared for Cordelia so much and I loved seeing her grow and discover herself. Plus a great book with an awesome father figure!! Please please read this when it comes out later this year! ♥️♥️♥️♥️ Review now on the blog

https://metalphantasmreads.wordpress....

I AM ready for this book! A girl who has a genealogy test done and learns about her re"
Vanessa Torres,https://www.goodreads.com/user/show/66444380-vanessa-torres,5,https://www.goodreads.com/book/show/50496883-the-truth-project,"Lucky me! I also had the privilege of getting my grabby hands on an early copy of The Truth Project. This book, people! You will laugh, cry, pause... sink deep into the heartfelt poetry, and when your finished, wait ever so impatiently to read what's next from Dante Medema."
Samantha (WLABB),https://www.goodreads.com/user/show/25774455-samantha-wlabb,5,https://www.goodreads.com/book/show/50496883-the-truth-project,"She had always felt like she didn't fit into her family, but when she received the results from her DNA test, Cordelia now had the proof of why. Discovering her father was not the man who raised her set Cordelia's world off balance and sent her searching for the truth. Of who he was, and also, who she was.

• Pro: My emotions! With the subject matter, there was no doubt I would feel something, but I felt so much as I read this story. It was a tsunami of feelings that washed over me, and it came f"
Laurie Flynn,https://www.goodreads.com/user/show/36678420-laurie-flynn,5,https://www.goodreads.com/book/show/50496883-the-truth-project,"This is an utterly original book. It's completely different from anything I've read before. The writing is lyrical and luminous, the characters feel real, and the themes-- including family, identity, and seeking your truth-- will deeply resonate with readers. I'm so fortunate I was able to read this early! Dante Medema is a writer to watch."
Danielle (Life of a Literary Nerd),https://www.goodreads.com/user/show/32803116-danielle-life-of-a-literary-nerd,4,https://www.goodreads.com/book/show/50496883-the-truth-project,"I find novels in verse to be very impactful emotionally, and The Truth Project is no different. It's a heartfelt exploration of family, betrayal, and forgiveness that will hook you from the very first page. I loved seeing Cordelia's emotional journey in her self discovery and realizing what family means to her - while navigating the life changing secrets her mother kept that are now changing her life."
Betty Culley,https://www.goodreads.com/user/show/92207683-betty-culley,5,https://www.goodreads.com/book/show/50496883-the-truth-project,"I curled up on the couch and could not put down this book!
Poet Cordelia does a senior project about her family's genealogy and learns that the father who raised her is not her biological father.
Written with poems, emails, texts, and beautiful verse, this is a novel about identity, family, friendship and love. You'll want to read this and every other book Dante Medema writes!"
Shannon (It Starts At Midnight),https://www.goodreads.com/user/show/8652150-shannon-it-starts-at-midnight,4,https://www.goodreads.com/book/show/50496883-the-truth-project,"You can find the full review and all the fancy and/or randomness that accompanies it at It Starts at Midnight

This was such a heartfelt, lovely story about what it means to be ""family"". Told in verse (and some mixed-media), we follow Cordelia, who wants to explore her DNA for a school project (and the sake of curiosity, of course).  And what she thinks will be an easy A brings her both her former friend/crush Kodiak, as well as some deeply distressing news about her parentage. Her father turns o"
