user_name,user_unique_key,number_of_stars,book_unique_key,review_text
Navessa,https://www.goodreads.com/user/show/18104163-navessa,5,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,
Madison Warner Fairbanks,https://www.goodreads.com/user/show/4171908-madison-warner-fairbanks,5,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"A Stitch in Time by Kelley Armstrong

A time-slip mystery. First in the series.
Bronwyn has inherited an old house she remembers having a ghost when she visited as a young girl. They were friends and playmates. Now that she has returned to Thorne Manor she finds she still has the ability to slip through time and interact with William in his time. They are the same age and resume their friendship which turns into more.
More than one ghost inhabits Thorne Manor and not all are friendly. When a myst"
Maureen Carden,https://www.goodreads.com/user/show/54932249-maureen-carden,5,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"In a A Stitch in Time (A Stitch in Time, #1) Kelley Armstrong has managed to write an old fashioned ghost story, mixed with time travel and a love story, seasoned with a haunted house mystery. Armstrong has a talent for making the paranormal, the frightening, and the unusual all seem normal. Or almost normal.
I really want to forget this book, so that I can read it fresh to enjoy again. At my age forgetting would normally take a couple of weeks, but this pleasurable book will stay with me. That"
aarya,https://www.goodreads.com/user/show/90974556-aarya,3,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"CW: (view spoiler)

“Is that what you think this is? A time slip.”

“More like a stitch in time.”

“Saves nine?” I manage a smile. “Fix something today, while the problem is small, to avoid a larger fix later. That proverb has nothing to do with time travel, though.”

Freya picks up two decorative cushions. “Imagine this pillow is Thorne Manor"
Mlpmom (Book Reviewer),https://www.goodreads.com/user/show/3829694-mlpmom-book-reviewer,5,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"A historical fiction written by not only an amazing author but an author that is also one of the best for mysteries and original concepts? Yes please! Add in romance and some paranormal woo hoo and you have a read that kept me reading long into the night because I just couldn't put it down, creepy ghosts be darned.

A story that truly is the epitome of why book hangovers are a thing.

This story! This story! Where do I even begin except to say that I am so very thankful Armstrong took a chance and"
Ann Aguirre,https://www.goodreads.com/user/show/3080148-ann-aguirre,5,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"Thought about this book for days

I love Gothic stories and this one is incredible and atmospheric. So fantastic! Highly recommend. Especially for those looking for an engrossing, epic romance."
☕️Kimberly  ,https://www.goodreads.com/user/show/5082615-kimberly,5,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"I love time travel romances and this one adds a ghostly mystery, creeptastic suspense and a murder-mystery. Even the neighbors in the present are brilliant, but I am getting ahead of myself.

The tale takes place at Thorne Manor, in the English countryside near a small village whose property backs up to the moors. As a young girl, Bronwyn Dale could pass through a time slip in her great-aunt’s house, where she visited William Thorne, a boy her own age, born two centuries earlier. One night tragedy"
Melindeeloo,https://www.goodreads.com/user/show/2766907-melindeeloo,5,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"I really liked this story with ghosts, a mystery, and a romance that reaches across time. I was enchanted by both leads, a widowed college professor who inherits an haunted old English manor - part of her charm is her love for the place and her comfort with herself - and the English Lord she's been slipping through time to visit since they were children - he is intense but also very appealing. They have such a strong connection, even outside the physical, and that made the romance special. And I"
Lisa Wolf,https://www.goodreads.com/user/show/4103395-lisa-wolf,4,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"A sweeping, romantic story of love across time, time slips, ghosts, and hauntings! I loved this book, with its twisty mysteries and seductive romance. Great read!

Review copy courtesy of the publisher via NetGalley. See full review at Bookshelf Fantasies."
Hayley Sykes,https://www.goodreads.com/user/show/17759215-hayley-sykes,4,https://www.goodreads.com/book/show/53447303-a-stitch-in-time,"Imagine being thirty-eight years old and returning to your aunt's home that she has just willed to you in a quaint village in England. This is where we find our narrator Bronwyn. The reader quickly finds out though that this home does not hold all good memories for Bronwyn. The last time she was in the house a great tragedy happened, a tragedy that changed the course of her life forever and altered the person that she is today.

Twenty-three years ago Bronwyn was at the home of her Aunt Judith an"
