genre,title,author,pages,unique_key,average_rating,book_description
science-fiction-fantasy,The Invisible Life of Addie LaRue,by V.E. Schwab,489 pages,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,4.46,"A Life No One Will Remember. A Story You Will Never Forget.

France, 1714: in a moment of desperation, a young woman makes a Faustian bargain to live forever and is cursed to be forgotten by everyone she meets.

Thus begins the extraordinary life of Addie LaRue, and a dazzling adventure that will play out across centuries and continents, across history and art, as a young woman learns how far she will go to leave her mark on the world.

But everything changes when, after nearly 300 years, Addie stumbles across a young man in a hidden bookstore and he remembers her name."
science-fiction-fantasy,The Once and Future Witches,by Alix E. Harrow (Goodreads Author),528 pages,https://www.goodreads.com/book/show/49504061-the-once-and-future-witches,4.19,"In 1893, there's no such thing as witches. There used to be, in the wild, dark days before the burnings began, but now witching is nothing but tidy charms and nursery rhymes. If the modern woman wants any measure of power, she must find it at the ballot box.

But when the Eastwood sisters--James Juniper, Agnes Amaranth, and Beatrice Belladonna--join the suffragists of New Salem, they begin to pursue the forgotten words and ways that might turn the women's movement into the witch's movement. Stalked by shadows and sickness, hunted by forces who will not suffer a witch to vote-and perhaps not even to live-the sisters will need to delve into the oldest magics, draw new alliances, and heal the bond between them if they want to survive.

There's no such thing as witches. But there will be."
science-fiction-fantasy,The Devil and the Dark Water,by Stuart Turton (Goodreads Author),463 pages,https://www.goodreads.com/book/show/51854625-the-devil-and-the-dark-water,3.99,"A murder on the high seas. A detective duo. A demon who may or may not exist.

It's 1634 and Samuel Pipps, the world's greatest detective, is being transported to Amsterdam to be executed for a crime he may, or may not, have committed. Travelling with him is his loyal bodyguard, Arent Hayes, who is determined to prove his friend innocent.

But no sooner are they out to sea than devilry begins to blight the voyage. A twice-dead leper stalks the decks. Strange symbols appear on the sails. Livestock is slaughtered.

And then three passengers are marked for death, including Samuel.

Could a demon be responsible for their misfortunes?

With Pipps imprisoned, only Arent can solve a mystery that connects every passenger onboard. A mystery that stretches back into their past and now threatens to sink the ship, killing everybody on board.

The breathtaking new novel from Stuart Turton, author of the The 7 1/2 Deaths of Evelyn Hardcastle, winner of the Costa Best First Novel Award."
science-fiction-fantasy,Kingdom of the Wicked,by Kerri Maniscalco (Goodreads Author),448 pages,https://www.goodreads.com/book/show/52735921-kingdom-of-the-wicked,4.16,"Two sisters.

One brutal murder.

A quest for vengeance that will unleash Hell itself…

And an intoxicating romance.

Emilia and her twin sister Vittoria are streghe – witches who live secretly among humans, avoiding notice and persecution. One night, Vittoria misses dinner service at the family’s renowned Sicilian restaurant. Emilia soon finds the body of her beloved twin…desecrated beyond belief. Devastated, Emilia sets out to find her sister’s killer and to seek vengeance at any cost-even if it means using dark magic that’s been long forbidden.

Then Emilia meets Wrath, one of the Wicked-princes of Hell she has been warned against in tales since she was a child. Wrath claims to be on Emilia’s side, tasked by his master with solving the series of women’s murders on the island. But when it comes to the Wicked, nothing is as it seems…"
science-fiction-fantasy,Plain Bad Heroines,"by Emily M. Danforth (Goodreads Author), Sara Lautman (Illustrations)",608 pages,https://www.goodreads.com/book/show/50496875-plain-bad-heroines,3.84,"A highly imaginative and original horror-comedy centered around a cursed New England boarding school for girls—a wickedly whimsical celebration of the art of storytelling, sapphic love, and the rebellious female spirit.

Our story begins in 1902, at The Brookhants School for Girls. Flo and Clara, two impressionable students, are obsessed with each other and with a daring young writer named Mary MacLane, the author of a scandalous bestselling memoir. To show their devotion to Mary, the girls establish their own private club and call it The Plain Bad Heroine Society. They meet in secret in a nearby apple orchard, the setting of their wildest happiness and, ultimately, of their macabre deaths. This is where their bodies are later discovered with a copy of Mary’s book splayed beside them, the victims of a swarm of stinging, angry yellow jackets. Less than five years later, The Brookhants School for Girls closes its doors forever—but not before three more people mysteriously die on the property, each in a most troubling way.

Over a century later, the now abandoned and crumbling Brookhants is back in the news when wunderkind writer, Merritt Emmons, publishes a breakout book celebrating the queer, feminist history surrounding the “haunted and cursed” Gilded-Age institution. Her bestselling book inspires a controversial horror film adaptation starring celebrity actor and lesbian it girl Harper Harper playing the ill-fated heroine Flo, opposite B-list actress and former child star Audrey Wells as Clara. But as Brookhants opens its gates once again, and our three modern heroines arrive on set to begin filming, past and present become grimly entangled—or perhaps just grimly exploited—and soon it’s impossible to tell where the curse leaves off and Hollywood begins.

A story within a story within a story and featuring black-and-white period illustrations, Plain Bad Heroines is a devilishly haunting, modern masterwork of metafiction that manages to combine the ghostly sensibility of Sarah Waters with the dark imagination of Marisha Pessl and the sharp humor and incisive social commentary of Curtis Sittenfeld into one laugh-out-loud funny, spellbinding, and wonderfully luxuriant read."
science-fiction-fantasy,Black Sun,by Rebecca Roanhorse (Goodreads Author),454 pages,https://www.goodreads.com/book/show/50892360-black-sun,4.35,"From the New York Times bestselling author of Star Wars: Resistance Reborn comes the first book in the Between Earth and Sky trilogy, inspired by the civilizations of the Pre-Columbian Americas and woven into a tale of celestial prophecies, political intrigue, and forbidden magic.

A god will return
When the earth and sky converge
Under the black sun

In the holy city of Tova, the winter solstice is usually a time for celebration and renewal, but this year it coincides with a solar eclipse, a rare celestial event proscribed by the Sun Priest as an unbalancing of the world.

Meanwhile, a ship launches from a distant city bound for Tova and set to arrive on the solstice. The captain of the ship, Xiala, is a disgraced Teek whose song can calm the waters around her as easily as it can warp a man’s mind. Her ship carries one passenger. Described as harmless, the passenger, Serapio, is a young man, blind, scarred, and cloaked in destiny. As Xiala well knows, when a man is described as harmless, he usually ends up being a villain.

Crafted with unforgettable characters, Rebecca Roanhorse has created an epic adventure exploring the decadence of power amidst the weight of history and the struggle of individuals swimming against the confines of society and their broken pasts in the most original series debut of the decade."
science-fiction-fantasy,Among the Beasts & Briars,by Ashley Poston (Goodreads Author),352 pages,https://www.goodreads.com/book/show/50622362-among-the-beasts-briars,3.92,
science-fiction-fantasy,The Hollow Places,by T. Kingfisher,352 pages,https://www.goodreads.com/book/show/50892288-the-hollow-places,3.99,"A young woman discovers a strange portal in her uncle’s house, leading to madness and terror in this gripping new novel.

Pray they are hungry.

Kara finds these words in the mysterious bunker that she’s discovered behind a hole in the wall of her uncle’s house. Freshly divorced and living back at home, Kara now becomes obsessed with these cryptic words and starts exploring the peculiar bunker—only to discover that it holds portals to countless alternate realities. But these places are haunted by creatures that seem to hear thoughts…and the more you fear them, the stronger they become."
science-fiction-fantasy,Return of the Thief,by Megan Whalen Turner (Goodreads Author),464 pages,https://www.goodreads.com/book/show/11503920-return-of-the-thief,4.55,"The thrilling, twenty-years-in-the-making, conclusion to the New York Times–bestselling Queen’s Thief series, by Megan Whalen Turner. This beloved and award-winning series began with the acclaimed novel The Thief. It and four more stand-alone volumes bring to life a world of epics, myths, and legends, and feature one of the most charismatic and incorrigible characters of fiction, Eugenides the thief. Now more powerful and cunning than ever before, Eugenides must navigate a perilous future in this sweeping conclusion. Perfect for fans of Leigh Bardugo, Marie Lu, Patrick Rothfuss, and Sarah J. Maas.

Neither accepted nor beloved, Eugenides is the uneasy linchpin of a truce on the Lesser Peninsula, where he has risen to be high king of Attolia, Eddis, and Sounis. As the treacherous Baron Erondites schemes anew and a prophecy appears to foretell the death of the king, the ruthless Mede empire prepares to strike. The New York Times–bestselling Queen’s Thief novels are rich with political machinations, divine intervention, dangerous journeys, battles lost and won, power, passion, and deception."
science-fiction-fantasy,Ring Shout,by P. Djèlí Clark,192 pages,https://www.goodreads.com/book/show/49247242-ring-shout,4.25,"Nebula, Locus, and Alex Award-winner P. Djèlí Clark returns with Ring Shout, a dark fantasy historical novella that gives a supernatural twist to the Ku Klux Klan's reign of terror.

D. W. Griffith is a sorcerer, and The Birth of a Nation is a spell that drew upon the darkest thoughts and wishes from the heart of America. Now, rising in power and prominence, the Klan has a plot to unleash Hell on Earth.

Luckily, Maryse Boudreaux has a magic sword and a head full of tales. When she's not running bootleg whiskey through Prohibition Georgia, she's fighting monsters she calls ""Ku Kluxes."" She's damn good at it, too. But to confront this ongoing evil, she must journey between worlds to face nightmares made flesh--and her own demons. Together with a foul-mouthed sharpshooter and a Harlem Hellfighter, Maryse sets out to save a world from the hate that would consume it."
