user_name,user_unique_key,number_of_stars,book_unique_key,review_text
Melanie,https://www.goodreads.com/user/show/3030788-melanie,5,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"ARC provided by Tor in exchange for an honest review.

""Stories come in so many forms: in charcoal, and in song, in paintings, poems, films. And books.""

This is a book about a girl, a boy, a devil, and the stories that get told and repeated and remembered. This is a tale of power dynamics and imbalances and what humans are willing to do to not feel trapped and alone. This is all about a young girl who lives her life for herself, who lives her life in spite of the odds, w"
chai ♡,https://www.goodreads.com/user/show/42130592-chai,5,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"✧ Find this review and others on my blog ✧

Oh, to be a French girl who knelt in the woods, on the eve of a wedding she did not want, and prayed for freedom to a god—or a devil?—who only answers after the dark, and he made her a deal that will grow to be like a thorn in her, a goad: she will live forever, but she will be forgotten by everyone she meets, always slipping, like a thought, out of reach. An eternity of flitting from one place to another, never feeling quite at home anywhere, and fr"
Emily May,https://www.goodreads.com/user/show/4622890-emily-may,3,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"""And no matter how desperate or dire, never pray to the gods that answer after dark.""

It's interesting. I read a couple of reviews for this book that said it was a slow-starter and took a hundred or so pages to get going, so I thought it was a good sign when I fell in love with it right away. The premise captivated me, drew me in, and took me away to another time and place; to an 18th century French village where young Adeline is being forced into a marriage she doesn't want. She prays so har"
Nilufer Ozmekik,https://www.goodreads.com/user/show/53701594-nilufer-ozmekik,5,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"This time: I have no words for this masterpiece. Literally speechless, wordless, expressionless, blinking, sighing, awed, adored, fell hard, truly loved! I may announce you one of top ten best books of the year.

I know we’re at the fourth month and during our quarantine if I resume finishing approximately 10 to 14 books weekly, this means I can read nearly 500 more books but when you know, you know, this book is like unconditional love at first sight.

It’s a unique story about a village girl’s tr"
Kai,https://www.goodreads.com/user/show/41788524-kai,3,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"“What is a person, if not the marks they leave behind?”

Where do I start? This was a good book. What you'd expect from Victoria Schwab. Magical and lyrical. And yet...I turned the last page and was left wanting.

This is the book that Victoria has been working on for 10 years. And yes it's pretty. It's an amazing concept and an intriguing beginning. But I first read this in July and now, barely three months later, I cannot remember all that much except for the fact that Addie has seven bloody freck"
Emily (Books with Emily Fox),https://www.goodreads.com/user/show/58160628-emily-books-with-emily-fox,5,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"IT'S OUT!!

Love story between a French girl and the devil over 300 years...

I tried to go into this book with low expectations considering romance isn't my genre and... Wow, this has to be V. E. Schwab's best book!

I've always liked her writing but this character-driven, slow-paced story really works for her. It's closer to literary fiction than her other work and her characters are much stronger.

Frankly, I recommend you go into it knowing nothing else.

Pick it up!"
Victoria Schwab,https://www.goodreads.com/user/show/1695365-victoria-schwab,0,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"As I do my final read-through on this book, a story nearly 10 years in the making, all I can think is that I've put my heart and soul, my teeth and blood and bones into this one.

I hope you love it.

ETA: I can't believe we made it. Addie spent so many years haunting me, I hope she haunts a few of you. <3"
Lala BooksandLala,https://www.goodreads.com/user/show/31027440-lala-booksandlala,5,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,oh SHIT
Cindy,https://www.goodreads.com/user/show/57797254-cindy,3,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"3.5 stars. VE Schwab has consistently great writing as always and really wrote her ass off here. I can tell many of the internal struggles that the main characters go through (particularly Henry) come from a personal place in Schwab's life, and you can feel that earnestly pouring through the pages. This book would be enjoyed by people who like slower, atmospheric, and character-driven stories. I think this works if you relate to the characters; if you don’t, the narrative becomes quite repetitiv"
Mary S. R.,https://www.goodreads.com/user/show/75831724-mary-s-r,5,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,"When a book traps your soul from beginning to end and beyond, keeping hold of a string to your heart even as you leave it behind, you know it deserves all the constellations in the night sky.


Credit: Nicole

What is a person, if not the marks they leave behind?

They say if you look through a wooden ring on the 29th night of July, just after dark, you’d see a wraith wandering valleys and alleys—singing, sighing, seeking. And if you lean in, shell of an ear pressed to the ring, you would hear the"
