genre,title,author,pages,unique_key,average_rating,book_description
short-stories,The Neil Gaiman Reader: Selected Fiction,by Neil Gaiman (Goodreads Author),752 pages,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,4.54,"An outstanding array—52 pieces in all—of selected fiction from the multiple-award-winning, #1 New York Times bestselling author Neil Gaiman, curated by his readers around the world, and introduced with a foreword by Booker Prize-winning author Marlon James

Spanning Gaiman’s career to date, The Neil Gaiman Reader: Selected Fiction is a captivating collection from one of the world’s most beloved writers, chosen by those who know his work best: his devoted readers. 

A brilliant representation of Gaiman's groundbreaking, entrancing, endlessly imaginative fiction, this captivating volume includes excerpts from each of his five novels for adults —Neverwhere, Stardust, American Gods, Anansi Boys, and The Ocean at the End of the Lane—and nearly fifty of his short stories. 

Impressive in its depth and range, The Neil Gaiman Reader: Selected Fiction is both an entryway to Gaiman’s oeuvre and a literary trove Gaiman fans old and new will return to many times over."
short-stories,The Lives of Saints,"by Leigh Bardugo (Goodreads Author), Daniel J. Zollinger (Illustrator)",121 pages,https://www.goodreads.com/book/show/54205369-the-lives-of-saints,4.12,"Enter the world of the Grishaverse and Shadow and Bone, soon to be a Netflix original series!

Dive into the epic world of international bestselling author Leigh Bardugo with this beautifully illustrated replica of The Lives of Saints, the Istorii Sankt’ya, featuring tales of saints drawn from the beloved novels and beyond. Out of the pages of the Shadow and Bone trilogy, from the hands of Alina Starkov to yours, the Istorii Sankt’ya is a magical keepsake from the Grishaverse.

These tales include miracles and martyrdoms from familiar saints like Sankta Lizabeta of the Roses and Sankt Ilya in Chains, to the strange and obscure stories of Sankta Ursula, Sankta Maradi, and the Starless Saint.

This beautiful collection includes stunning full-color illustrations of each story."
short-stories,Stories from Suffragette City,"by M.J. Rose (Goodreads Author) (Editor), Fiona Davis (Goodreads Author) (Editor), Kristin Hannah (Goodreads Author) (Contributor)",272 pages,https://www.goodreads.com/book/show/49672320-stories-from-suffragette-city,4.30,"A collection of short stories from a chorus of bestselling writers all set on the same day, October 23, 1915, in which over a million women marched for the right to vote in New York City with an introduction by Kristin Hannah.

Stories From Suffragette City is a collection of short stories from the leading voices in historical fiction that all take place on a single day. The day one million women marched for the right to vote in New York City in 1915. A day filled with a million different stories, and a million different voices longing to be heard. Taken together, these stories from writers at the top of their bestselling game become a chorus, stitching together a portrait of a country looking for a fight, and echo into a resounding force strong enough to break even the most stubborn of glass ceilings.
With stories from:
Lisa Wingate
M. J. Rose
Steve Berry
Paula McLain
Katherine J. Chen
Christina Baker Kline
Jamie Ford
Dolen Perkins-Valdez
Megan Chance
Alyson Richman
Chris Bohjalian
and Fiona Davis"
short-stories,"Together, Apart","by Erin A. Craig (Goodreads Author), Auriane Desombre (Goodreads Author), Erin Hahn (Goodreads Author), Bill Konigsberg (Goodreads Author), Rachael Lippincott (Goodreads Author), Brittney Morris (Goodreads Author), Sajni Patel (Goodreads Author), Natasha Preston (Goodreads Author), more…",288 pages,https://www.goodreads.com/book/show/54326427-together-apart,3.93,"A collection of original contemporary love stories set during life in lockdown by some of today's most popular YA authors.

Erin Craig ""delivers"" on a story about a new girl in town and the cute pizza delivery boy, Auriane Desombre captures our hearts with teens communicating through window signs, and Bill Konigsberg takes us along on daily walks with every step bringing us closer to love. There's flirting and romance from Rachael Lippincott, a tale of a determined girl with a mask-making business from Erin Hahn, and a music-inspired love connection from Sajni Patel. Brittney Morris turns enemies to lovers with the help of a balcony herb garden, Jennifer Yen writes an unconventional romance that starts outside a hospital, and Natasha Preston's teens discover each other--and their love story--in a storybook oak tree.

Romantic, realistic, sweet and uplifting, TOGETHER, APART is a collection of finding love in unexpected places during an unprecedented time . . . each with the one thing we all want: a guaranteed happy ending."
short-stories,"Cardiff, by the Sea: Four Novellas of Suspense",by Joyce Carol Oates,404 pages,https://www.goodreads.com/book/show/52580386-cardiff-by-the-sea,3.95,"Joyce Carol Oates, the ""grand mistress of ghoulishness"" (Publishers Weekly), showcases her mastery in four deeply disturbing novellas that will leave the reader both quaking and pining for more In the titular novella, an academic in Pennsylvania discovers a terrifying trauma from her past after inheriting a house in Cardiff, Maine from someone she has never heard of. Mia, the protagonist of ""Miao Dao,"" is a pubescent girl overcome with loneliness, who befriends a feral cat that becomes her protector from the increasingly aggressive males that surround her.

A brilliant but shy college sophomore realizes that she is pregnant in ""Phan-tomwise: 1972."" Distraught, she allows a distinguished visiting professor to take her under his wing, though it quickly becomes evident that he is interested in more than an academic mentorship. Lastly, ""The Surviving Child"" is Stefan, who was spared when his mother, a famous poet, killed his sister and herself. Stefan's father remarries, but his young wife is haunted by dead poet's voice dancing in the wind, an inexplicably befouled well, and a compulsive draw to the same gar-age that took two lives.

In these psychologically daring, chillingly suspenseful pieces, Joyce Carol Oates writes about women facing threats past and present."
short-stories,Tiny Nightmares: Very Short Stories of Horror,"by Lincoln Michel (Goodreads Author) (Editor), Nadxieli Nieto (Editor)",304 pages,https://www.goodreads.com/book/show/53189105-tiny-nightmares,3.66,"A collection of horror-inspired flash fiction, featuring over 40 new stories from literary, horror, and emerging writers—edited by Lincoln Michel and Nadxieli Nieto, the twisted minds behind Tiny Crimes: Very Short Tales of Mystery and Murder (Black Balloon, 2018).

In this playful, spine-tingling collection, leading literary and horror writers spin unforgettably chilling tales in only a few pages. Tiny Nightmares brings to life broken-hearted vampires, Uber-taking serial killers, mind-reading witches, and monsters of all imaging, as well as stories that tackle the horrors of our modern world from global warming and racism to social media addiction and online radicalization. Writers such as Samantha Hunt, Brian Evenson, Jac Jemc, Stephen Graham Jones, Kevin Brockmeier, and Rion Amilcar Scott expand our understanding of horror fiction with inventive and blood-curdling new tales. We suggest reading with the hall light on and the bedroom door open just a crack."
short-stories,Memento,"by Amie Kaufman (Goodreads Author), Jay Kristoff (Goodreads Author)",84 pages,https://www.goodreads.com/book/show/55654594-memento,4.56,"From New York Times bestselling authors Amie Kaufman and Jay Kristoff comes an Illuminae prequel digital novella that gives readers a hair-raising glimpse into the calamity that befell the invincible AI system known as AIDAN–and the daring young programmer who would risk her life to keep it from crashing.

AIDAN is the AI you’ll love to hate.

The advanced AI system was supposed to protect a fleet of survivors who’d escaped the deadly attack on Kerenza IV. AIDAN was supposed to be infallible. But in the chaotic weeks and months that followed, it became clear that something was terribly, terribly wrong with AIDAN…"
short-stories,The Traveller and Other Stories,"by Stuart Neville (Goodreads Author), John Connolly (Goodreads Author) (Foreword)",336 pages,https://www.goodreads.com/book/show/54568968-the-traveller-and-other-stories,4.27,"A darkly glittering collection of Northern Irish noir by Stuart Neville, Los Angeles Times Book Prize–winning author

Since his debut novel, the modern classic The Ghosts of Belfast, was published a decade ago, Stuart Neville has published eight other critically acclaimed novels and achieved international recognition as one of crime fiction’s great living writers.

Now for the first time Neville offers readers a collection of his short fiction—twelve chilling stories that traverse and blend the genres of noir, horror, and speculative fiction, and which bring the history and lore of Neville’s native Northern Ireland to glittering life. The collection concludes with the longawaited novella The Traveller, the companion piece to The Ghosts of Belfast and Collusion.

Complete with a foreword from Irish crime fiction legend John Connolly, this volume is the perfect indulgence for fans of ghost stories and noir, and is a must-have for devotees of Neville’s prizewinning Belfast novels."
short-stories,Foreshadow: Stories to Celebrate The Magic of Reading & Writing YA,"by Emily X.R. Pan (Goodreads Author) (editor), Nova Ren Suma (editor), Tanvi Berwah (Goodreads Author) (contributor), Mayra Cuevas (Goodreads Author) (contributor), Gina Chen (Goodreads Author) (contributor), Linda Cheng (Goodreads Author) (contributor), Tanya Aydelott (contributor), Nora Elghazzawi (Goodreads Author) (contributor), more…",352 pages,https://www.goodreads.com/book/show/48768420-foreshadow,4.38,"Thirteen Short Stories from Bold New YA Voices & Writing Advice from YA Icons

Created by New York Times bestselling authors Emily X. R. Pan and Nova Ren Suma, Foreshadow is so much more than a short story collection. A trove of unforgettable fiction makes up the beating heart of this book, and the accompanying essays offer an ode to young adult literature, as well as practical advice to writers.

Featured in print for the first time, the thirteen stories anthologized here were originally released via the buzzed-about online platform Foreshadow. Ranging from contemporary romance to mind-bending fantasy, the Foreshadow stories showcase underrepresented voices and highlight the beauty and power of YA fiction. Each piece is selected and introduced by a YA luminary, among them Gayle Forman, Laurie Halse Anderson, Jason Reynolds, and Sabaa Tahir.

What makes these memorable stories tick? What sparked them? How do authors build a world or refine a voice or weave in that deliciously creepy atmosphere to bring their writing to the next level? Addressing these questions and many more are essays and discussions on craft and process by Nova Ren Suma and Emily X. R. Pan.

This unique compilation reveals and celebrates the magic of reading and writing for young adults."
short-stories,To Hold Up the Sky,by Liu Cixin (Goodreads Author),336 pages,https://www.goodreads.com/book/show/49247266-to-hold-up-the-sky,3.75,"From Cixin Liu, the New York Times bestselling author of The Three-Body Problem, To Hold Up the Sky is a breathtaking collection of imaginative science fiction.

Stories included are:

The Village Teacher
The Time Migration
2018-04-01
Fire In The Earth
Contraction
Mirror
Ode To Joy
Full Spectrum Barrage Jamming
Sea of Dreams
Cloud of Poems
The Thinker"
short-stories,Rural Voices: 15 Authors Challenge Assumptions About Small-Town America,"by Nora Shalaway Carpenter (Goodreads Author) (Editor), David Bowles (Contributor), Joseph Bruchac (Contributor), Veeda Bybee (Contributor), Shae Carys (Goodreads Author) (Contributor), S.A. Cosby (Contributor), Rob Costello (Contributor), Randy DuBurke (Contributor), more…",336 pages,https://www.goodreads.com/book/show/46196016-rural-voices,4.05,"Think you know what rural America is like? Discover a plurality of perspectives in this enlightening anthology of stories that turns preconceptions on their head.

Gracie sees a chance of fitting in at her South Carolina private school, until a ""white trash""-themed Halloween party has her steering clear of the rich kids. Samuel's Tejano family has both stood up to oppression and been a source of it, but now he's ready to own his true sexual identity. A Puerto Rican teen in Utah discovers that being a rodeo queen means embracing her heritage, not shedding it. . . .

For most of America's history, rural people and culture have been casually mocked, stereotyped, and, in general, deeply misunderstood. Now an array of short stories, poetry, graphic short stories, and personal essays, along with anecdotes from the authors' real lives, dives deep into the complexity and diversity of rural America and the people who call it home. Fifteen extraordinary authors - diverse in ethnic background, sexual orientation, geographic location, and socioeconomic status - explore the challenges, beauty, and nuances of growing up in rural America. From a mountain town in New Mexico to the gorges of New York to the arctic tundra of Alaska, you'll find yourself visiting parts of this country you might not know existed - and meet characters whose lives might be surprisingly similar to your own."
short-stories,Reality and Other Stories,by John Lanchester,240 pages,https://www.goodreads.com/book/show/54652305-reality-and-other-stories,3.34,"Selfie-sticks with demonic powers.

Cold calls from the dead.

And that creeping suspicion, as you sit there with your flat white, that none of this is real.

John Lanchester's first book of shorter fictions, Reality, and Other Stories is a gathering of deliciously chilling entertainments, to be read as the evenings draw in and the days are haunted by all the ghastly schlock, uncanny technologies and absurd horrors of modern life."
short-stories,Pets in Space 5,"by S.E. Smith (Goodreads Author), Regine Abel (Goodreads Author), Cassandra Chandler (Goodreads Author), Leslie Chase (Goodreads Author), Michelle Diener (Goodreads Author), Laurie A. Green (Goodreads Author), Kyndra Hatch (Goodreads Author), J.C. Hay (Goodreads Author), more…",1492 pages,https://www.goodreads.com/book/show/54832579-pets-in-space-5,4.48,
